L_macro_m,L_int_m,dt_res_s,dt_err_s,pair
780000.0,0.005,-2.0032858469887675e-15,2e-17,2022-03-01_INRIM_ITYb1-PTB_Sr3_CombKnoten
780000.0,0.005,-2.6382643011711847e-15,2e-17,2022-03-01_INRIM_ITYb1-PTB_Sr3_CombKnoten
780000.0,0.005,-1.8523114618993073e-15,2e-17,2022-03-01_INRIM_ITYb1-PTB_Sr3_CombKnoten
780000.0,0.005,-9.769701435919745e-16,2e-17,2022-03-01_INRIM_ITYb1-PTB_Sr3_CombKnoten
780000.0,0.005,-2.734153374723336e-15,2e-17,2022-03-01_INRIM_ITYb1-PTB_Sr3_CombKnoten
780000.0,0.005,-2.7341369569491807e-15,2e-17,2022-03-01_INRIM_ITYb1-PTB_Sr3_CombKnoten
1100000.0,0.005,-9.207871844926084e-16,2e-17,2022-03-01_INRIM_ITYb1-SYRTE_Sr2
1100000.0,0.005,-1.7325652708470912e-15,2e-17,2022-03-01_INRIM_ITYb1-SYRTE_Sr2
1100000.0,0.005,-2.969474385934952e-15,2e-17,2022-03-01_INRIM_ITYb1-SYRTE_Sr2
1100000.0,0.005,-1.9574399564140353e-15,2e-17,2022-03-01_INRIM_ITYb1-SYRTE_Sr2
1100000.0,0.005,-2.9634176928124622e-15,2e-17,2022-03-01_INRIM_ITYb1-SYRTE_Sr2
1100000.0,0.005,-2.965729753570257e-15,2e-17,2022-03-01_INRIM_ITYb1-SYRTE_Sr2
5000.0,0.005,-2.258037728433966e-15,2e-17,2022-03-01_PTB_In_CombKnoten-INRIM_ITYb1
5000.0,0.005,-4.413280244657798e-15,2e-17,2022-03-01_PTB_In_CombKnoten-INRIM_ITYb1
5000.0,0.005,-4.224917832513033e-15,2e-17,2022-03-01_PTB_In_CombKnoten-INRIM_ITYb1
5000.0,0.005,-3.0622875292409726e-15,2e-17,2022-03-01_PTB_In_CombKnoten-INRIM_ITYb1
5000.0,0.005,-3.512831120334424e-15,2e-17,2022-03-01_PTB_In_CombKnoten-INRIM_ITYb1
5000.0,0.005,-2.185752667404726e-15,2e-17,2022-03-01_PTB_In_CombKnoten-INRIM_ITYb1
800000.0,0.005,-3.4080240755212112e-15,2e-17,2022-03-01_PTB_Sr3_CombKnoten-SYRTE_Sr2
800000.0,0.005,-3.912303701335292e-15,2e-17,2022-03-01_PTB_Sr3_CombKnoten-SYRTE_Sr2
800000.0,0.005,-1.0343512310784457e-15,2e-17,2022-03-01_PTB_Sr3_CombKnoten-SYRTE_Sr2
800000.0,0.005,-2.7257763004865356e-15,2e-17,2022-03-01_PTB_Sr3_CombKnoten-SYRTE_Sr2
800000.0,0.005,-2.432471795312076e-15,2e-17,2022-03-01_PTB_Sr3_CombKnoten-SYRTE_Sr2
800000.0,0.005,-3.924748186213457e-15,2e-17,2022-03-01_PTB_Sr3_CombKnoten-SYRTE_Sr2
5000.0,0.005,-3.0443827245251825e-15,2e-17,2022-03-01_PTB_Yb_CombKnoten-INRIM_ITYb1
5000.0,0.005,-2.389077410290134e-15,2e-17,2022-03-01_PTB_Yb_CombKnoten-INRIM_ITYb1
5000.0,0.005,-3.650993577422303e-15,2e-17,2022-03-01_PTB_Yb_CombKnoten-INRIM_ITYb1
5000.0,0.005,-2.124301981654328e-15,2e-17,2022-03-01_PTB_Yb_CombKnoten-INRIM_ITYb1
5000.0,0.005,-3.100638689918805e-15,2e-17,2022-03-01_PTB_Yb_CombKnoten-INRIM_ITYb1
5000.0,0.005,-2.791693749793277e-15,2e-17,2022-03-01_PTB_Yb_CombKnoten-INRIM_ITYb1
800000.0,0.005,-3.101706612229397e-15,2e-17,2022-03-01_PTB_Yb_CombKnoten-SYRTE_Sr2
800000.0,0.005,-6.477218154910622e-16,2e-17,2022-03-01_PTB_Yb_CombKnoten-SYRTE_Sr2
800000.0,0.005,-2.5134972247379337e-15,2e-17,2022-03-01_PTB_Yb_CombKnoten-SYRTE_Sr2
800000.0,0.005,-3.5577109289559006e-15,2e-17,2022-03-01_PTB_Yb_CombKnoten-SYRTE_Sr2
800000.0,0.005,-1.6774550878968108e-15,2e-17,2022-03-01_PTB_Yb_CombKnoten-SYRTE_Sr2
800000.0,0.005,-3.720843649971022e-15,2e-17,2022-03-01_PTB_Yb_CombKnoten-SYRTE_Sr2
100.0,0.005,-2.2911364049952446e-15,2e-17,2022-03-02_PTB_In_CombKnoten-PTB_Yb_CombKnoten
100.0,0.005,-4.459670123879776e-15,2e-17,2022-03-02_PTB_In_CombKnoten-PTB_Yb_CombKnoten
100.0,0.005,-3.828186048898431e-15,2e-17,2022-03-02_PTB_In_CombKnoten-PTB_Yb_CombKnoten
100.0,0.005,-2.3031387641308765e-15,2e-17,2022-03-02_PTB_In_CombKnoten-PTB_Yb_CombKnoten
100.0,0.005,-1.7615334200045894e-15,2e-17,2022-03-02_PTB_In_CombKnoten-PTB_Yb_CombKnoten
100.0,0.005,-2.3286317188100296e-15,2e-17,2022-03-02_PTB_In_CombKnoten-PTB_Yb_CombKnoten
100.0,0.005,-2.6156482823882406e-15,2e-17,2022-03-10_NPL-Yb+(E3)-NPL-Sr1
100.0,0.005,-2.8011036955892888e-15,2e-17,2022-03-10_NPL-Yb+(E3)-NPL-Sr1
100.0,0.005,-3.978521990367427e-15,2e-17,2022-03-10_NPL-Yb+(E3)-NPL-Sr1
100.0,0.005,-3.2198442083947086e-15,2e-17,2022-03-10_NPL-Yb+(E3)-NPL-Sr1
100.0,0.005,-2.9606387709597875e-15,2e-17,2022-03-10_NPL-Yb+(E3)-NPL-Sr1
100.0,0.005,-1.4428777737810842e-15,2e-17,2022-03-10_NPL-Yb+(E3)-NPL-Sr1
800000.0,0.005,-2.1563817104315387e-15,2e-17,2022-03-14_PTB_In_CombKnoten-SYRTE_Sr2
800000.0,0.005,-4.263040155362734e-15,2e-17,2022-03-14_PTB_In_CombKnoten-SYRTE_Sr2
800000.0,0.005,-2.175916030605205e-15,2e-17,2022-03-14_PTB_In_CombKnoten-SYRTE_Sr2
800000.0,0.005,-2.8850822804163165e-15,2e-17,2022-03-14_PTB_In_CombKnoten-SYRTE_Sr2
800000.0,0.005,-3.176922000305959e-15,2e-17,2022-03-14_PTB_In_CombKnoten-SYRTE_Sr2
800000.0,0.005,-1.888323711159132e-15,2e-17,2022-03-14_PTB_In_CombKnoten-SYRTE_Sr2
800000.0,0.005,-1.469000477504049e-15,2e-17,2022-04-01_PTB_Sr3_CombKnoten-SYRTE_Sr2
800000.0,0.005,-1.5687198808838013e-15,2e-17,2022-04-01_PTB_Sr3_CombKnoten-SYRTE_Sr2
800000.0,0.005,-3.3392175232226387e-15,2e-17,2022-04-01_PTB_Sr3_CombKnoten-SYRTE_Sr2
800000.0,0.005,-2.8092123758512146e-15,2e-17,2022-04-01_PTB_Sr3_CombKnoten-SYRTE_Sr2
800000.0,0.005,-2.1687365685964362e-15,2e-17,2022-04-01_PTB_Sr3_CombKnoten-SYRTE_Sr2
800000.0,0.005,-1.5244548728776408e-15,2e-17,2022-04-01_PTB_Sr3_CombKnoten-SYRTE_Sr2
