time,sat,elev_deg,az_deg,slant_total_m,expected_slant_m,residual_m,station
2025-10-27T00:00:00Z,G25,42.916,162.139,3.4985,,,ALIC
2025-10-27T00:00:00Z,G25,74.395,133.487,2.4768,,,ALIC
2025-10-27T00:00:00Z,G07,62.303,333.635,2.6933,,,ALIC
2025-10-27T00:00:00Z,G12,17.063,231.791,8.0381,,,ALIC
2025-10-27T00:00:00Z,G15,83.172,296.194,2.4029,,,ALIC
2025-10-27T00:00:00Z,Q16,67.085,159.629,2.5894,,,ALIC
2025-10-27T00:00:00Z,Q02,68.955,81.806,2.5556,,,ALIC
2025-10-27T00:00:00Z,G18,19.609,199.651,7.0482,,,ALIC
2025-10-27T01:00:00Z,G25,61.229,171.254,2.7218,,,ALIC
2025-10-27T01:00:00Z,G22,65.857,81.687,2.6149,,,ALIC
2025-10-27T01:00:00Z,G16,82.563,241.133,2.4073,,,ALIC
2025-10-27T01:00:00Z,G23,34.437,157.375,4.2103,,,ALIC
2025-10-27T01:00:00Z,G09,37.784,299.764,3.8879,,,ALIC
2025-10-27T01:00:00Z,G25,45.217,252.095,3.3586,,,ALIC
2025-10-27T01:00:00Z,G18,24.21,112.452,5.7885,,,ALIC
2025-10-27T01:00:00Z,G15,19.744,299.614,7.0061,,,ALIC
2025-10-27T02:00:00Z,G19,20.485,11.094,6.7294,,,ALIC
2025-10-27T02:00:00Z,G23,18.59,157.218,7.3745,,,ALIC
2025-10-27T02:00:00Z,G06,60.13,77.25,2.7359,,,ALIC
2025-10-27T02:00:00Z,G29,45.332,147.07,3.3333,,,ALIC
2025-10-27T02:00:00Z,G17,52.393,307.225,2.9937,,,ALIC
2025-10-27T02:00:00Z,G31,67.375,84.218,2.5708,,,ALIC
2025-10-27T02:00:00Z,G05,57.604,20.989,2.8095,,,ALIC
2025-10-27T02:00:00Z,G16,51.518,101.298,3.0295,,,ALIC
2025-10-27T02:00:00Z,G23,51.941,105.694,3.012,,,ALIC
2025-10-27T02:00:00Z,G16,32.796,238.29,4.3698,,,ALIC
2025-10-27T03:00:00Z,G25,38.577,348.903,3.7832,,,ALIC
2025-10-27T03:00:00Z,G14,32.613,280.35,4.3728,,,ALIC
2025-10-27T03:00:00Z,Q26,57.271,258.08,2.808,,,ALIC
2025-10-27T03:00:00Z,G02,37.136,161.77,3.9069,,,ALIC
2025-10-27T03:00:00Z,G06,16.574,98.007,8.1857,,,ALIC
2025-10-27T03:00:00Z,G16,18.85,34.701,7.2473,,,ALIC
2025-10-27T03:00:00Z,G07,82.142,324.937,2.3862,,,ALIC
2025-10-27T03:00:00Z,G11,78.144,164.079,2.4151,,,ALIC
2025-10-27T03:00:00Z,G22,62.478,72.851,2.6641,,,ALIC
2025-10-27T03:00:00Z,G05,29.94,110.144,4.7193,,,ALIC
2025-10-27T04:00:00Z,Q04,54.073,175.197,2.8793,,,ALIC
2025-10-27T04:00:00Z,G32,22.794,176.655,5.9845,,,ALIC
2025-10-27T04:00:00Z,G08,79.384,337.618,2.374,,,ALIC
2025-10-27T04:00:00Z,G08,53.58,205.822,2.8974,,,ALIC
2025-10-27T04:00:00Z,G02,36.015,170.456,3.9591,,,ALIC
2025-10-27T04:00:00Z,G05,54.319,96.111,2.8704,,,ALIC
2025-10-27T04:00:00Z,G18,11.71,119.365,11.2156,,,ALIC
2025-10-27T04:00:00Z,G18,81.892,187.442,2.357,,,ALIC
2025-10-27T04:00:00Z,G12,46.173,158.008,3.2303,,,ALIC
2025-10-27T04:00:00Z,G10,68.705,7.78,2.5037,,,ALIC
2025-10-27T04:00:00Z,Q27,16.205,297.465,8.2542,,,ALIC
2025-10-27T05:00:00Z,G26,33.785,321.004,4.1877,,,ALIC
2025-10-27T05:00:00Z,G02,81.467,269.499,2.3612,,,ALIC
