time,sat,elev_deg,az_deg,slant_total_m,expected_slant_m,residual_m,station
2025-10-27T00:00:00Z,G16,76.582,206.953,2.134,,,ANK2
2025-10-27T00:00:00Z,G30,57.261,310.653,2.4663,,,ANK2
2025-10-27T00:00:00Z,G13,49.073,104.778,2.7446,,,ANK2
2025-10-27T00:00:00Z,Q19,42.144,317.382,3.0887,,,ANK2
2025-10-27T00:00:00Z,G08,44.83,262.588,2.9404,,,ANK2
2025-10-27T00:00:00Z,G06,25.696,287.55,4.7634,,,ANK2
2025-10-27T00:00:00Z,G16,71.72,239.249,2.1858,,,ANK2
2025-10-27T00:00:00Z,G19,24.879,304.683,4.9076,,,ANK2
2025-10-27T00:00:00Z,G26,63.747,357.516,2.3137,,,ANK2
2025-10-27T00:00:00Z,G13,66.999,151.259,2.2545,,,ANK2
2025-10-27T01:00:00Z,G24,15.259,122.896,7.7687,,,ANK2
2025-10-27T01:00:00Z,Q26,53.112,288.208,2.5927,,,ANK2
2025-10-27T01:00:00Z,Q18,45.046,307.314,2.9287,,,ANK2
2025-10-27T01:00:00Z,Q23,56.071,55.257,2.4995,,,ANK2
2025-10-27T01:00:00Z,G01,43.546,209.766,3.008,,,ANK2
2025-10-27T01:00:00Z,G15,39.898,102.712,3.2296,,,ANK2
2025-10-27T01:00:00Z,G17,45.391,266.102,2.9113,,,ANK2
2025-10-27T01:00:00Z,G29,53.65,85.963,2.5747,,,ANK2
2025-10-27T01:00:00Z,Q10,47.574,241.705,2.8083,,,ANK2
2025-10-27T01:00:00Z,G08,45.411,91.845,2.9103,,,ANK2
2025-10-27T01:00:00Z,G12,71.338,184.012,2.1901,,,ANK2
2025-10-27T01:00:00Z,G06,65.924,341.513,2.2724,,,ANK2
2025-10-27T02:00:00Z,G21,82.9,184.424,2.0908,,,ANK2
2025-10-27T02:00:00Z,G32,28.544,290.681,4.3243,,,ANK2
2025-10-27T02:00:00Z,G03,28.725,127.901,4.2996,,,ANK2
2025-10-27T02:00:00Z,G10,20.462,147.723,5.8861,,,ANK2
2025-10-27T02:00:00Z,G28,74.542,60.458,2.1523,,,ANK2
2025-10-27T02:00:00Z,G18,26.98,266.693,4.5522,,,ANK2
2025-10-27T02:00:00Z,G06,47.738,282.495,2.8001,,,ANK2
2025-10-27T02:00:00Z,G07,84.315,49.199,2.0851,,,ANK2
2025-10-27T02:00:00Z,G25,10.911,141.645,10.6443,,,ANK2
2025-10-27T02:00:00Z,G28,51.736,321.446,2.6399,,,ANK2
2025-10-27T03:00:00Z,G08,68.707,317.548,2.2279,,,ANK2
2025-10-27T03:00:00Z,G29,25.47,287.106,4.8034,,,ANK2
2025-10-27T03:00:00Z,Q05,24.0,313.086,5.0752,,,ANK2
2025-10-27T03:00:00Z,G02,47.277,251.434,2.823,,,ANK2
2025-10-27T03:00:00Z,G08,12.47,242.695,9.4022,,,ANK2
2025-10-27T03:00:00Z,G25,26.897,189.034,4.5687,,,ANK2
2025-10-27T03:00:00Z,Q20,64.301,235.003,2.3034,,,ANK2
2025-10-27T03:00:00Z,G12,72.804,330.879,2.1732,,,ANK2
2025-10-27T03:00:00Z,G21,16.059,36.188,7.4055,,,ANK2
2025-10-27T04:00:00Z,G01,48.554,336.585,2.7696,,,ANK2
2025-10-27T04:00:00Z,Q02,29.481,138.749,4.2072,,,ANK2
2025-10-27T04:00:00Z,G07,20.142,300.911,5.9846,,,ANK2
2025-10-27T04:00:00Z,G28,18.771,27.05,6.3956,,,ANK2
2025-10-27T04:00:00Z,G07,17.749,266.339,6.7428,,,ANK2
2025-10-27T04:00:00Z,G23,57.834,355.841,2.4536,,,ANK2
2025-10-27T04:00:00Z,G14,36.356,304.775,3.4977,,,ANK2
2025-10-27T04:00:00Z,G02,26.248,208.679,4.6766,,,ANK2
2025-10-27T04:00:00Z,G15,61.891,225.636,2.3551,,,ANK2
2025-10-27T04:00:00Z,G01,61.514,127.184,2.3634,,,ANK2
2025-10-27T04:00:00Z,G16,50.438,244.615,2.6932,,,ANK2
2025-10-27T05:00:00Z,G29,31.19,167.476,4.0029,,,ANK2
2025-10-27T05:00:00Z,G08,54.754,79.198,2.5448,,,ANK2
2025-10-27T05:00:00Z,G19,42.595,292.506,3.0682,,,ANK2
2025-10-27T05:00:00Z,G03,79.248,265.087,2.117,,,ANK2
2025-10-27T05:00:00Z,G03,31.586,79.903,3.9582,,,ANK2
2025-10-27T05:00:00Z,G25,60.936,162.438,2.3783,,,ANK2
2025-10-27T05:00:00Z,G24,14.054,166.608,8.4149,,,ANK2
2025-10-27T05:00:00Z,G13,81.69,297.508,2.102,,,ANK2
2025-10-27T05:00:00Z,G20,83.557,246.184,2.0933,,,ANK2
2025-10-27T05:00:00Z,G13,65.431,231.54,2.2861,,,ANK2
2025-10-27T06:00:00Z,G14,71.128,189.102,2.1988,,,ANK2
2025-10-27T06:00:00Z,G18,34.063,114.38,3.7053,,,ANK2
2025-10-27T06:00:00Z,G01,66.853,37.53,2.2625,,,ANK2
2025-10-27T06:00:00Z,G04,80.466,149.347,2.1102,,,ANK2
2025-10-27T06:00:00Z,G06,59.565,44.588,2.4122,,,ANK2
2025-10-27T06:00:00Z,G07,42.376,147.759,3.0826,,,ANK2
2025-10-27T06:00:00Z,G03,66.084,200.496,2.2757,,,ANK2
2025-10-27T06:00:00Z,G11,44.342,335.056,2.9731,,,ANK2
2025-10-27T06:00:00Z,G18,41.082,13.04,3.1613,,,ANK2
2025-10-27T07:00:00Z,G11,51.13,219.704,2.6735,,,ANK2
2025-10-27T07:00:00Z,Q28,26.637,355.211,4.6255,,,ANK2
2025-10-27T07:00:00Z,G05,11.817,31.838,9.9228,,,ANK2
2025-10-27T07:00:00Z,G17,80.603,350.82,2.1119,,,ANK2
2025-10-27T07:00:00Z,Q18,18.123,73.445,6.6279,,,ANK2
2025-10-27T07:00:00Z,G05,19.514,224.306,6.181,,,ANK2
2025-10-27T07:00:00Z,Q22,20.991,151.23,5.7712,,,ANK2
2025-10-27T07:00:00Z,G04,83.596,138.223,2.0967,,,ANK2
2025-10-27T07:00:00Z,G15,56.325,335.248,2.5019,,,ANK2
2025-10-27T08:00:00Z,G05,28.309,212.324,4.3801,,,ANK2
2025-10-27T08:00:00Z,G32,74.079,246.24,2.1686,,,ANK2
2025-10-27T08:00:00Z,G06,12.585,211.733,9.3636,,,ANK2
2025-10-27T08:00:00Z,G22,63.165,131.466,2.3364,,,ANK2
2025-10-27T08:00:00Z,G10,84.954,251.022,2.094,,,ANK2
2025-10-27T08:00:00Z,G24,10.561,213.946,11.0299,,,ANK2
2025-10-27T08:00:00Z,Q14,22.078,74.749,5.5103,,,ANK2
2025-10-27T08:00:00Z,G05,60.561,202.729,2.3937,,,ANK2
2025-10-27T08:00:00Z,G11,14.499,317.487,8.1936,,,ANK2
2025-10-27T09:00:00Z,G26,81.827,89.261,2.1068,,,ANK2
2025-10-27T09:00:00Z,G07,75.647,329.047,2.1523,,,ANK2
2025-10-27T09:00:00Z,G23,21.518,287.014,5.6433,,,ANK2
2025-10-27T09:00:00Z,G20,68.252,349.126,2.2445,,,ANK2
2025-10-27T09:00:00Z,G29,21.096,36.274,5.7492,,,ANK2
2025-10-27T09:00:00Z,Q06,78.504,213.184,2.1279,,,ANK2
2025-10-27T09:00:00Z,G20,48.841,92.574,2.7667,,,ANK2
2025-10-27T09:00:00Z,G27,35.229,195.459,3.606,,,ANK2
2025-10-27T09:00:00Z,G09,21.777,115.364,5.5806,,,ANK2
2025-10-27T09:00:00Z,G24,10.886,102.048,10.7223,,,ANK2
2025-10-27T10:00:00Z,G18,55.469,295.877,2.5277,,,ANK2
2025-10-27T10:00:00Z,G04,14.976,111.436,7.9397,,,ANK2
2025-10-27T10:00:00Z,G11,28.097,197.624,4.4063,,,ANK2
2025-10-27T10:00:00Z,G03,14.553,202.684,8.1579,,,ANK2
2025-10-27T10:00:00Z,G25,51.167,170.239,2.6727,,,ANK2
2025-10-27T10:00:00Z,G25,22.025,235.841,5.5179,,,ANK2
2025-10-27T10:00:00Z,G09,55.781,75.631,2.5184,,,ANK2
2025-10-27T10:00:00Z,G10,69.315,352.528,2.2269,,,ANK2
2025-10-27T11:00:00Z,G29,67.155,267.24,2.2587,,,ANK2
2025-10-27T11:00:00Z,G19,62.364,170.727,2.3493,,,ANK2
2025-10-27T11:00:00Z,G21,30.895,205.463,4.0414,,,ANK2
2025-10-27T11:00:00Z,G29,63.171,113.096,2.3324,,,ANK2
2025-10-27T11:00:00Z,Q13,81.111,50.864,2.1075,,,ANK2
2025-10-27T11:00:00Z,G08,16.867,96.096,7.0892,,,ANK2
2025-10-27T11:00:00Z,G30,34.462,309.485,3.67,,,ANK2
2025-10-27T11:00:00Z,G22,27.6,216.87,4.4748,,,ANK2
2025-10-27T11:00:00Z,G25,39.494,136.076,3.2677,,,ANK2
2025-10-27T12:00:00Z,G15,66.214,221.258,2.2711,,,ANK2
2025-10-27T12:00:00Z,G04,83.155,178.393,2.0939,,,ANK2
2025-10-27T12:00:00Z,G28,44.574,222.245,2.958,,,ANK2
2025-10-27T12:00:00Z,G01,58.189,54.599,2.4448,,,ANK2
2025-10-27T12:00:00Z,G30,78.9,77.605,2.1185,,,ANK2
2025-10-27T12:00:00Z,G22,28.651,97.164,4.3185,,,ANK2
2025-10-27T12:00:00Z,G11,76.492,215.201,2.1379,,,ANK2
2025-10-27T12:00:00Z,Q01,17.316,159.084,6.9042,,,ANK2
2025-10-27T12:00:00Z,G20,58.634,88.011,2.4333,,,ANK2
2025-10-27T12:00:00Z,G03,68.713,317.811,2.2305,,,ANK2
2025-10-27T13:00:00Z,G13,30.047,314.936,4.1526,,,ANK2
2025-10-27T13:00:00Z,Q23,26.646,329.781,4.6313,,,ANK2
2025-10-27T13:00:00Z,G20,18.543,306.094,6.4964,,,ANK2
2025-10-27T13:00:00Z,G22,59.449,347.249,2.4218,,,ANK2
2025-10-27T13:00:00Z,G01,68.569,167.58,2.2412,,,ANK2
2025-10-27T13:00:00Z,G15,67.071,17.09,2.2651,,,ANK2
2025-10-27T13:00:00Z,G16,33.721,30.082,3.7486,,,ANK2
2025-10-27T13:00:00Z,G21,25.394,140.499,4.8408,,,ANK2
2025-10-27T13:00:00Z,Q05,44.021,92.767,2.9986,,,ANK2
2025-10-27T13:00:00Z,G06,51.011,61.179,2.6822,,,ANK2
2025-10-27T13:00:00Z,G25,78.932,343.153,2.1263,,,ANK2
2025-10-27T14:00:00Z,G06,30.296,339.821,4.1151,,,ANK2
2025-10-27T14:00:00Z,G20,30.463,153.646,4.0949,,,ANK2
2025-10-27T14:00:00Z,Q10,22.163,324.398,5.4841,,,ANK2
2025-10-27T14:00:00Z,G12,34.928,35.394,3.6293,,,ANK2
2025-10-27T14:00:00Z,G26,34.844,15.465,3.6369,,,ANK2
2025-10-27T14:00:00Z,G04,44.063,259.693,2.9913,,,ANK2
2025-10-27T14:00:00Z,G13,24.281,273.968,5.0372,,,ANK2
2025-10-27T14:00:00Z,G06,24.476,303.501,5.0002,,,ANK2
2025-10-27T14:00:00Z,Q16,50.63,20.454,2.6922,,,ANK2
2025-10-27T14:00:00Z,G11,19.666,279.687,6.1356,,,ANK2
2025-10-27T14:00:00Z,G02,61.667,135.554,2.3657,,,ANK2
