sat,AJAC,ALIC,ANK2,MIZU
G01,1046.4487174394806,1364.6436356383372,836.3969071014488,-5.6051254223369626e-14
G02,1174.3602514319102,1190.47190374807,1281.4816472370394,
G03,916.3955916556486,1367.6806588024492,1243.8988770031865,
G04,1470.3230359421595,1323.6962482030656,1194.0590543081391,
G05,1033.8518013509536,1137.909969975213,1342.3841341434932,
G06,1261.9336344583303,1391.2265157888826,1194.6591159956852,
G07,1064.168482383633,1355.7590720539097,1227.8549416763835,
G08,1173.3939042551938,1249.9908468822557,1225.009276247383,
G09,1550.2005470885606,1403.4793472048807,1374.8967416240596,
G10,1083.4751503375082,1314.7238302841813,1007.87476562557,
G11,1613.960521140091,1406.535550325001,1276.128822081937,
G12,1035.5034938724284,1429.119275915728,1184.3964681917475,
G13,1515.720201265876,855.9266564429358,1322.5112025897602,
G14,1104.084009582207,1325.4238126187047,1072.4529217957445,
G15,1238.90412103245,1139.0926683484267,1157.1526411098023,-1.8288993203550097e-14
G16,1477.0647955323393,1124.0808205124797,1349.5307291601528,
G17,1147.875639337606,1445.2983917399904,1110.1918018153387,
G18,1338.3472471820037,1356.9470999325058,942.7786548089628,
G19,1365.7395355973113,1385.133909004349,1154.7211966413113,
G20,1471.1071823972795,1521.2326341968626,1209.7263283848592,
G21,1295.31679417048,1264.5727331046053,1132.2098203252372,
G22,1229.6710843774824,1379.815720485947,911.079700554948,
G23,1620.7904296270583,1399.77072340523,1117.434057370545,
G24,1576.625275243657,1342.9369265678215,1370.5594700693216,
G25,839.2128094859152,1341.6745813627888,1284.6230888501748,
G26,1044.5736097296829,1145.575616146479,1043.9746590397751,
G27,1444.3174110444168,1268.1640232613822,1084.4043360200112,
G28,1350.07426061402,1206.6788995549875,1033.8025842337656,
G29,1264.9266843496705,957.987113054554,1044.4197552030332,
G30,1196.7858038182846,1266.8353039883837,1141.7668721467803,
G31,1252.5621982053956,1307.212566546145,1088.4228152646342,
G32,1082.7464020602313,1073.3560374671215,1040.2501141044656,
