Galaxy,AIC_TFGR,BIC_TFGR,logL_TFGR,AIC_NFW,BIC_NFW,logL_NFW,AIC_Ein,BIC_Ein,logL_Ein,AIC_DC14,BIC_DC14,logL_DC14
NGC2403,368.61485020608416,374.3509192223686,-181.30742510304208,369.39661105498726,373.22065706584357,-182.69830552749363,368.8371989794298,374.5732679957142,-181.4185994897149,411.8437985765488,415.6678445874051,-203.9218992882744
NGC3198,413.31720306714595,419.0532720834304,-203.65860153357298,414.67496579792373,418.49901180878004,-205.33748289896187,413.3037179371804,419.03978695346484,-203.6518589685902,435.5525915200188,439.3766375308751,-215.7762957600094
NGC2903,431.9655425328273,437.70161154911176,-212.98277126641366,434.4076408868042,438.2316868976605,-215.2038204434021,431.56396277065016,437.3000317869346,-212.78198138532508,458.6665421730709,462.49058818392723,-227.33327108653546
NGC5055,401.7564147420591,407.49248375834355,-197.87820737102956,421.6245275349675,425.4485735458238,-208.81226376748376,402.3146594194668,408.05072843575124,-198.1573297097334,411.899344054211,415.7233900650673,-203.9496720271055
DDO154,288.1641129514421,293.90018196772655,-141.08205647572106,293.3015233534803,297.1255693643366,-144.65076167674016,288.1385545576155,293.87462357389995,-141.06927727880776,310.07726883415717,313.9013148450135,-153.03863441707858
F571-V1,355.1862845647262,360.9223535810106,-174.5931422823631,362.80883039452226,366.63287640537857,-179.40441519726113,355.0102311447966,360.746300161081,-174.5051155723983,369.42544523654414,373.24949124740044,-182.71272261827207
IC2574,342.04426962666787,347.7803386429523,-168.02213481333393,348.0545716808654,351.87861769172173,-172.0272858404327,341.9062392424298,347.64230825871425,-167.9531196212149,373.87839486621016,377.70244087706646,-184.93919743310508
KK98-251,257.8711958470908,263.60726486337524,-125.93559792354539,271.7480130454712,275.57205905632753,-133.8740065227356,257.95283397077253,263.688902987057,-125.97641698538628,271.79002255848803,275.61406856934434,-133.89501127924402
NGC0055,328.83092911699526,334.5669981332797,-161.41546455849763,341.75509143259734,345.57913744345365,-168.87754571629867,328.21526890527264,333.95133792155707,-161.10763445263632,353.89339269410124,357.71743870495754,-174.94669634705062
NGC0801,454.84624155933847,460.5823105756229,-224.42312077966923,454.57521491610225,458.39926092695856,-225.28760745805113,454.65425824686673,460.39032726315116,-224.32712912343337,492.07171116279494,495.89575717365125,-244.03585558139747
NGC7331,455.64326267544095,461.3793316917254,-224.82163133772048,458.90765396904027,462.7316999798966,-227.45382698452013,455.4419557869934,461.1780248032778,-224.7209778934967,510.571193959606,514.3952399704623,-253.285596979803
UGC02259,368.5917603452136,374.327829361498,-181.2958801726068,374.7548455783601,378.5788915892164,-185.37742278918006,369.84720471226115,375.5832737285456,-181.92360235613057,379.8792181901772,383.7032642010335,-187.9396090950886
UGC02953,442.22700999602466,447.9630790123091,-218.11350499801233,470.19417863733617,474.0182246481925,-233.09708931866808,441.6800657845257,447.41613480081014,-217.84003289226285,472.76743526137386,476.59148127223017,-234.38371763068693
UGCA281,233.72754757557365,239.46361659185808,-113.86377378778683,246.42421511092397,250.24826112178025,-121.21210755546198,234.33244411370063,240.06851312998506,-114.16622205685032,249.8026500079727,253.62669601882897,-122.90132500398634
F574-1,360.1947382439814,365.93080726026585,-177.0973691219907,358.9614128425021,362.7854588533584,-177.48070642125106,358.87948682443823,364.61555584072266,-176.43974341221912,385.19257649275175,389.01662250360806,-190.59628824637588
F574-1,367.9762881120822,373.71235712836665,-180.9881440560411,378.0740072425925,381.8980532534488,-187.03700362129624,368.187552771323,373.92362178760743,-181.0937763856615,380.93375812340724,384.75780413426355,-188.46687906170362
NGC0024,406.04469502319375,411.7807640394782,-200.02234751159688,405.0048062799132,408.82885229076953,-200.5024031399566,406.05780683680996,411.7938758530944,-200.02890341840498,460.4938871937828,464.31793320463913,-228.2469435968914
NGC0024,420.0007700932241,425.73683910950854,-207.00038504661205,421.8765671578263,425.7006131686826,-208.93828357891314,419.9119447137247,425.64801373000915,-206.95597235686236,460.33483460040986,464.15888061126617,-228.16741730020493
NGC0100,353.19941256819175,358.9354815844762,-173.59970628409587,358.8389420079325,362.6629880187888,-177.41947100396624,353.09310140104526,358.8291704173297,-173.54655070052263,369.74408483501014,373.56813084586645,-182.87204241750507
NGC0100,359.2242191736875,364.96028818997195,-176.61210958684376,364.5518388852901,368.37588489614643,-180.27591944264506,359.692184437849,365.4282534541334,-176.8460922189245,382.81953723882253,386.64358324967884,-189.40976861941127
NGC0247,382.6598227943682,388.39589181065264,-188.3299113971841,381.0158040004656,384.8398500113219,-188.5079020002328,382.6935640550479,388.4296330713323,-188.34678202752394,423.7312525594038,427.5552985702601,-209.8656262797019
NGC0247,399.4653603317531,405.20142934803755,-196.73268016587656,398.72597452053935,402.55002053139566,-197.36298726026968,399.59451080975884,405.3305798260433,-196.79725540487942,426.89307705622787,430.7171230670842,-211.44653852811393
NGC0289,420.16522735381136,425.9012963700958,-207.08261367690568,424.14551401984477,427.9695600307011,-210.07275700992238,421.92695700982733,427.66302602611177,-207.96347850491367,430.69774687652745,434.52179288738375,-213.34887343826372
NGC0289,390.0731594412433,395.80922845752775,-192.03657972062166,391.84944186839033,395.67348787924664,-193.92472093419516,391.0059625299523,396.7420315462367,-192.50298126497614,436.94415275140227,440.7681987622586,-216.47207637570114
NGC0300,372.10750863679107,377.8435776530755,-183.05375431839553,374.4779845896201,378.3020306004764,-185.23899229481006,372.2262308131227,377.96229982940713,-183.11311540656135,392.91366061758106,396.73770662843737,-194.45683030879053
NGC0300,363.23952668602135,368.9755957023058,-178.61976334301067,368.3590333491311,372.1830793599874,-182.17951667456555,363.5824005318708,369.31846954815524,-178.7912002659354,375.2809987628811,379.1050447737374,-185.64049938144055
NGC0891,440.56564554120513,446.30171455748956,-217.28282277060256,455.4250223848528,459.2490683957091,-225.7125111924264,440.7218506290954,446.45791964537983,-217.3609253145477,456.12727842896004,459.95132443981635,-226.06363921448002
NGC0891,439.7022393061703,445.43830832245476,-216.85111965308516,451.62410749949044,455.44815351034674,-223.81205374974522,438.92828691835206,444.6643559346365,-216.46414345917603,448.48152390209475,452.30556991295106,-222.24076195104738
NGC1003,396.3731515159556,402.10922053224004,-195.1865757579778,395.2116479562374,399.0356939670937,-195.6058239781187,395.92465066319266,401.6607196794771,-194.96232533159633,435.0803271212129,438.9043731320692,-215.54016356060646
NGC1003,385.21179151387986,390.9478605301643,-189.60589575693993,383.8539295229713,387.67797553382763,-189.92696476148566,385.213810570236,390.9498795865204,-189.606905285118,424.32738502783167,428.151431038688,-210.16369251391583
NGC1090,402.50169472456304,408.23776374084747,-198.25084736228152,413.3614480304625,417.1854940413188,-204.68072401523125,402.3032493431241,408.0393183594085,-198.15162467156205,427.70693234148223,431.53097835233854,-211.85346617074111
NGC1090,409.015279269232,414.7513482855164,-201.507639634616,424.38622800801807,428.2102740188744,-210.19311400400903,409.44889085560396,415.1849598718884,-201.72444542780198,421.2488252088051,425.0728712196614,-208.62441260440255
PGC51017,329.4006166363593,335.13668565264373,-161.70030831817965,374.22988862536585,378.05393463622215,-185.11494431268292,329.80505606835675,335.5411250846412,-161.90252803417837,361.26956396358895,365.09360997444526,-178.63478198179448
PGC51017,316.19691033130476,321.9329793475892,-155.09845516565238,366.45152276946743,370.27556878032374,-181.22576138473372,315.51527803729056,321.251347053575,-154.75763901864528,348.1097973649009,351.9338433757572,-172.05489868245044
