Galaxy,logM_halo,logM_eff
NGC2403,11.4,14.23762935497141
NGC3198,11.64,14.588669543918936
NGC2903,11.64,14.494995141123825
NGC5055,11.72,14.760880961085208
DDO154,10.58,13.440898022040606
F571-V1,10.98,13.92517412277355
IC2574,11.29,14.356459325174104
KK98-251,10.34,13.164300659025015
NGC0055,11.27,14.226893105928278
NGC0801,12.32,15.630689503442976
NGC7331,12.42,15.577362770444601
UGC02259,10.94,13.738884849246958
UGC02953,12.23,15.194594872647672
UGCA281,10.54,13.198467506350584
F574-1,11.27,14.166418358318426
F574-1,11.27,14.166418358318426
NGC0024,11.3,14.467067292108622
NGC0024,11.3,14.467067292108622
NGC0100,11.19,14.107881394523044
NGC0100,11.19,14.107881394523044
NGC0247,11.37,14.56761774105662
NGC0247,11.37,14.56761774105662
NGC0289,11.82,14.871696420475669
NGC0289,11.82,14.871696420475669
NGC0300,11.11,14.06456255856484
NGC0300,11.11,14.06456255856484
NGC0891,11.93,14.872722984327293
NGC0891,11.93,14.872722984327293
NGC1003,11.59,14.7039300655761
NGC1003,11.59,14.7039300655761
NGC1090,11.71,14.634071650079363
NGC1090,11.71,14.634071650079363
PGC51017,10.25,13.255280274627795
PGC51017,10.25,13.255280274627795
