z,H_TFGR,q_TFGR,j_TFGR,H_LCDM,q_LCDM,j_LCDM,Omega_r_TFGR,Omega_m_TFGR,Omega_TF_TFGR
-9.899999999999999911e-01,2.263966596710235990e+02,-1.299999941492828048e+00,2.079999964895916875e+00,5.686397511610404365e+01,-9.999992271529970500e-01,1.000000000000000000e+00,9.559959454114925497e-14,3.250386214399071746e-08,9.999999674960422524e-01
-9.862578222778473069e-01,2.058037868811155420e+02,-1.299999816257464857e+00,2.079999889755427489e+00,5.686399848392090206e+01,-9.999979943253294312e-01,1.000000000000000000e+00,4.125832568788330682e-13,1.020786589833367750e-07,9.999998979209284711e-01
-9.825156445556946228e-01,1.914587294302892815e+02,-1.299999562730796310e+00,2.079999737641351043e+00,5.686403876651569789e+01,-9.999958691187560422e-01,1.000000000000000000e+00,1.249235284242451012e-12,2.429257389529737569e-07,9.999997570730118079e-01
-9.787734668335419386e-01,1.806368674489643809e+02,-1.299999121027300975e+00,2.079999472623391910e+00,5.686410057001543805e+01,-9.999926085315308244e-01,1.000000000000000000e+00,3.048593841527547080e-12,4.883142706305270256e-07,9.999995116826807529e-01
-9.750312891113892544e-01,1.720486866810513220e+02,-1.299998422979946167e+00,2.079999053802765729e+00,5.686418850052609741e+01,-9.999879695692062143e-01,1.000000000000000000e+00,6.433952335795201559e-12,8.761140308481832534e-07,9.999991238795351567e-01
-9.712891113892365702e-01,1.649895097352873563e+02,-1.299997392769506321e+00,2.079998435689835112e+00,5.686430716411324227e+01,-9.999817092487057746e-01,1.000000000000000000e+00,1.223122493322256916e-11,1.448445756477439372e-06,9.999985515420122262e-01
-9.675469336670838860e-01,1.590353889791178403e+02,-1.299995947411940911e+00,2.079997568496590787e+00,5.686446116677908691e+01,-9.999735846031835296e-01,1.000000000000000000e+00,2.148975572956555096e-11,2.251410351520935127e-06,9.999977485681588174e-01
-9.638047559449312018e-01,1.539129914353940762e+02,-1.299993997151546843e+00,2.079996398372582433e+00,5.686465511443567067e+01,-9.999633526876696710e-01,1.000000000000000000e+00,3.550189694109694992e-11,3.334870443643985672e-06,9.999966650940544932e-01
-9.600625782227785177e-01,1.494366187189763764e+02,-1.299991445787578748e+00,2.079994867600936992e+00,5.686489361287438271e+01,-9.999507705855043005e-01,1.000000000000000000e+00,5.582157873917603413e-11,4.752268906388147639e-06,9.999952476752721475e-01
-9.563204005006257225e-01,1.454748232164728279e+02,-1.299988190951723910e+00,2.079992914764883238e+00,5.686518126773178494e+01,-9.999355954155557669e-01,1.000000000000000000e+00,8.428203136053034853e-11,6.560474681776975774e-06,9.999934394410362470e-01
-9.525782227784730383e-01,1.419314289419374120e+02,-1.299984124348032122e+00,2.079990474891748597e+00,5.686552268445161928e+01,-9.999175843402258179e-01,1.000000000000000000e+00,1.230127800374187808e-10,8.819649465548998036e-06,9.999911802275215367e-01
-9.488360450563203541e-01,1.387341229258813655e+02,-1.299979131963366230e+00,2.079987479579268328e+00,5.686592246824316987e+01,-9.998964945742409016e-01,1.000000000000000000e+00,1.744560059812877714e-10,1.159313076929466850e-05,9.999884066947746231e-01
-9.450938673341676699e-01,1.358272778923645205e+02,-1.299973094254205597e+00,2.079983857107702505e+00,5.686638522403583806e+01,-9.998720833942259523e-01,1.000000000000000000e+00,2.413823472720144044e-10,1.494732811942452366e-05,9.999850524304982891e-01
-9.413516896120149857e-01,1.331672623763694787e+02,-1.299965886314146779e+00,2.079979532540372489e+00,5.686691555643005103e+01,-9.998441081490637705e-01,1.000000000000000000e+00,3.269061992886865977e-10,1.895162998266421918e-05,9.999810480431111648e-01
-9.376095118898623015e-01,1.307192762421711052e+02,-1.299957378025403898e+00,2.079974427814593518e+00,5.686751806964441158e+01,-9.998123262710365555e-01,1.000000000000000000e+00,4.345005636013491326e-10,2.367831958032947743e-05,9.999763212459190642e-01
