z,Hz,Hz_err,sigma_Hz,source
0,73,8,8,Stern2009_CC
0.1,69,12,12,Stern2009_CC
0.17,83,8,8,Stern2009_CC
0.1791,75,4,4,Moresco2012_CC_median
0.1993,75,5,5,Moresco2012_CC_median
0.27,77,14,14,Stern2009_CC
0.3519,83,14,14,Moresco2012_CC_median
0.4,95,17,17,Stern2009_CC
0.48,97,60,60,Stern2009_CC
0.5929,104,13,13,Moresco2012_CC_median
0.6797,92,8,8,Moresco2012_CC_median
0.7812,105,12,12,Moresco2012_CC_median
0.8754,125,17,17,Moresco2012_CC_median
0.88,90,40,40,Stern2009_CC
0.9,117,23,23,Stern2009_CC
1.037,154,20,20,Moresco2012_CC_median
1.3,168,17,17,Stern2009_CC
1.43,177,18,18,Stern2009_CC
1.53,140,14,14,Stern2009_CC
1.75,202,40,40,Stern2009_CC
