model,Om_m0,n_TF,C_best,chi2_SN,chi2_BAO,chi2_tot,dof
TFGR,0.2,-0.8,-19.458009784264526,1281.476491466267,40.62444719376804,1322.100938660035,1059
TFGR,0.2,-0.78,-19.456417208712235,1274.9101403584677,40.1921993752189,1315.1023397336867,1059
TFGR,0.2,-0.76,-19.454822081784812,1268.4103625122466,39.76020566924957,1308.1705681814963,1059
TFGR,0.2,-0.74,-19.45322440508158,1261.9781096828037,39.32851193685052,1301.3066216196542,1059
TFGR,0.2,-0.72,-19.451624180284885,1255.6143400579438,38.89716560659244,1294.5115056645361,1059
TFGR,0.2,-0.7000000000000001,-19.450021409160687,1249.3200182250653,38.4662157196107,1287.786233944676,1059
TFGR,0.2,-0.68,-19.44841609355919,1243.0961151363035,38.03571297575725,1281.1318281120607,1059
TFGR,0.2,-0.66,-19.44680823541545,1236.9436080717721,37.6057097809468,1274.549317852719,1059
TFGR,0.2,-0.64,-19.445197836749973,1230.8634806008492,37.17626029572411,1268.0397408965734,1059
TFGR,0.2,-0.62,-19.443584899669307,1224.8567225415532,36.74742048507999,1261.6041430266332,1059
TFGR,0.2,-0.6,-19.441969426366654,1218.9243299179439,36.31924816954362,1255.2435780874875,1059
TFGR,0.2,-0.5800000000000001,-19.440351419122393,1213.0673049155096,35.89180307757963,1248.9591079930892,1059
TFGR,0.2,-0.56,-19.438730880304725,1207.2866558345784,35.465146899318746,1242.7518027338972,1059
TFGR,0.2,-0.54,-19.437107812370158,1201.5833970416902,35.039343341650785,1236.622740383341,1059
TFGR,0.2,-0.52,-19.435482217864116,1195.9585489188958,34.61445818471017,1230.573007103606,1059
TFGR,0.2,-0.5,-19.433854099421463,1190.4131378110346,34.190559339783356,1224.6036971508179,1059
TFGR,0.2,-0.48,-19.432223459767027,1184.9481959708685,33.76771690866903,1218.7159128795374,1059
TFGR,0.2,-0.45999999999999996,-19.430590301716137,1179.5647615021821,33.34600324452172,1212.9107647467038,1059
TFGR,0.2,-0.43999999999999995,-19.42895462817513,1174.2638783006864,32.92549301421039,1207.1893713148968,1059
TFGR,0.2,-0.42,-19.427316442141876,1169.046595992862,32.506263262223186,1201.5528592550852,1059
TFGR,0.2,-0.39999999999999997,-19.425675746706226,1163.9139698725812,32.088393476151055,1196.0023633487322,1059
TFGR,0.2,-0.37999999999999995,-19.424032545050547,1158.8670608356263,31.671965653782244,1190.5390264894086,1059
TFGR,0.2,-0.36,-19.42238684045015,1153.9069353119785,31.25706437184094,1185.1639996838194,1059
TFGR,0.2,-0.33999999999999997,-19.420738636273768,1149.0346651959453,30.84377685640316,1179.8784420523484,1059
TFGR,0.2,-0.31999999999999995,-19.419087935983992,1144.2513277740666,30.432193055023642,1174.6835208290902,1059
TFGR,0.2,-0.29999999999999993,-19.41743474313772,1139.5580056508218,30.022405710607906,1169.5804113614297,1059
TFGR,0.2,-0.2799999999999999,-19.415779061386555,1134.955786672101,29.614510437063842,1164.570297109165,1059
TFGR,0.2,-0.2599999999999999,-19.414120894477254,1130.445763846443,29.208605796767657,1159.6543696432107,1059
TFGR,0.2,-0.24,-19.412460246252067,1126.0290352640222,28.80479337987948,1154.8338286439018,1059
TFGR,0.2,-0.21999999999999997,-19.410797120649157,1121.7067040134134,28.403177885544178,1150.1098818989576,1059
TFGR,0.2,-0.2,-19.409131521702957,1117.4798780960762,28.003867205013055,1145.4837453010891,1059
TFGR,0.20500000000000002,-0.8,-19.454968911685796,1262.9590762724824,38.511458324398234,1301.4705345968807,1059
TFGR,0.20500000000000002,-0.78,-19.453394876280132,1256.7437843824932,38.100211565679025,1294.8439959481723,1059
TFGR,0.20500000000000002,-0.76,-19.451818280797983,1250.593256299277,37.68932403712897,1288.282580336406,1059
TFGR,0.20500000000000002,-0.74,-19.450239126551104,1244.508421067264,37.278841681489496,1281.7872627487534,1059
TFGR,0.20500000000000002,-0.72,-19.448657414932722,1238.490214173323,36.86881198481694,1275.3590261581398,1059
TFGR,0.20500000000000002,-0.7000000000000001,-19.4470731474182,1232.5395775182228,36.45928402062229,1268.9988615388452,1059
TFGR,0.20500000000000002,-0.68,-19.44548632556565,1226.6574593862751,36.05030849515919,1262.7077678814344,1059
TFGR,0.20500000000000002,-0.66,-19.443896951016583,1220.8448144131899,35.64193779388698,1256.4867522070767,1059
TFGR,0.20500000000000002,-0.64,-19.442305025496523,1215.1026035519776,35.234226029135144,1250.3368295811129,1059
TFGR,0.20500000000000002,-0.62,-19.440710550815634,1209.431794037055,34.82722908899674,1244.2590231260517,1059
TFGR,0.20500000000000002,-0.6,-19.439113528869328,1203.8333593463976,34.421004687478145,1238.2543640338758,1059
TFGR,0.20500000000000002,-0.5800000000000001,-19.43751396163887,1198.3082791617808,34.01561241593373,1232.3238915777144,1059
TFGR,0.20500000000000002,-0.56,-19.435911851191975,1192.8575393270503,33.6111137958134,1226.4686531228638,1059
TFGR,0.20500000000000002,-0.54,-19.434307199683403,1187.4821318044567,33.20757233275275,1220.6897041372094,1059
TFGR,0.20500000000000002,-0.52,-19.432700009355532,1182.1830546289657,32.80505357203453,1214.9881082010002,1059
TFGR,0.20500000000000002,-0.5,-19.43109028253892,1176.9613118605603,32.40362515545209,1209.3649370160124,1059
TFGR,0.20500000000000002,-0.48,-19.42947802165292,1171.817913534536,32.00335687960443,1203.8212704141404,1059
TFGR,0.20500000000000002,-0.45999999999999996,-19.427863229206157,1166.7538756097051,31.60432075565429,1198.3581963653594,1059
TFGR,0.20500000000000002,-0.43999999999999995,-19.42624590779714,1161.7702199145679,31.206591070579883,1192.9768109851477,1059
TFGR,0.20500000000000002,-0.42,-19.424626060114765,1156.8679740913708,30.810244449952506,1187.6782185413233,1059
TFGR,0.20500000000000002,-0.39999999999999997,-19.42300368893884,1152.0481715380854,30.415359922271556,1182.463531460357,1059
TFGR,0.20500000000000002,-0.37999999999999995,-19.421378797140644,1147.3118513482418,30.022018984889943,1177.3338703331317,1059
TFGR,0.20500000000000002,-0.36,-19.41975138768335,1142.6600582486312,29.63030567156244,1172.2903639201936,1059
TFGR,0.20500000000000002,-0.33999999999999997,-19.418121463622597,1138.0938425348852,29.2403066216506,1167.334149156536,1059
TFGR,0.20500000000000002,-0.31999999999999995,-19.41648902810693,1133.6142600048415,28.85211115101753,1162.466371155859,1059
TFGR,0.20500000000000002,-0.29999999999999993,-19.414854084378284,1129.2223718897899,28.46581132464752,1157.6881832144375,1059
TFGR,0.20500000000000002,-0.2799999999999999,-19.413216635772454,1124.9192447834728,28.081502031023927,1153.0007468144968,1059
TFGR,0.20500000000000002,-0.2599999999999999,-19.411576685719506,1120.7059505689317,27.69928105830138,1148.4052316272332,1059
TFGR,0.20500000000000002,-0.24,-19.409934237744253,1116.5835663431055,27.31924917230676,1143.9028155154124,1059
TFGR,0.20500000000000002,-0.21999999999999997,-19.40828929546665,1112.5531743392417,26.941510196405243,1139.494684535647,1059
TFGR,0.20500000000000002,-0.2,-19.4066418626022,1108.6158618470438,26.566171093267183,1135.182032940311,1059
TFGR,0.21000000000000002,-0.8,-19.451949353665402,1245.3664153501654,36.49913726771571,1281.8655526178811,1059
TFGR,0.21000000000000002,-0.78,-19.45039361027922,1239.4888064319853,36.108271027788845,1275.597077459774,1059
TFGR,0.21000000000000002,-0.76,-19.44883529940019,1233.6742465085595,35.71786611186505,1269.3921126204245,1059
TFGR,0.21000000000000002,-0.74,-19.447274422060485,1227.9236425209867,35.32796855453189,1263.2516110755187,1059
TFGR,0.21000000000000002,-0.72,-19.445710979372198,1222.2379078524004,34.938625910395515,1257.176533762796,1059
TFGR,0.21000000000000002,-0.7000000000000001,-19.444144972528,1216.6179623036508,34.54988729739917,1251.16784960105,1059
