time,Bx,By,Bz,B_total
2019-03-06 19:31:17+00:00,-145365520.0,-17399788.0,623176.97,146404492.33835444
2019-03-06 19:31:18+00:00,-145365520.0,-17399814.8,623176.64,146404495.52206156
2019-03-06 19:31:19+00:00,-145365520.0,-17399846.0,623176.26,146404499.22849074
2019-03-06 19:31:20+00:00,-145365520.0,-17399876.8,623175.89,146404502.88742986
2019-03-06 19:31:21+00:00,-145365520.0,-17399908.0,623175.51,146404506.59387207
2019-03-06 19:31:22+00:00,-145365520.0,-17399939.2,623175.14,146404510.3003634
2019-03-06 19:31:23+00:00,-145365520.0,-17399970.0,623174.76,146404513.95927927
2019-03-06 19:31:24+00:00,-145365520.0,-17400001.2,623174.39,146404517.66578364
2019-03-06 19:31:25+00:00,-145365520.0,-17400032.0,623174.01,146404521.3247124
2019-03-06 19:31:26+00:00,-145365520.0,-17400063.2,623173.64,146404525.0312298
2019-03-06 19:31:27+00:00,-145365520.0,-17400094.0,623173.26,146404528.6901714
2019-03-06 19:31:28+00:00,-145365520.0,-17400125.2,623172.89,146404532.3967018
2019-03-06 19:31:29+00:00,-145365520.0,-17400156.0,623172.51,146404536.05565625
2019-03-06 19:31:30+00:00,-145365520.0,-17400187.2,623172.14,146404539.7621997
2019-03-06 19:31:31+00:00,-145365520.0,-17400218.0,623171.76,146404543.42116705
2019-03-06 19:31:32+00:00,-145365520.0,-17400249.2,623171.39,146404547.12772352
2019-03-06 19:31:33+00:00,-145365520.0,-17400280.0,623171.01,146404550.7867037
2019-03-06 19:31:34+00:00,-145365520.0,-17400311.2,623170.64,146404554.4932732
2019-03-06 19:31:35+00:00,-145365520.0,-17400342.0,623170.26,146404558.15226626
2019-03-06 19:31:36+00:00,-145365520.0,-17400373.2,623169.89,146404561.8588488
2019-03-06 19:31:37+00:00,-145365520.0,-17400404.0,623169.51,146404565.5178547
2019-03-06 19:31:38+00:00,-145365520.0,-17400435.2,623169.14,146404569.22445026
2019-03-06 19:31:39+00:00,-145365520.0,-17400466.0,623168.76,146404572.88346905
2019-03-06 19:31:40+00:00,-145365520.0,-17400497.2,623168.4,146404576.5901202
2019-03-06 19:31:41+00:00,-145365520.0,-17400528.0,623168.03,146404580.24919438
2019-03-06 19:31:42+00:00,-145365520.0,-17400559.2,623167.66,146404583.955816
2019-03-06 19:31:43+00:00,-145365520.0,-17400590.0,623167.29,146404587.61490306
2019-03-06 19:31:44+00:00,-145365520.0,-17400621.6,623166.93,146404591.36912146
2019-03-06 19:31:45+00:00,-145365520.0,-17400652.0,623166.54,146404594.98059505
2019-03-06 19:31:46+00:00,-145365520.0,-17400683.6,623166.18,146404598.73482665
2019-03-06 19:31:47+00:00,-145365520.0,-17400714.0,623165.8,146404602.3463555
2019-03-06 19:31:48+00:00,-145365520.0,-17400745.6,623165.43,146404606.10055774
2019-03-06 19:31:49+00:00,-145365523.2,-17400776.0,623165.05,146404612.88938764
2019-03-06 19:31:50+00:00,-145365536.0,-17400807.6,623164.68,146404629.35275617
2019-03-06 19:31:51+00:00,-145365536.0,-17400838.0,623164.3,146404632.96431002
2019-03-06 19:31:52+00:00,-145365536.0,-17400869.6,623163.93,146404636.71853822
2019-03-06 19:31:53+00:00,-145365536.0,-17400900.0,623163.55,146404640.3301048
2019-03-06 19:31:54+00:00,-145365536.0,-17400931.6,623163.18,146404644.0843462
2019-03-06 19:31:55+00:00,-145365536.0,-17400962.0,623162.8,146404647.69592544
2019-03-06 19:31:56+00:00,-145365536.0,-17400993.6,623162.43,146404651.45018002
2019-03-06 19:31:57+00:00,-145365536.0,-17401024.0,623162.05,146404655.06177196
2019-03-06 19:31:58+00:00,-145365536.0,-17401055.6,623161.68,146404658.81603977
2019-03-06 19:31:59+00:00,-145365536.0,-17401086.0,623161.3,146404662.42764437
2019-03-06 19:32:00+00:00,-145365536.0,-17401117.6,623160.93,146404666.1819254
2019-03-06 19:32:01+00:00,-145365536.0,-17401148.0,623160.55,146404669.7935427
2019-03-06 19:32:02+00:00,-145365536.0,-17401179.6,623160.18,146404673.54783687
2019-03-06 19:32:03+00:00,-145365536.0,-17401210.0,623159.8,146404677.15946692
2019-03-06 19:32:04+00:00,-145365536.0,-17401241.6,623159.43,146404680.91377428
2019-03-06 19:32:05+00:00,-145365536.0,-17401272.0,623159.05,146404684.525417
