time,dt_res,X,Y,Z,L,t_sec,Bx,By,Bz,B_total
2019-03-06 19:31:17+00:00,4.3191665898405084e-14,-3000000.0,-2000000.0,-1000000.0,3741657.3867739416,0,-145365520.0,-17399788.0,623176.97,146404492.33835444
2019-03-06 19:32:17+00:00,4.3191665898405084e-14,-2936842.1052631577,-1957894.7368421047,-978947.3684210526,3662885.652315543,60,-145365536.0,-17401644.4,623154.57,146404728.7692903
2019-03-06 19:33:17+00:00,4.3191665898405084e-14,-2873684.210526316,-1915789.4736842103,-957894.7368421052,3584113.917857144,120,-145365568.0,-17403505.2,623132.14,146404981.6327059
2019-03-06 19:34:17+00:00,4.3191665898405084e-14,-2810526.3157894737,-1873684.210526316,-936842.105263158,3505342.183398745,180,-145365600.0,-17405366.0,623109.7,146405234.5193033
2019-03-06 19:35:17+00:00,4.3191665898405084e-14,-2747368.4210526315,-1831578.947368421,-915789.4736842106,3426570.4489403465,240,-145365632.0,-17407227.0,623087.26,146405487.45290434
2019-03-06 19:36:17+00:00,4.3191665898405084e-14,-2684210.5263157897,-1789473.6842105263,-894736.8421052631,3347798.7144819475,300,-145365648.0,-17409087.2,623064.83,146405724.42831424
2019-03-06 19:37:17+00:00,4.3191665898405084e-14,-2621052.6315789474,-1747368.4210526317,-873684.2105263157,3269026.980023549,360,-145365680.0,-17410948.2,623042.39,146405977.40838733
2019-03-06 19:38:17+00:00,4.3191665898405084e-14,-2557894.736842105,-1705263.1578947369,-852631.5789473684,3190255.24556515,420,-145365712.0,-17412809.0,623019.96,146406230.38794485
2019-03-06 19:39:17+00:00,4.3191665898405084e-14,-2494736.842105263,-1663157.894736842,-831578.947368421,3111483.511106751,480,-145365744.0,-17414669.0,622997.52,146406483.29552564
2019-03-06 19:40:17+00:00,4.3191665898405084e-14,-2431578.947368421,-1621052.6315789474,-810526.3157894737,3032711.7766483524,540,-145365776.0,-17416529.8,622975.08,146406736.32147792
2019-03-06 19:41:17+00:00,4.3191665898405084e-14,-2368421.052631579,-1578947.3684210526,-789473.6842105263,2953940.042189954,600,-145365792.0,-17418390.7,622952.65,146406973.49637842
2019-03-06 19:42:17+00:00,4.3191665898405084e-14,-2305263.157894737,-1536842.1052631575,-768421.0526315789,2875168.307731555,660,-145365824.0,-17420251.0,622930.22,146407226.5093529
2019-03-06 19:43:17+00:00,4.3191665898405084e-14,-2242105.263157895,-1494736.8421052631,-747368.4210526316,2796396.5732731563,720,-145365856.0,-17422111.4,622907.78,146407479.5573953
2019-03-06 19:44:17+00:00,4.3191665898405084e-14,-2178947.3684210526,-1452631.5789473683,-726315.7894736843,2717624.8388147573,780,-145365888.0,-17423972.4,622885.35,146407732.70009938
2019-03-06 19:45:17+00:00,4.3191665898405084e-14,-2115789.4736842103,-1410526.3157894737,-705263.1578947369,2638853.1043563588,840,-145365904.8,-17425833.0,622862.91,146407970.72656667
2019-03-06 19:46:17+00:00,4.3191665898405084e-14,-2052631.5789473683,-1368421.0526315789,-684210.5263157894,2560081.36989796,900,-145365936.0,-17427693.0,622840.47,146408223.00236216
2019-03-06 19:47:17+00:00,4.3191665898405084e-14,-1989473.6842105263,-1326315.789473684,-663157.894736842,2481309.635439561,960,-145365968.0,-17429553.9,622818.04,146408476.20285165
2019-03-06 19:48:17+00:00,4.3191665898405084e-14,-1926315.7894736845,-1284210.5263157894,-642105.2631578947,2402537.900981162,1020,-145366000.0,-17431414.9,622795.6,146408729.43842974
2019-03-06 19:49:17+00:00,4.3191665898405084e-14,-1863157.894736842,-1242105.2631578948,-621052.6315789474,2323766.166522764,1080,-145366032.0,-17433275.0,622773.17,146408982.5901127
2019-03-06 19:50:17+00:00,4.3191665898405084e-14,-1800000.0,-1200000.0,-600000.0,2244994.4320643647,1140,-145366048.0,-17435135.5,622750.73,146409219.92659268
2019-03-06 19:51:17+00:00,4.3191665898405084e-14,-1736842.1052631575,-1157894.7368421052,-578947.3684210526,2166222.6976059657,1200,-145366080.0,-17436996.4,622728.29,146409473.21994975
2019-03-06 19:52:17+00:00,4.3191665898405084e-14,-1673684.2105263155,-1115789.4736842103,-557894.7368421052,2087450.9631475671,1260,-145366112.0,-17438857.0,622705.86,146409726.50084102
2019-03-06 19:53:17+00:00,4.3191665898405084e-14,-1610526.3157894737,-1073684.2105263155,-536842.1052631579,2008679.2286891688,1320,-145366144.0,-17440717.0,622683.42,146409979.73343337
2019-03-06 19:54:17+00:00,4.3191665898405084e-14,-1547368.4210526317,-1031578.947368421,-515789.4736842105,1929907.4942307696,1380,-145366160.0,-17442577.9,622660.98,146410217.21054575
2019-03-06 19:55:17+00:00,4.3191665898405084e-14,-1484210.5263157894,-989473.6842105264,-494736.8421052632,1851135.759772371,1440,-145366192.0,-17444438.8,622638.55,146410470.5968523
2019-03-06 19:56:17+00:00,4.3191665898405084e-14,-1421052.6315789474,-947368.4210526316,-473684.2105263157,1772364.025313972,1500,-145366224.0,-17446299.0,622616.11,146410723.92292857
2019-03-06 19:57:17+00:00,4.3191665898405084e-14,-1357894.7368421052,-905263.1578947369,-452631.5789473684,1693592.2908555733,1560,-145366256.0,-17448159.3,622593.67,146410977.28412867
2019-03-06 19:58:17+00:00,4.3191665898405084e-14,-1294736.8421052631,-863157.894736842,-431578.947368421,1614820.5563971747,1620,-145366272.0,-17450020.2,622571.24,146411214.85428384
2019-03-06 19:59:17+00:00,4.3191665898405084e-14,-1231578.9473684211,-821052.6315789472,-410526.3157894736,1536048.8219387757,1680,-145366304.0,-17451881.0,622548.8,146411468.32153195
2019-03-06 20:00:17+00:00,4.3191665898405084e-14,-1168421.0526315789,-778947.3684210526,-389473.6842105263,1457277.0874803772,1740,-145366336.0,-17453741.0,622526.36,146411721.7166333
2019-03-06 20:01:17+00:00,4.3191665898405084e-14,-1105263.1578947369,-736842.1052631577,-368421.0526315789,1378505.3530219784,1800,-145366368.0,-17455601.6,622503.93,146411975.20651177
2019-03-06 20:02:17+00:00,4.3191665898405084e-14,-1042105.2631578946,-694736.8421052631,-347368.4210526316,1299733.6185635796,1860,-145366384.0,-17457462.5,622481.49,146412212.86962286
2019-03-06 20:03:17+00:00,4.3191665898405084e-14,-978947.3684210526,-652631.5789473683,-326315.78947368416,1220961.8841051809,1920,-145366416.0,-17459323.0,622459.05,146412466.39399362
2019-03-06 20:04:17+00:00,4.3191665898405084e-14,-915789.4736842106,-610526.3157894735,-305263.15789473674,1142190.149646782,1980,-145366448.0,-17461183.0,622436.61,146412719.8819476
2019-03-06 20:05:17+00:00,4.3191665898405084e-14,-852631.5789473685,-568421.0526315789,-284210.52631578944,1063418.4151883833,2040,-145366480.0,-17463043.8,622414.18,146412973.48856276
2019-03-06 20:06:17+00:00,-4.796257029593435e-13,-789473.6842105263,-526315.789473684,-263157.894736842,984646.6807299844,2100,-145366496.0,-17464904.7,622391.74,146413211.24466917
2019-03-06 20:07:17+00:00,7.028210565133218e-13,-726315.789473684,-484210.52631578944,-242105.26315789472,905874.9462715856,2160,-145366528.0,-17466765.0,622369.3,146413464.8380592
2019-03-06 20:08:17+00:00,-7.141605974002028e-13,-663157.8947368423,-442105.2631578946,-221052.6315789473,827103.211813187,2220,-145366560.0,-17468625.2,622346.86,146413718.44272596
2019-03-06 20:09:17+00:00,4.902738084262929e-13,-600000.0,-399999.99999999977,-199999.99999999988,748331.4773547881,2280,-145366592.0,-17470486.0,622324.43,146413972.14223388
2019-03-06 20:10:17+00:00,3.09486493961464e-13,-536842.1052631577,-357894.7368421052,-178947.36842105258,669559.7428963893,2340,-145366608.0,-17472346.9,622301.99,146414209.9913337
2019-03-06 20:11:17+00:00,3.143726375956484e-13,-473684.2105263155,-315789.4736842104,-157894.73684210517,590788.0084379903,2400,-145366640.0,-17474208.0,622279.54,146414463.77302608
2019-03-06 20:12:17+00:00,2.1909283672904962e-13,-410526.3157894737,-273684.2105263157,-136842.10526315786,512016.2739795919,2460,-145366672.0,-17476068.21,622257.1,146414717.4717578
2019-03-06 20:13:17+00:00,-9.36480132755601e-13,-347368.42105263146,-231578.9473684209,-115789.47368421045,433244.539521193,2520,-145366704.0,-17477929.05,622234.66,146414971.2688991
2019-03-06 20:14:17+00:00,1.0915460495989683e-13,-284210.5263157892,-189473.6842105261,-94736.84210526304,354472.80506279407,2580,-145366720.0,-17479789.89,622212.23,146415209.20388055
2019-03-06 20:15:17+00:00,2.1204019544574392e-14,-221052.63157894745,-147368.42105263146,-73684.21052631573,275701.07060439565,2640,-145366752.0,-17481650.0,622189.79,146415462.96032664
2019-03-06 20:16:17+00:00,-4.7201991334009486e-14,-157894.73684210517,-105263.15789473662,-52631.57894736831,196929.3361459967,2700,-145366784.0,-17483510.21,622167.35,146415716.7519158
2019-03-06 20:17:17+00:00,-6.674656587074777e-14,-94736.84210526291,-63157.89473684202,-31578.94736842101,118157.6016875979,2760,-145366800.0,-17485371.05,622144.91,146415954.7565948
2019-03-06 20:18:17+00:00,-9.850649949294717e-14,-31578.94736842113,-21052.631578947185,-10526.315789473592,39385.86722919932,2820,-145366832.0,-17487231.89,622122.47,146416208.6698687
2019-03-06 20:19:17+00:00,-1.2782336129805482e-13,31578.94736842113,21052.631578947417,10526.315789473709,39385.86722919947,2880,-145366864.0,-17489092.0,622100.03,146416462.5191658
2019-03-06 20:20:17+00:00,-1.620263667373469e-13,94736.84210526338,63157.89473684225,31578.94736842113,118157.60168759842,2940,-145366896.0,-17490952.21,622077.59,146416716.4036105
2019-03-06 20:21:17+00:00,8.884945146123352e-13,157894.73684210517,105263.15789473709,52631.57894736854,196929.336145997,3000,-145366912.0,-17492813.05,622055.15,146416954.5012723
2019-03-06 20:22:17+00:00,-2.4997695215266895e-13,221052.63157894745,147368.42105263192,73684.21052631596,275701.07060439594,3060,-145366944.0,-17494673.89,622032.72,146417208.50747475
2019-03-06 20:23:17+00:00,-2.8662302940905343e-13,284210.52631578967,189473.6842105263,94736.84210526316,354472.8050627946,3120,-145366976.0,-17496534.0,622010.28,146417462.44962093
2019-03-06 20:24:17+00:00,-3.086106757628836e-13,347368.42105263146,231578.9473684212,115789.47368421056,433244.53952119313,3180,-145367008.0,-17498394.11,621987.84,146417716.41496822
2019-03-06 20:25:17+00:00,-3.159398912141605e-13,410526.3157894737,273684.210526316,136842.10526315798,512016.27397959214,3240,-145367024.0,-17500254.95,621965.4,146417954.60560966
2019-03-06 20:26:17+00:00,-3.330413939338063e-13,473684.210526316,315789.4736842108,157894.7368421054,590788.008437991,3300,-145367056.0,-17502115.79,621942.96,146418208.70465258
2019-03-06 20:27:17+00:00,7.565686364893518e-13,536842.1052631577,357894.73684210563,178947.36842105282,669559.7428963896,3360,-145367088.0,-17503976.0,621920.52,146418462.75159946
2019-03-06 20:28:17+00:00,7.052641283304134e-13,600000.0,400000.0,200000.0,748331.4773547882,3420,-145367104.0,-17505836.0,621898.08,146418700.91155577
2019-03-06 20:29:17+00:00,6.783903383423988e-13,663157.8947368423,442105.2631578948,221052.63157894745,827103.2118131872,3480,-145367136.0,-17507696.74,621875.64,146418955.06830367
2019-03-06 20:30:17+00:00,-4.4053655388586666e-13,726315.7894736845,484210.52631578967,242105.26315789483,905874.9462715862,3540,-145367168.0,-17509557.58,621853.2,146419209.26022622
2019-03-06 20:31:17+00:00,-4.503088411542359e-13,789473.6842105263,526315.7894736845,263157.89473684225,984646.6807299848,3600,-145367200.0,-17511418.0,621830.76,146419463.42513624
2019-03-06 20:32:17+00:00,-4.625242002396975e-13,852631.5789473685,568421.0526315793,284210.52631578967,1063418.4151883838,3660,-145367216.0,-17513278.0,621808.32,146419701.67802817
2019-03-06 20:33:17+00:00,-4.649672720567898e-13,915789.4736842108,610526.3157894737,305263.15789473685,1142190.1496467823,3720,-145367248.0,-17515138.53,621785.88,146419955.90253115
