time,dt_res,X,Y,Z,L
0,4.3191665898405084e-14,-3000000.0,-2000000.0,-1000000.0,3741657.3867739416
60,4.3191665898405084e-14,-2936842.1052631577,-1957894.7368421047,-978947.3684210526,3662885.652315543
120,4.3191665898405084e-14,-2873684.210526316,-1915789.4736842103,-957894.7368421052,3584113.917857144
180,4.3191665898405084e-14,-2810526.3157894737,-1873684.210526316,-936842.105263158,3505342.183398745
240,4.3191665898405084e-14,-2747368.4210526315,-1831578.947368421,-915789.4736842106,3426570.4489403465
300,4.3191665898405084e-14,-2684210.5263157897,-1789473.6842105263,-894736.8421052631,3347798.7144819475
360,4.3191665898405084e-14,-2621052.6315789474,-1747368.4210526317,-873684.2105263157,3269026.980023549
420,4.3191665898405084e-14,-2557894.736842105,-1705263.1578947369,-852631.5789473684,3190255.24556515
480,4.3191665898405084e-14,-2494736.842105263,-1663157.894736842,-831578.947368421,3111483.511106751
540,4.3191665898405084e-14,-2431578.947368421,-1621052.6315789474,-810526.3157894737,3032711.7766483524
600,4.3191665898405084e-14,-2368421.052631579,-1578947.3684210526,-789473.6842105263,2953940.042189954
660,4.3191665898405084e-14,-2305263.157894737,-1536842.1052631575,-768421.0526315789,2875168.307731555
720,4.3191665898405084e-14,-2242105.263157895,-1494736.8421052631,-747368.4210526316,2796396.5732731563
780,4.3191665898405084e-14,-2178947.3684210526,-1452631.5789473683,-726315.7894736843,2717624.8388147573
840,4.3191665898405084e-14,-2115789.4736842103,-1410526.3157894737,-705263.1578947369,2638853.1043563588
900,4.3191665898405084e-14,-2052631.5789473683,-1368421.0526315789,-684210.5263157894,2560081.36989796
960,4.3191665898405084e-14,-1989473.6842105263,-1326315.789473684,-663157.894736842,2481309.635439561
1020,4.3191665898405084e-14,-1926315.7894736845,-1284210.5263157894,-642105.2631578947,2402537.900981162
1080,4.3191665898405084e-14,-1863157.894736842,-1242105.2631578948,-621052.6315789474,2323766.166522764
1140,4.3191665898405084e-14,-1800000.0,-1200000.0,-600000.0,2244994.4320643647
1200,4.3191665898405084e-14,-1736842.1052631575,-1157894.7368421052,-578947.3684210526,2166222.6976059657
1260,4.3191665898405084e-14,-1673684.2105263155,-1115789.4736842103,-557894.7368421052,2087450.9631475671
1320,4.3191665898405084e-14,-1610526.3157894737,-1073684.2105263155,-536842.1052631579,2008679.2286891688
1380,4.3191665898405084e-14,-1547368.4210526317,-1031578.947368421,-515789.4736842105,1929907.4942307696
1440,4.3191665898405084e-14,-1484210.5263157894,-989473.6842105264,-494736.8421052632,1851135.759772371
1500,4.3191665898405084e-14,-1421052.6315789474,-947368.4210526316,-473684.2105263157,1772364.025313972
1560,4.3191665898405084e-14,-1357894.7368421052,-905263.1578947369,-452631.5789473684,1693592.2908555733
1620,4.3191665898405084e-14,-1294736.8421052631,-863157.894736842,-431578.947368421,1614820.5563971747
1680,4.3191665898405084e-14,-1231578.9473684211,-821052.6315789472,-410526.3157894736,1536048.8219387757
1740,4.3191665898405084e-14,-1168421.0526315789,-778947.3684210526,-389473.6842105263,1457277.0874803772
1800,4.3191665898405084e-14,-1105263.1578947369,-736842.1052631577,-368421.0526315789,1378505.3530219784
1860,4.3191665898405084e-14,-1042105.2631578946,-694736.8421052631,-347368.4210526316,1299733.6185635796
1920,4.3191665898405084e-14,-978947.3684210526,-652631.5789473683,-326315.78947368416,1220961.8841051809
1980,4.3191665898405084e-14,-915789.4736842106,-610526.3157894735,-305263.15789473674,1142190.149646782
2040,4.3191665898405084e-14,-852631.5789473685,-568421.0526315789,-284210.52631578944,1063418.4151883833
2100,-4.796257029593435e-13,-789473.6842105263,-526315.789473684,-263157.894736842,984646.6807299844
2160,7.028210565133217e-13,-726315.789473684,-484210.52631578944,-242105.26315789472,905874.9462715856
2220,-7.141605974002028e-13,-663157.8947368423,-442105.2631578946,-221052.6315789473,827103.211813187
2280,4.902738084262929e-13,-600000.0,-399999.99999999977,-199999.99999999988,748331.4773547881
2340,3.0948649396146397e-13,-536842.1052631577,-357894.7368421052,-178947.36842105258,669559.7428963893
2400,3.143726375956484e-13,-473684.2105263155,-315789.4736842104,-157894.73684210517,590788.0084379903
2460,2.1909283672904957e-13,-410526.3157894737,-273684.2105263157,-136842.10526315786,512016.2739795919
2520,-9.364801327556007e-13,-347368.42105263146,-231578.9473684209,-115789.47368421045,433244.539521193
2580,1.0915460495989682e-13,-284210.5263157892,-189473.6842105261,-94736.84210526304,354472.80506279407
2640,2.1204019544574392e-14,-221052.63157894745,-147368.42105263146,-73684.21052631573,275701.07060439565
2700,-4.720199133400948e-14,-157894.73684210517,-105263.15789473662,-52631.57894736831,196929.3361459967
2760,-6.674656587074777e-14,-94736.84210526291,-63157.89473684202,-31578.94736842101,118157.6016875979
2820,-9.850649949294717e-14,-31578.94736842113,-21052.631578947185,-10526.315789473592,39385.86722919932
2880,-1.2782336129805482e-13,31578.94736842113,21052.631578947417,10526.315789473709,39385.86722919947
2940,-1.6202636673734688e-13,94736.84210526338,63157.89473684225,31578.94736842113,118157.60168759842
3000,8.884945146123352e-13,157894.73684210517,105263.15789473709,52631.57894736854,196929.336145997
3060,-2.4997695215266895e-13,221052.63157894745,147368.42105263192,73684.21052631596,275701.07060439594
3120,-2.866230294090534e-13,284210.52631578967,189473.6842105263,94736.84210526316,354472.8050627946
3180,-3.0861067576288355e-13,347368.42105263146,231578.94736842116,115789.47368421056,433244.53952119313
3240,-3.159398912141605e-13,410526.3157894737,273684.210526316,136842.10526315798,512016.27397959214
3300,-3.330413939338063e-13,473684.210526316,315789.4736842108,157894.7368421054,590788.008437991
3360,7.565686364893518e-13,536842.1052631577,357894.73684210563,178947.36842105282,669559.7428963896
3420,7.052641283304134e-13,600000.0,400000.0,200000.0,748331.4773547882
3480,6.783903383423988e-13,663157.8947368423,442105.2631578948,221052.63157894745,827103.2118131872
3540,-4.4053655388586666e-13,726315.7894736845,484210.52631578967,242105.26315789483,905874.9462715862
3600,-4.503088411542359e-13,789473.6842105263,526315.7894736845,263157.89473684225,984646.6807299848
3660,-4.625242002396975e-13,852631.5789473685,568421.0526315793,284210.52631578967,1063418.4151883838
3720,-4.649672720567898e-13,915789.4736842108,610526.3157894737,305263.15789473685,1142190.1496467823
3780,-4.845118465935283e-13,978947.3684210526,652631.5789473685,326315.7894736843,1220961.8841051809
3840,-4.967272056789897e-13,1042105.2631578948,694736.8421052634,347368.4210526317,1299733.61856358
3900,-5.016133493131738e-13,1105263.157894737,736842.1052631582,368421.0526315791,1378505.3530219789
3960,-5.016133493131745e-13,1168421.0526315789,778947.368421053,389473.6842105265,1457277.0874803774
