time_utc,et,L_km,L_m,L_AU
1986-01-24 00:00:00,-439819144.8154153,2676741057.2448993,2676741057244.8994,17.89290880090648
1986-01-24 00:01:00,-439819084.8154153,2676742571.7524524,2676742571752.452,17.892918924764164
1986-01-24 00:02:00,-439819024.8154153,2676744086.2734284,2676744086273.428,17.89292904871158
1986-01-24 00:03:00,-439818964.8154153,2676745600.807848,2676745600807.848,17.892939172748854
1986-01-24 00:04:00,-439818904.8154153,2676747115.3557296,2676747115355.7295,17.89294929687612
1986-01-24 00:05:00,-439818844.8154153,2676748629.9170947,2676748629917.0947,17.89295942109352
1986-01-24 00:06:00,-439818784.8154153,2676750144.4919624,2676750144491.9624,17.892969545401176
1986-01-24 00:07:00,-439818724.8154153,2676751659.0803547,2676751659080.3545,17.892979669799235
1986-01-24 00:08:00,-439818664.8154153,2676753173.682289,2676753173682.289,17.89298979428782
1986-01-24 00:09:00,-439818604.8154153,2676754688.2977877,2676754688297.7876,17.89299991886708
1986-01-24 00:10:00,-439818544.8154153,2676756202.9268703,2676756202926.87,17.893010043537142
1986-01-24 00:11:00,-439818484.8154153,2676757717.5695567,2676757717569.5566,17.893020168298136
1986-01-24 00:12:00,-439818424.8154153,2676759232.2258687,2676759232225.8687,17.893030293150215
1986-01-24 00:13:00,-439818364.8154153,2676760746.895825,2676760746895.8247,17.8930404180935
1986-01-24 00:14:00,-439818304.8154153,2676762261.579447,2676762261579.447,17.893050543128133
1986-01-24 00:15:00,-439818244.8154153,2676763776.276755,2676763776276.755,17.89306066825425
1986-01-24 00:16:00,-439818184.8154153,2676765290.987769,2676765290987.769,17.893070793471992
1986-01-24 00:17:00,-439818124.8154153,2676766805.712512,2676766805712.512,17.8930809187815
1986-01-24 00:18:00,-439818064.8154153,2676768320.451002,2676768320451.002,17.893091044182906
1986-01-24 00:19:00,-439818004.8154153,2676769835.20326,2676769835203.26,17.893101169676342
1986-01-24 00:20:00,-439817944.8154153,2676771349.969308,2676771349969.308,17.89311129526196
1986-01-24 00:21:00,-439817884.8154153,2676772864.749166,2676772864749.166,17.89312142093989
1986-01-24 00:22:00,-439817824.8154153,2676774379.542855,2676774379542.855,17.893131546710276
1986-01-24 00:23:00,-439817764.8154153,2676775894.3503957,2676775894350.3955,17.893141672573257
1986-01-24 00:24:00,-439817704.8154153,2676777409.17181,2676777409171.81,17.893151798528976
1986-01-24 00:25:00,-439817644.8154153,2676778924.007117,2676778924007.1167,17.89316192457756
1986-01-24 00:26:00,-439817584.8154153,2676780438.8563395,2676780438856.3394,17.893172050719166
1986-01-24 00:27:00,-439817524.8154153,2676781953.7194986,2676781953719.4985,17.893182176953932
1986-01-24 00:28:00,-439817464.8154153,2676783468.5966144,2676783468596.6143,17.893192303281992
1986-01-24 00:29:00,-439817404.8154153,2676784983.4877076,2676784983487.7075,17.893202429703486
1986-01-24 00:30:00,-439817344.8154153,2676786498.3928022,2676786498392.8022,17.89321255621857
1986-01-24 00:31:00,-439817284.8154153,2676788013.3119164,2676788013311.9165,17.893222682827375
1986-01-24 00:32:00,-439817224.8154153,2676789528.245074,2676789528245.0737,17.893232809530048
1986-01-24 00:33:00,-439817164.8154153,2676791043.192294,2676791043192.294,17.89324293632673
