L_m,dt_tfgr
1e-06,5.187621121425476e-19
1.022126745416898e-06,5.187637803658509e-19
1.0447430836965423e-06,5.187654562751889e-19
1.0678598479355607e-06,5.187671399059802e-19
1.0914881109317605e-06,5.187688312938056e-19
1.1156391904879185e-06,5.187705304744108e-19
1.1403246548329588e-06,5.187722374837059e-19
1.1655563281630622e-06,5.187739523577663e-19
1.1913462963053807e-06,5.187756751328342e-19
1.2177069125070942e-06,5.187774058453185e-19
1.2446508033525381e-06,5.187791445317961e-19
1.2721908748112575e-06,5.187808912290125e-19
1.3003403184199096e-06,5.187826459738827e-19
1.3291126176009149e-06,5.187844088034914e-19
1.3585215541209572e-06,5.187861797550949e-19
1.3885812146923632e-06,5.187879588661208e-19
1.419305997720548e-06,5.187897461741692e-19
1.4507106202007901e-06,5.18791541717014e-19
1.4828101247675632e-06,5.187933455326028e-19
1.5156198868998938e-06,5.187951576590585e-19
1.5491556222861187e-06,5.187969781346791e-19
1.5834333943515997e-06,5.1879880699794e-19
1.6184696219530324e-06,5.188006442874929e-19
1.6542810872429736e-06,5.18802490042169e-19
1.6908849437083882e-06,5.188043443009777e-19
1.728298724387093e-06,5.18806207103108e-19
1.7665403502659558e-06,5.188080784879302e-19
1.8056281388649686e-06,5.18809958494996e-19
1.8455808130112248e-06,5.188118471640388e-19
1.8864175098070358e-06,5.188137445349759e-19
1.928157789796519e-06,5.188156506479084e-19
1.970821646334955e-06,5.188175655431223e-19
2.0144295151655206e-06,5.188194892610889e-19
2.0590022842078775e-06,5.188214218424668e-19
2.1045613035633566e-06,5.188233633281014e-19
2.151128395741558e-06,5.188253137590269e-19
2.198725866113196e-06,5.188272731764663e-19
2.2473765135942314e-06,5.188292416218328e-19
2.2971036415664516e-06,5.188312191367305e-19
2.3479310690396216e-06,5.188332057629554e-19
2.3998831420606867e-06,5.188352015424962e-19
2.4529847453753738e-06,5.18837206517535e-19
2.507261314347829e-06,5.188392207304484e-19
2.5627388471440456e-06,5.188412442238084e-19
2.6194439171847966e-06,5.188432770403833e-19
2.677403685874187e-06,5.188453192231388e-19
2.736645915609795e-06,5.188473708152384e-19
2.7971989830806866e-06,5.188494318600445e-19
2.859091892859719e-06,5.188515024011196e-19
2.922354291296549e-06,5.188535824822273e-19
2.987016480718047e-06,5.188556721473325e-19
3.05310943394298e-06,5.188577714406029e-19
3.120664809117766e-06,5.1885988040641e-19
3.1897149648805875e-06,5.1886199908933e-19
3.2602929758609768e-06,5.18864127534144e-19
3.3324326485223533e-06,5.188662657858404e-19
3.4061685373551734e-06,5.188684138896145e-19
3.4815359614282793e-06,5.188705718908698e-19
3.558571021306578e-06,5.188727398352196e-19
3.6373106163429872e-06,5.188749177684875e-19
3.7177924623529885e-06,5.18877105736708e-19
3.8000551096803436e-06,5.188793037861281e-19
3.884137961662423e-06,5.188815119632077e-19
3.970081293504236e-06,5.188837303146216e-19
4.057926271570002e-06,5.188859588872591e-19
4.147714973101574e-06,5.188881977282261e-19
4.239490406373248e-06,5.188904468848457e-19
4.333296531292459e-06,5.188927064046587e-19
4.429178280456295e-06,5.188949763354258e-19
4.5271815806740054e-06,5.188972567251273e-19
4.627353374965659e-06,5.188995476219653e-19
4.729741645047547e-06,5.189018490743634e-19
4.834395434315225e-06,5.189041611309696e-19
4.941364871334932e-06,5.1890648384065495e-19
5.050701193854963e-06,5.189088172525165e-19
5.1624567733482245e-06,5.18911161415878e-19
5.276685140097842e-06,5.189135163802898e-19
5.393441008837927e-06,5.189158821955313e-19
5.512780304961541e-06,5.189182589116115e-19
5.634760191308715e-06,5.189206465787695e-19
5.759439095547085e-06,5.189230452474763e-19
5.8868767381583854e-06,5.189254549684359e-19
6.017134161044287e-06,5.189278757925857e-19
6.1502737567650345e-06,5.189303077710982e-19
6.286359298425203e-06,5.189327509553816e-19
6.42545597022062e-06,5.189352053970816e-19
6.5676303986611795e-06,5.189376711480818e-19
6.7129506844846496e-06,5.189401482605047e-19
6.861486435276432e-06,5.189426367867136e-19
7.013308798811293e-06,5.189451367793133e-19
7.168490497132696e-06,5.189476482911508e-19
7.3271058613862035e-06,5.18950171375317e-19
7.4892308674237575e-06,5.189527060851479e-19
7.654943172195633e-06,5.189552524742247e-19
7.824322150947626e-06,5.189578105963765e-19
7.99744893524144e-06,5.189603805056799e-19
8.174406451816187e-06,5.189629622564616e-19
8.355279462309773e-06,5.189655559032981e-19
8.540154603859355e-06,5.18968161501018e-19
8.7291204305999e-06,5.189707791047029e-19
8.922267456081227e-06,5.189734087696878e-19
9.119688196623429e-06,5.189760505515636e-19
9.321477215631606e-06,5.189787045061767e-19
