time_utc,et,L_km,L_m,L_AU,dt_res,v_km_s
1986-01-24 00:00:00,-439819144.8154153,2676741057.2448997,2676741057244.8994,17.89290880090648,8.193636167318534,
1986-01-24 00:01:00,-439819084.8154153,2676742571.7524524,2676742571752.452,17.892918924764164,8.19363719125226,25.241792543729147
1986-01-24 00:02:00,-439819024.8154153,2676744086.2734284,2676744086273.428,17.89292904871158,8.193638215194632,25.24201626777649
1986-01-24 00:03:00,-439818964.8154153,2676745600.807848,2676745600807.848,17.892939172748854,8.193639239145666,25.242240325609842
1986-01-24 00:04:00,-439818904.8154153,2676747115.3557296,2676747115355.729,17.89294929687612,8.193640263105376,25.24246469338735
1986-01-24 00:05:00,-439818844.8154153,2676748629.9170947,2676748629917.0947,17.89295942109352,8.193641287073776,25.242689418792725
1986-01-24 00:06:00,-439818784.8154153,2676750144.4919624,2676750144491.9624,17.892969545401176,8.193642311050874,25.242914462089537
1986-01-24 00:07:00,-439818724.8154153,2676751659.0803547,2676751659080.3545,17.892979669799235,8.193643335036693,25.243139870961507
1986-01-24 00:08:00,-439818664.8154153,2676753173.682289,2676753173682.289,17.89298979428782,8.193644359031241,25.243365573883057
1986-01-24 00:09:00,-439818604.8154153,2676754688.297788,2676754688297.788,17.89299991886708,8.193645383034532,25.243591650327048
1986-01-24 00:10:00,-439818544.8154153,2676756202.9268703,2676756202926.87,17.893010043537142,8.19364640704658,25.24381803671519
1986-01-24 00:11:00,-439818484.8154153,2676757717.5695567,2676757717569.5566,17.893020168298136,8.193647431067397,25.244044772783916
1986-01-24 00:12:00,-439818424.8154153,2676759232.2258687,2676759232225.8687,17.893030293150215,8.193648455097003,25.24427186648051
1986-01-24 00:13:00,-439818364.8154153,2676760746.895825,2676760746895.8247,17.8930404180935,8.193649479135404,25.244499270121256
1986-01-24 00:14:00,-439818304.8154153,2676762261.579447,2676762261579.447,17.893050543128133,8.193650503182617,25.24472703138987
1986-01-24 00:15:00,-439818244.8154153,2676763776.276755,2676763776276.755,17.89306066825425,8.193651527238659,25.244955134391784
1986-01-24 00:16:00,-439818184.8154153,2676765290.987769,2676765290987.769,17.893070793471992,8.193652551303538,25.24518357117971
1986-01-24 00:17:00,-439818124.8154153,2676766805.712512,2676766805712.512,17.8930809187815,8.193653575377272,25.245412381490073
1986-01-24 00:18:00,-439818064.8154153,2676768320.451002,2676768320451.002,17.893091044182906,8.193654599459874,25.24564150174459
1986-01-24 00:19:00,-439818004.8154153,2676769835.20326,2676769835203.26,17.893101169676342,8.193655623551358,25.2458709637324
1986-01-24 00:20:00,-439817944.8154153,2676771349.969308,2676771349969.308,17.89311129526196,8.193656647651737,25.246100799242654
1986-01-24 00:21:00,-439817884.8154153,2676772864.749166,2676772864749.166,17.89312142093989,8.193657671761029,25.24633096853892
1986-01-24 00:22:00,-439817824.8154153,2676774379.542855,2676774379542.855,17.893131546710276,8.193658695879243,25.24656147956848
1986-01-24 00:23:00,-439817764.8154153,2676775894.350396,2676775894350.3955,17.893141672573257,8.193659720006393,25.2467923561732
1986-01-24 00:24:00,-439817704.8154153,2676777409.17181,2676777409171.81,17.893151798528976,8.193660744142498,25.247023566563925
1986-01-24 00:25:00,-439817644.8154153,2676778924.007117,2676778924007.1167,17.89316192457756,8.193661768287567,25.24725511074066
1986-01-24 00:26:00,-439817584.8154153,2676780438.8563395,2676780438856.34,17.893172050719166,8.19366279244162,25.247487044334413
1986-01-24 00:27:00,-439817524.8154153,2676781953.7194986,2676781953719.4985,17.893182176953932,8.193663816604666,25.24771931966146
1986-01-24 00:28:00,-439817464.8154153,2676783468.5966144,2676783468596.6143,17.893192303281992,8.193664840776721,25.247951928774516
1986-01-24 00:29:00,-439817404.8154153,2676784983.487708,2676784983487.7075,17.893202429703486,8.1936658649578,25.248184895515443
1986-01-24 00:30:00,-439817344.8154153,2676786498.3928022,2676786498392.8022,17.89321255621857,8.193666889147917,25.248418235778807
1986-01-24 00:31:00,-439817284.8154153,2676788013.3119164,2676788013311.9165,17.893222682827375,8.193667913347086,25.2486519018809
