L_m,Delta_t,Phi_t,dPhi_dL
1e-06,5.187621121425476e-19,46624.01348205644,-45608079055.248665
1.022126745416898e-06,5.187637803658509e-19,45614.85512784719,-44642194778.176025
1.0447430836965423e-06,5.187654562751889e-19,44627.54026831346,-42730418043.774414
1.0678598479355607e-06,5.187671399059802e-19,43661.596084013654,-40900512547.06152
1.0914881109317605e-06,5.187688312938056e-19,42716.559990244714,-39148972159.55298
1.1156391904879183e-06,5.187705304744108e-19,41791.97941549652,-37472440903.115234
1.1403246548329588e-06,5.18772237483706e-19,40887.41158470047,-35867706519.7323
1.1655563281630622e-06,5.187739523577663e-19,40002.42330717119,-34331694316.649536
1.1913462963053807e-06,5.187756751328342e-19,39136.59076913838,-32861461275.10388
1.2177069125070942e-06,5.187774058453185e-19,38289.49933076901,-31454190411.34851
1.244650803352538e-06,5.187791445317962e-19,37460.7433275841,-30107185379.1698
1.2721908748112577e-06,5.187808912290126e-19,36649.9258761741,-28817865303.554565
1.3003403184199096e-06,5.187826459738827e-19,35856.658684119226,-27583759835.605713
1.3291126176009149e-06,5.187844088034915e-19,35080.561864025396,-26402504419.235474
1.3585215541209572e-06,5.18786179755095e-19,34321.263751584695,-25271835760.5625
1.3885812146923632e-06,5.187879588661208e-19,33578.400727574925,-24189587491.335876
1.419305997720548e-06,5.187897461741692e-19,32851.61704371225,-23153686018.07251
1.45071062020079e-06,5.18791541717014e-19,32140.564652272904,-22162146548.958252
1.4828101247675632e-06,5.187933455326028e-19,31444.90303940402,-21213069290.89868
1.5156198868998938e-06,5.187951576590585e-19,30764.29906204177,-20304635809.43164
1.5491556222861187e-06,5.187969781346791e-19,30098.42678836027,-19435105544.528564
1.5834333943515995e-06,5.1879880699794e-19,29446.967341674357,-18602812475.607727
1.6184696219530324e-06,5.188006442874929e-19,28809.60874772063,-17806161929.36853
1.6542810872429736e-06,5.18802490042169e-19,28186.045785245144,-17043627524.333618
1.6908849437083882e-06,5.188043443009778e-19,27575.97983982508,-16313748246.240845
1.728298724387093e-06,5.18806207103108e-19,26979.11876085433,-15615125648.680603
1.7665403502659558e-06,5.188080784879302e-19,26395.176721625696,-14946421173.619751
1.8056281388649688e-06,5.18809958494996e-19,25823.87408244092,-14306353586.675049
1.8455808130112248e-06,5.188118471640388e-19,25264.93725668453,-13693696522.218384
1.886417509807036e-06,5.188137445349759e-19,24718.098579796737,-13107276133.616638
1.928157789796519e-06,5.188156506479084e-19,24183.096181082114,-12545968844.100525
1.970821646334955e-06,5.188175655431223e-19,23659.67385829393,-12008699193.95221
2.014429515165521e-06,5.18819489261089e-19,23147.580954932557,-11494437779.88733
2.059002284207877e-06,5.188214218424668e-19,22646.572240200538,-11002199282.685211
2.1045613035633566e-06,5.188233633281014e-19,22156.407791556026,-10531040579.284851
2.151128395741558e-06,5.18825313759027e-19,21676.85287980838,-10080058935.731842
2.198725866113196e-06,5.188272731764663e-19,21207.677856701233,-9648390277.511871
2.2473765135942314e-06,5.188292416218328e-19,20748.658044929154,-9235207533.95871
2.297103641566452e-06,5.188312191367305e-19,20299.573630534585,-8839719053.562256
2.3479310690396216e-06,5.188332057629555e-19,19860.209557634684,-8461167087.142395
2.3998831420606867e-06,5.188352015424963e-19,19430.355425426267,-8098826335.980682
2.4529847453753738e-06,5.18837206517535e-19,19009.805387420805,-7752002562.128296
2.507261314347829e-06,5.1883922073044845e-19,18598.358052860494,-7420031258.228638
2.5627388471440456e-06,5.188412442238085e-19,18195.816390268013,-7102276374.304474
2.619443917184797e-06,5.188432770403833e-19,17801.987633084656,-6798129099.071075
2.677403685874187e-06,5.188453192231388e-19,17416.683187350547,-6507006693.439362
2.736645915609795e-06,5.188473708152385e-19,17039.718541383536,-6228351373.975143
2.7971989830806866e-06,5.188494318600446e-19,16670.913177413357,-5961629244.173477
2.859091892859719e-06,5.188515024011196e-19,16310.090485128194,-5706329271.502228
2.922354291296549e-06,5.188535824822273e-19,15957.077677093048,-5461962308.253693
2.987016480718047e-06,5.188556721473325e-19,15611.705705998918,-5228060154.328217
3.05310943394298e-06,5.188577714406029e-19,15273.809183703012,-5004174660.154068
3.120664809117766e-06,5.1885988040641e-19,14943.226302021876,-4789876868.02533
3.1897149648805875e-06,5.1886199908932995e-19,14619.798755238657,-4584756190.212097
3.2602929758609768e-06,5.18864127534144e-19,14303.371664288046,-4388419622.267624
3.3324326485223533e-06,5.188662657858404e-19,13993.793502582472,-4200490990.0261383
3.4061685373551734e-06,5.188684138896145e-19,13690.91602344347,-4020610228.8483887
3.4815359614282797e-06,5.188705718908699e-19,13394.594189104433,-3848432693.732605
3.558571021306578e-06,5.188727398352197e-19,13104.686101249768,-3683628498.970642
3.6373106163429872e-06,5.188749177684876e-19,12821.05293305789,-3525881886.083664
3.717792462352989e-06,5.18877105736708e-19,12543.558862715243,-3374890618.8254395
3.800055109680344e-06,5.188793037861281e-19,12272.071008369283,-3230365404.094803
3.884137961662423e-06,5.188815119632077e-19,12006.459364489843,-3092029337.6478577
3.970081293504236e-06,5.188837303146216e-19,11746.596739607714,-2959617373.547127
4.057926271570002e-06,5.188859588872592e-19,11492.35869540117,-2832875816.332123
4.147714973101574e-06,5.188881977282261e-19,11243.623487101086,-2711561834.937187
4.239490406373248e-06,5.188904468848458e-19,11000.27200518586,-2595442997.426117
4.333296531292459e-06,5.188927064046587e-19,10762.18771833861,-2484296825.651596
4.429178280456295e-06,5.188949763354259e-19,10529.256617639197,-2377910368.986641
4.527181580674005e-06,5.188972567251273e-19,10301.367161964032,-2276079796.3105774
4.627353374965659e-06,5.188995476219654e-19,10078.410224568042,-2178610005.468567
4.729741645047547e-06,5.189018490743634e-19,9860.279040822881,-2085314249.4558105
4.834395434315225e-06,5.189041611309696e-19,9646.869157086285,-1996013778.610443
4.941364871334932e-06,5.1890648384065495e-19,9438.078380678442,-1910537498.1296616
5.050701193854963e-06,5.189088172525165e-19,9233.806730940982,-1828721640.2523346
5.1624567733482245e-06,5.189111614158781e-19,9033.956391355505,-1750409450.4808655
5.276685140097842e-06,5.189135163802898e-19,8838.431662698566,-1675450887.2401276
5.393441008837927e-06,5.189158821955313e-19,8647.138917210557,-1603702334.3986816
5.512780304961541e-06,5.189182589116116e-19,8459.986553756875,-1535026326.1014328
5.634760191308715e-06,5.189206465787695e-19,8276.884953959436,-1469291283.385929
5.759439095547085e-06,5.189230452474763e-19,8097.746439278002,-1406371262.0781708
5.8868767381583854e-06,5.189254549684359e-19,7922.485229020484,-1346145711.484993
6.017134161044287e-06,5.189278757925857e-19,7751.017399262037,-1288499243.4201126
6.1502737567650345e-06,5.189303077710982e-19,7583.260842653628,-1233321411.1216965
6.286359298425203e-06,5.189327509553816e-19,7419.135229100392,-1180506497.6377983
6.42545597022062e-06,5.189352053970816e-19,7258.561967291287,-1129953313.2741394
6.56763039866118e-06,5.189376711480818e-19,7101.464167061501,-1081565001.7161522
6.7129506844846496e-06,5.1894014826050475e-19,6947.7666025694325,-1035248854.453785
