z,dF_t_dz,S_rel_eff,kappa_phi,energy_balance_LHS,energy_balance_RHS,residual_energy_balance
2.1035058,8.503885139,0.0008520777585475,1.0,-9.39709289386546,-609.8756369577934,600.478544063928
2.1185309,7.279967261,0.0013155171218721,1.000001427,-20.35723235401388,-609.8765072503273,589.5192748963135
2.1235392,-3.515529774,0.0006168453588532,0.999999935,-16.474599656693798,-609.8755973158769,593.4009976591831
2.1285476,-13.11218037,6.537976779358724e-08,0.999996675,-13.11355390871208,-609.8736091213005,596.7600552125884
2.1335559,-6.160709138,4.1869710483082336e-08,0.999932036,-6.161588762846537,-609.8341873700032,603.6725986071566
2.1385643,-4.36e-05,3.691141780222946e-08,0.999932033,-0.0008190579586327676,-609.8341855403763,609.8333664824177
2.1435726,-7.22e-05,2.272749528151958e-08,0.999932031,-0.000549673317071514,-609.834184320625,609.8336346473079
2.148581,-0.000506305,1.292725015823356e-08,0.999932028,-0.000777888689148712,-609.8341824909982,609.833404602309
2.1535893,-0.001748209,1.083972478420058e-08,0.999932027,-0.0019759366613522414,-609.8341818811224,609.8322059444611
2.1585977,-0.00305671,3.8455262188986266e-08,0.999932029,-0.0038646019990431248,-609.8341831008737,609.8303184988747
2.163606,-0.002026017,1.631145452854324e-07,0.999932044,-0.0054528285353378165,-609.8341922490083,609.828739420473
2.1686144,0.000106251,3.4108220243834657e-07,0.999932072,-0.00705941545708291,-609.8342093255261,609.827149910069
2.1736227,0.00163365,4.885452670456991e-07,0.999932102,-0.008630011978870821,-609.8342276217953,609.8255976098164
2.1786311,0.001001924,6.216782830049946e-07,0.999932127,-0.012058678950782862,-609.8342428686861,609.8221841897354
2.1836394,-0.029979355,6.631120473117314e-07,0.999932142,-0.04391042416966196,-609.8342520168208,609.7903415926511
2.1886477,-0.374205126,8.116500943325346e-07,0.999932158,-0.3912567745887243,-609.8342617748309,609.4430050002422
2.1936561,0.063320584,3.392609356194945e-06,0.999932392,-0.00795345754154321,-609.8344044857299,609.8264510281883
2.1986644,0.754090758,3.272404310281697e-05,0.999936781,0.06660376417370428,-609.8370812299006,609.9036849940743
2.2036728,-0.025628622,7.528654214941197e-07,0.999936068,-0.041445285721916574,-609.8366463885715,609.7952011028495
2.2086811,-0.37345548,4.4307732387261276e-07,0.999933287,-0.38276392322826236,-609.834950324425,609.4521864011967
2.2136895,-0.003027162,2.54714621254292e-07,0.999933243,-0.008378364744096206,-609.834923489897,609.826545125153
2.2186978,-0.00358614,6.380609605965556e-08,0.999933208,-0.004926618040259896,-609.8349021442497,609.8299755262094
2.2237062,-0.002701626,7.2227818941499954e-09,0.999933185,-0.0028533666817938314,-609.83488811711,609.8320347504282
2.2287145,-0.00073358,2.8858347319773653e-09,0.999933179,-0.0007942074059208731,-609.8348844578562,609.8340902504503
2.2337229,-0.000274388,1.0859329111361531e-08,0.999933179,-0.0005025275212163639,-609.8348844578562,609.834381930335
2.2387312,-0.00199242,1.3030429632861084e-08,0.99993318,-0.002266171347546343,-609.8348850677319,609.8326188963844
2.2437396,-0.331443976,4.1720454541998825e-08,0.999933183,-0.33232046518515435,-609.8348868973588,609.5025664321737
2.2487479,-0.513479552,2.2174545579571642e-07,0.999933205,-0.5181381180677886,-609.8349003146228,609.316762196555
2.2537563,-3.479207707,3.326825250112798e-05,0.999936827,-4.178127789399164,-609.8371092841799,605.6589814947807
2.2587646,-18.74213327,5.193340107761607e-05,0.999938691,-19.83318237031585,-609.8382460923672,590.0050637220513
2.2687813,-13226.03458,0.0011240606238934,0.999954939,-13249.649542759062,-609.8481553517164,-12639.801387407346
2.2737896,-7795.356229,0.0043815782577886,0.999961955,-7887.407142611052,-609.8524342391853,-7277.554708371867
2.278798,14117.34284,1.0,1.000045797,-6891.277386609929,-609.9035674323392,-6281.373819177589
2.2838063,24007.49716,0.7912237896007758,1.000045797,7384.977050018184,-609.9035674323392,7994.8806174505235
