z,mu_SN,mu_err,mu_TFGR,delta_mu_data,delta_mu_model
0.50309,22.93445,0.12605,42.99199714632391,-0.2512802924307067,-0.25355402865093807
0.4948,22.8802,0.11765,42.94389533466478,-0.2574284807715763,-0.24864070796967888
0.67767,24.0377,0.2056,43.87750613640943,-0.03353928251622307,-0.3563867346730341
0.8665,24.34685,0.17385,44.64287430431972,-0.489757450426513,-0.4647237094845345
0.79857,24.3605,0.17435,44.38509123756237,-0.21832438366916662,-0.4261881890996129
0.37144,22.28785,0.1245,42.13412744209254,-0.040010588199336894,-0.17578445656108319
0.35582,22.05915,0.12645,42.01597335546907,-0.15055650157586697,-0.16665178751367088
0.2836,21.40915,0.1028,41.404385919900314,-0.1889690660071075,-0.12503801296155012
0.4664,23.21635,0.1587,42.77391647464492,0.2487003792482838,-0.23180985921832634
0.94688,24.41155,0.1642,44.92704630556636,-0.7092294516731528,-0.5096288761630535
0.69315,23.79645,0.24445,43.94650297945669,-0.34378612556348287,-0.36540342282926697
0.89693,24.40275,0.16645,44.75294434345978,-0.543927489566574,-0.4818138394539218
0.78904,24.2188,0.11585,44.347465265984404,-0.32239841209119646,-0.4207407354809568
0.59027,23.3354,0.1666,43.46146074018126,-0.3197938862880534,-0.3051187206066849
0.21075,20.64495,0.10525,40.63294922785746,-0.1817323739642518,-0.0847626330159039
0.85852,24.1237,0.1478,44.613474605335874,-0.6835077514426686,-0.4602240795600253
0.55875,23.1648,0.1335,43.298841110416774,-0.3277742565235684,-0.28650863106122304
0.9964,24.69965,0.1408,45.092290283339885,-0.5863734294466809,-0.536907934248128
0.58294,23.34385,0.1258,43.4242913787194,-0.2741745248261971,-0.30079550572137037
0.79656,23.85445,0.1588,44.37717135736546,-0.7164545034722565,-0.42504007573232316
0.91348,24.37895,0.13735,44.81149676745547,-0.6262799135622679,-0.49106281975102234
0.94846,24.66675,0.15105,44.9324362603182,-0.4594194064249919,-0.5105038320776204
0.73362,23.8481,0.15575,44.120991431538684,-0.4666245776454794,-0.3888708899876706
0.7656,24.10805,0.1549,44.253336295728765,-0.33901944183556054,-0.40730052367017117
0.98341,24.828,0.153,45.04961157526057,-0.4153447213673651,-0.5297809156954216
0.70064,23.7492,0.1738,43.9794255231587,-0.42395866926549886,-0.3697583683799496
0.83814,24.1545,0.1807,44.537355035785986,-0.5765881818927809,-0.44869922906451
0.3706,22.1401,0.1211,42.12791021535027,-0.18154336145706296,-0.1752924583533781
0.35858,21.95965,0.1186,42.03712623703555,-0.2712093831423452,-0.16826290040704703
0.52278,23.15915,0.14165,43.10361873082072,-0.13820187692751418,-0.26522077536396116
0.70198,23.7115,0.26255,43.98527528927553,-0.4675084353823209,-0.37053694430364376
0.74613,23.8056,0.16465,44.1733493849011,-0.561482531007897,-0.396092690158857
0.59185,23.2429,0.12625,43.46941466024073,-0.42024780634752545,-0.3060502017959533
0.62063,23.5114,0.1131,43.61143801614368,-0.2937711622504757,-0.32299027031817296
1.00279,25.0798,0.19135,45.11312008408286,-0.22705323018965373,-0.540406301076257
0.61064,23.47615,0.1329,43.562812250476654,-0.28039539658344736,-0.3171161652144404
0.35833,21.9694,0.11425,42.03521021515453,-0.25954336126132205,-0.16811691808473084
0.45155,22.4159,0.12515,42.68155638210837,-0.4593895282151621,-0.2230144982942666
0.5526,22.98515,0.13425,43.26619939321958,-0.47478253932637315,-0.2828721244510932
0.75068,23.763,0.19155,44.192172448477564,-0.6229055945843562,-0.3987153862323595
0.82269,24.3356,0.14625,44.478627460947195,-0.33676060705398925,-0.4399307283133429
0.95076,24.68515,0.14485,44.9402596922828,-0.44884283838959504,-0.511776964181944
0.34052,21.9463,0.10555,41.89589409711402,-0.14332724322080992,-0.15774324884392962
0.81072,24.0795,0.17055,44.43247883894389,-0.5467119850506812,-0.4331188118086932
0.61124,23.7392,0.1593,43.56574020567174,-0.02027335177853118,-0.3174691534398673
0.54831,22.8926,0.1438,43.24327183774679,-0.5444049838535818,-0.28033455132116825
1.02879,24.7289,0.16015,45.19669659623628,-0.6615297423430739,-0.5545893370704026
0.42244,22.35675,0.1192,42.49287513842256,-0.3298582845293545,-0.20579785909489673
0.70115,23.90875,0.1805,43.98166073703854,-0.2666438831453313,-0.37005471173399773
0.68517,23.844,0.2326,43.91109208925348,-0.26082523536027225,-0.36075795390592014
0.93189,24.54795,0.15235,44.87561055826765,-0.5213937043744465,-0.5013129262822114
0.74909,23.81055,0.18275,44.18559594738192,-0.5687790934887147,-0.39779912452364025
0.4684,22.73255,0.11785,42.78616479411693,-0.24734794022372242,-0.23299482325537685
0.95886,24.80665,0.17245,44.967675048108546,-0.3547581942153393,-0.5162555202989724
0.84053,24.22255,0.1456,44.54634997319399,-0.5175331193007864,-0.4500532320573993
0.56276,23.2428,0.11755,43.31992374240134,-0.2708568885081384,-0.2888788922242764
0.82854,24.39785,0.1526,44.5009774333641,-0.29686057947089495,-0.4432540153254575
0.57875,23.22495,0.12065,43.40288167194626,-0.3716648180530555,-0.2983229343381536
0.8645,24.3693,0.14625,44.63551119414659,-0.45994434025338293,-0.4635966762761921
0.85851,24.4442,0.16535,44.61343752075904,-0.3629706668658379,-0.4602184362985855
