Omega_SN0,Omega_Lambda0,chi2,C_best
0.0,0.6999,1034.6872996587495,-19.348329013649497
0.005,0.6949,1034.6586258796808,-19.348386543488758
0.01,0.6899,1034.6301077555909,-19.34844407932935
0.015,0.6849,1034.6017453657325,-19.348501621172858
0.02,0.6799,1034.5735387894056,-19.348559169020852
0.025,0.6748999999999999,1034.5454881059516,-19.348616722874908
0.03,0.6698999999999999,1034.5175933947748,-19.348674282736607
0.035,0.6648999999999999,1034.4898547353264,-19.348731848607525
0.04,0.6598999999999999,1034.462272207099,-19.348789420489236
0.045,0.6548999999999999,1034.4348458896393,-19.348846998383326
0.05,0.6498999999999999,1034.4075758625477,-19.348904582291375
0.055,0.6448999999999999,1034.3804622054654,-19.348962172214957
0.06,0.6398999999999999,1034.353504998096,-19.349019768155664
0.065,0.6349,1034.326704320184,-19.34907737011507
0.07,0.6298999999999999,1034.300060251523,-19.34913497809476
0.075,0.6249,1034.2735728719595,-19.34919259209632
0.08,0.6199,1034.2472422613978,-19.349250212121326
0.085,0.6149,1034.2210684997685,-19.34930783817138
0.09,0.6099,1034.1950516670822,-19.34936547024805
0.095,0.6049,1034.1691918433748,-19.34942310835293
0.1,0.5999,1034.1434891087538,-19.3494807524876
0.105,0.5949,1034.1179435433528,-19.349538402653664
0.11,0.5899,1034.0925552273782,-19.349596058852697
0.115,0.5849,1034.0673242410746,-19.34965372108629
0.12,0.5799,1034.0422506647365,-19.349711389356038
0.125,0.5749,1034.0173345787148,-19.34976906366353
0.13,0.5699,1033.992576063402,-19.349826744010354
0.135,0.5649,1033.9679751992526,-19.3498844303981
0.14,0.5599,1033.9435320667628,-19.349942122828367
0.145,0.5549,1033.9192467464845,-19.34999982130275
0.15,0.5498999999999999,1033.895119319011,-19.35005752582284
0.155,0.5448999999999999,1033.8711498649955,-19.350115236390224
0.16,0.5398999999999999,1033.8473384651388,-19.35017295300651
0.165,0.5348999999999999,1033.8236852001949,-19.350230675673284
0.17,0.5298999999999999,1033.800190150964,-19.35028840439216
0.17500000000000002,0.5248999999999999,1033.7768533982983,-19.350346139164714
0.18,0.5199,1033.753675023098,-19.35040387999256
0.185,0.5148999999999999,1033.7306551063252,-19.35046162687729
0.19,0.5099,1033.707793728981,-19.350519379820508
0.195,0.5048999999999999,1033.6850909721225,-19.350577138823812
0.2,0.49989999999999996,1033.6625469168475,-19.350634903888803
