z,mu_SN,mu_err,mu_model,residual
0.50309,22.93445,0.12605,22.93485665746973,-0.000406657469731897
0.4948,22.8802,0.11765,22.8914213838937,-0.011221383893701642
0.67767,24.0377,0.2056,23.721256149786747,0.31644385021325405
0.8665,24.34685,0.17385,24.37862079528628,-0.03177079528628113
0.79857,24.3605,0.17435,24.15966726012129,0.20083273987870953
0.37144,22.28785,0.1245,22.150017294476605,0.13783270552339388
0.35582,22.05915,0.12645,22.040358577480866,0.018791422519132794
0.2836,21.40915,0.1028,21.467657664661097,-0.05850766466109647
0.4664,23.21635,0.1587,22.737302418746133,0.47904758125386593
0.94688,24.41155,0.1642,24.617025800458677,-0.20547580045867875
0.69315,23.79645,0.24445,23.781398194687974,0.015051805312026545
0.89693,24.40275,0.16645,24.471329067120827,-0.06857906712082595
0.78904,24.2188,0.11585,24.127513672085662,0.09128632791433944
0.59027,23.3354,0.1666,23.355049408659887,-0.019649408659887513
0.21075,20.64495,0.10525,20.734153848692138,-0.08920384869213649
0.85852,24.1237,0.1478,24.353782499054716,-0.230082499054717
0.55875,23.1648,0.1335,23.210284362585064,-0.045484362585064275
0.9964,24.69965,0.1408,24.754185075779006,-0.054535075779007514
0.58294,23.34385,0.1258,23.32204475312831,0.021805246871689832
0.79656,23.85445,0.1588,24.152916626264854,-0.29846662626485454
0.91348,24.37895,0.13735,24.520466511361796,-0.14151651136179666
0.94846,24.66675,0.15105,24.621510124555932,0.045239875444067934
0.73362,23.8481,0.15575,23.932760467775843,-0.08466046777584424
0.7656,24.10805,0.1549,24.046803748903848,0.06124625109615067
0.98341,24.828,0.153,24.718868000277745,0.10913199972225485
0.70064,23.7492,0.1738,23.810038775462814,-0.06083877546281613
0.83814,24.1545,0.1807,24.2893131298598,-0.13481312985980054
0.3706,22.1401,0.1211,22.14422995079169,-0.004129950791689652
0.35858,21.95965,0.1186,22.060050709127495,-0.10040070912749499
0.52278,23.15915,0.14165,23.03540892607554,0.12374107392446021
0.70198,23.7115,0.26255,23.815131608751628,-0.10363160875162691
0.74613,23.8056,0.16465,23.97793138112381,-0.1723313811238114
0.59185,23.2429,0.12625,23.362112856820254,-0.11921285682025484
0.62063,23.5114,0.1131,23.48775787495736,0.023642125042638185
1.00279,25.0798,0.19135,24.771391300888347,0.30840869911165214
0.61064,23.47615,0.1329,23.444779790911333,0.03137020908866717
0.35833,21.9694,0.11425,22.058273524222038,-0.08887352422203776
0.45155,22.4159,0.12515,22.653211728373748,-0.23731172837374714
0.5526,22.98515,0.13425,23.181146495065647,-0.19599649506564631
0.75068,23.763,0.19155,23.99417973170266,-0.2311797317026567
0.82269,24.3356,0.14625,24.23941458440442,0.0961854155955777
0.95076,24.68515,0.14485,24.628025044506423,0.057124955493577545
0.34052,21.9463,0.10555,21.928569457055666,0.01773054294433507
0.81072,24.0795,0.17055,24.200125843704264,-0.12062584370426421
0.61124,23.7392,0.1593,23.44737990207988,0.29182009792011954
0.54831,22.8926,0.1438,23.160639767585053,-0.26803976758505144
1.02879,24.7289,0.16015,24.84029908670651,-0.11139908670650911
0.42244,22.35675,0.1192,22.48066298834329,-0.12391298834328879
0.70115,23.90875,0.1805,23.8119785007774,0.09677149922260142
0.68517,23.844,0.2326,23.750556457262668,0.09344354273733302
0.93189,24.54795,0.15235,24.574110651871713,-0.026160651871713014
0.74909,23.81055,0.18275,23.988512196435487,-0.17796219643548739
0.4684,22.73255,0.11785,22.748437470865184,-0.015887470865184383
0.95886,24.80665,0.17245,24.65084550359377,0.15580449640622973
0.84053,24.22255,0.1456,24.296952003794196,-0.07440200379419792
0.56276,23.2428,0.11755,23.229121319298834,0.013678680701165291
0.82854,24.39785,0.1526,24.258414515002386,0.1394354849976125
0.57875,23.22495,0.12065,23.30300237467334,-0.07805237467334081
0.8645,24.3693,0.14625,24.372416694137392,-0.003116694137393239
0.85851,24.4442,0.16535,24.353751228896158,0.09044877110384064
0.58575,23.5694,0.1417,23.33474235562648,0.2346576443735202
0.48881,22.8653,0.1136,22.859612308869963,0.00568769113003853
0.68866,23.6132,0.1518,23.764086992370167,-0.15088699237016812
0.32454,21.79365,0.10225,21.806774711560955,-0.013124711560955404
0.18538,20.4558,0.10405,20.422612635362384,0.03318736463761596
0.68196,23.59755,0.1484,23.738053997759707,-0.14050399775970845
0.92223,24.355,0.1708,24.54609376669754,-0.19109376669753786
0.42866,22.751,0.1294,22.51843712898191,0.23256287101809292
0.69998,23.95255,0.2153,23.80752671688289,0.14502328311710855
0.57584,23.38495,0.13845,23.28970086323556,0.09524913676444058
0.51176,23.11305,0.1165,22.979577352466897,0.13347264753310384
0.64191,23.62155,0.1659,23.577164272608222,0.04438572739177715
0.35157,22.2272,0.1136,22.009755474090277,0.2174445259097233
0.34957,22.14445,0.11065,21.99523613610858,0.14921386389141844
0.35527,22.23665,0.113,22.036416617076902,0.20023338292309845
0.87217,24.3402,0.1332,24.39613376360156,-0.05593376360156199
0.92624,24.7687,0.10935,24.55775883569863,0.21094116430137078
0.41957,22.59095,0.12095,22.463062109227415,0.127887890772584
0.89073,24.1804,0.14085,24.452692249287615,-0.27229224928761653
0.48057,22.7752,0.1151,22.81525613619214,-0.040056136192138325
0.5806,23.36785,0.1608,23.311425945744112,0.05642405425588848
0.80569,24.09575,0.1555,24.18344797606118,-0.08769797606118246
0.66464,23.6337,0.1611,23.669609068514127,-0.03590906851412612
0.74566,24.00735,0.1527,23.976247310206794,0.03110268979320452
0.73669,23.77845,0.1399,23.943913829546794,-0.16546382954679473
0.37053,22.04575,0.11295,22.143746975195235,-0.0979969751952332
0.85073,24.31865,0.1304,24.329317463056235,-0.010667463056233117
0.21946,20.8469,0.1023,20.833168374263963,0.013731625736038922
0.64764,23.6259,0.1613,23.600758221655276,0.025141778344725196
0.6006,23.4022,0.15455,23.400911730073183,0.0012882699268175202
0.7607,23.92525,0.14995,24.029630869040517,-0.10438086904051858
0.47057,22.804,0.1221,22.76046903401837,0.043530965981627645
0.49737,22.9275,0.13225,22.904958301167376,0.02254169883262236
0.50736,22.9705,0.1253,22.956971076461457,0.01352892353854429
0.58728,23.44375,0.14055,23.341632889923716,0.10211711007628566
0.69915,23.77905,0.15635,23.80436484195132,-0.02531484195131739
0.76108,24.05415,0.16035,24.03096662767387,0.023183372326130325
0.78805,24.1069,0.13815,24.124151913901578,-0.01725191390157832
0.40547,22.564,0.11045,22.37493347542577,0.1890665245742298
0.80804,24.55735,0.16345,24.191252550951923,0.36609744904807684
0.58328,23.6081,0.12955,23.323584146993944,0.28451585300605586
0.72013,24.0226,0.19335,23.883214998729613,0.13938500127038722
0.83699,24.3054,0.1427,24.285629732603077,0.01977026739692178
0.80603,24.2544,0.1837,24.1845786540758,0.06982134592420053
0.50074,23.0505,0.13595,22.92261256606863,0.12788743393137025
0.53378,22.9345,0.1665,23.090053155802373,-0.15555315580237306
0.82212,24.1676,0.18525,24.23755613614638,-0.06995613614638074
0.12531,19.4684,0.10355,19.489330138288445,-0.020930138288445477
0.44368,22.57415,0.1349,22.60760170545175,-0.0334517054517498
0.68366,23.9441,0.2905,23.7446822939322,0.1994177060677984
0.72668,23.90005,0.1628,23.907381405458302,-0.0073314054583022426
0.40455,22.44625,0.1075,22.369087222719692,0.07716277728030718
0.69065,23.7527,0.18375,23.771772552505716,-0.01907255250571538
0.57661,23.2437,0.1229,23.29322635220216,-0.04952635220216095
0.72068,23.87645,0.2029,23.885252023827974,-0.008802023827975347
0.55031,23.16815,0.1249,23.170218555716488,-0.0020685557164874524
0.84797,24.3105,0.16975,24.320597298833952,-0.010097298833951385
0.43544,22.36675,0.109,22.559036804075895,-0.19228680407589493
0.30158,21.64245,0.0939,21.621781050296775,0.02066894970322508
0.58073,23.52355,0.1372,23.31201702839156,0.21153297160844176
0.34593,22.11525,0.111,21.9686149010979,0.1466350989020988
0.33094,21.7829,0.10685,21.85620097445033,-0.0733009744503299
0.44956,22.78895,0.14135,22.641748823546877,0.14720117645312314
0.29172,21.47215,0.12535,21.538340833343256,-0.06619083334325637
0.46127,22.62945,0.13775,22.7085370097222,-0.07908700972220117
0.63222,23.66065,0.20445,23.536806288144284,0.12384371185571652
0.26862,21.1762,0.0993,21.332248327599125,-0.15604832759912313
0.92491,24.7416,0.1923,24.553895383820596,0.1877046161794027
0.62522,23.46015,0.1303,23.50728484332857,-0.04713484332857121
0.60825,23.3767,0.1266,23.434398646295115,-0.05769864629511545
0.57828,23.2373,0.13895,23.3008576320793,-0.06355763207929854
0.71963,23.82525,0.2057,23.881361498047582,-0.05611149804758142
0.7666,24.24705,0.1593,24.05029555323339,0.19675444676661158
0.36791,22.24455,0.1019,22.125610159590828,0.1189398404091726
0.84852,24.33175,0.14855,24.322336909634906,0.009413090365093524
0.7766,24.0942,0.17835,24.084972434543907,0.0092275654560936
0.58375,23.2686,0.09915,23.325710337261235,-0.0571103372612356
0.58873,23.30085,0.13005,23.348147423625186,-0.047297423625185075
0.76859,24.2078,0.16885,24.057230926913654,0.15056907308634493
0.5138,23.12745,0.1329,22.98999675967932,0.13745324032067785
0.63771,23.37,0.2329,23.559743369535234,-0.18974336953523263
0.43487,22.5623,0.1145,22.55564719623719,0.006652803762811743
0.58375,23.46355,0.14025,23.325710337261235,0.13783966273876658
0.66206,23.74875,0.17955,23.65926904591789,0.08948095408211287
0.62189,23.4108,0.1628,23.493131816324315,-0.08233181632431652
0.41664,22.5154,0.11755,22.444975311738453,0.07042468826154646
0.45169,22.36265,0.1377,22.654016344208436,-0.29136634420843777
0.73401,24.04855,0.24055,23.9341794360135,0.11437056398649759
0.74202,24.26275,0.21515,23.96317178170397,0.2995782182960305
0.34957,21.74,0.12,21.99523613610858,-0.2552361361085822
0.51476,23.18845,0.1355,22.994886434315426,0.193563565684574
0.64364,23.60755,0.1943,23.584308975578054,0.023241024421945866
0.47058,22.65205,0.12925,22.760524350805774,-0.10847435080577483
0.26349,21.15515,0.1079,21.28428253992054,-0.12913253992054052
0.7427,23.92255,0.19885,23.965619270553702,-0.043069270553701244
0.91075,24.6116,0.16365,24.512421279493232,0.09917872050676735
0.33753,21.9137,0.10655,21.906184859867913,0.007515140132085207
0.98377,24.92305,0.1439,24.719852811206216,0.20319718879378357
0.81369,24.26675,0.14105,24.209926597665266,0.056823402334732265
0.81773,24.3431,0.12085,24.223202428789797,0.11989757121020261
0.96075,24.5736,0.1577,24.656142958633502,-0.08254295863350336
0.75669,24.03965,0.1583,24.0154974289798,0.02415257102020263
0.87796,24.42165,0.14325,24.413903010112286,0.007746989887714051
0.80902,24.20795,0.1668,24.194500290182923,0.013449709817077604
0.62723,23.4134,0.138,23.51579368294002,-0.10239368294002205
0.93389,24.7653,0.2009,24.579875583437158,0.18542441656284225
0.69715,23.78265,0.16195,23.79673031287006,-0.014080312870060396
0.76706,24.3849,0.17855,24.051900275869592,0.33299972413040635
