Omega_m0,Omega_SN0,C_best,chi2
0.1,0.8999,-19.454316829308937,1413.984035264969
0.10500000000000001,0.8949,-19.45155341893192,1390.3208829978564
0.11,0.8899,-19.448810720503772,1367.734612239037
0.115,0.8849,-19.446088242891776,1346.1831826375926
0.12000000000000001,0.8799,-19.443385516932754,1325.6269210791318
0.125,0.8749,-19.440702093953576,1306.0283401166826
0.13,0.8699,-19.438037544425285,1287.3519742547267
0.135,0.8649,-19.435391456735758,1269.5642319374426
0.14,0.8599,-19.432763436067745,1252.63326139763
0.14500000000000002,0.8549,-19.430153103371016,1236.5288287789895
0.15000000000000002,0.8499,-19.42756009441867,1221.2222071592669
0.155,0.8449,-19.424984058939042,1206.6860752830273
0.16,0.8399,-19.422424659815533,1192.894424966932
0.165,0.8349,-19.419881572347794,1179.8224762710197
0.17,0.8299,-19.417354483568356,1167.4465996415572
0.175,0.8249,-19.414843091609477,1155.7442443269676
0.18,0.8199000000000001,-19.412347105115593,1144.6938724509394
0.185,0.8149,-19.40986624269731,1134.2748981982204
0.19,0.8099000000000001,-19.40740023242319,1124.4676316304422
0.195,0.8049,-19.404948811346163,1115.2532267030915
0.2,0.7999,-19.402511725061487,1106.6136331014673
0.20500000000000002,0.7948999999999999,-19.400088727293774,1098.5315515547086
0.21000000000000002,0.7899,-19.397679579510555,1090.990392322607
0.21500000000000002,0.7848999999999999,-19.395284050560367,1083.9742365815987
0.22,0.7799,-19.392901916333347,1077.467800464169
0.225,0.7749,-19.39053295944266,1071.456401530354
0.23,0.7699,-19.388176968925013,1065.9259274718006
0.23500000000000001,0.7649,-19.385833739959054,1060.8628068681992
0.24000000000000002,0.7599,-19.383503073600107,1056.2539818328062
0.245,0.7549,-19.381184776530183,1052.0868823993806
0.25,0.7499,-19.378878660822178,1048.3494025160235
0.255,0.7449,-19.376584543717133,1045.0298775241413
0.26,0.7399,-19.37430224741381,1042.117063011059
0.265,0.7349,-19.372031598869622,1039.6001149351118
0.27,0.7299,-19.369772429612183,1037.4685709304906
0.275,0.7249,-19.36752457556082,1035.7123327072402
0.28,0.7199,-19.36528787685732,1034.32164946882
0.28500000000000003,0.7149,-19.363062177705316,1033.2871022761597
0.29000000000000004,0.7099,-19.360847326217858,1032.599589292973
0.29500000000000004,0.7049,-19.35864317427254,1032.2503118523055
0.30000000000000004,0.6999,-19.35644957737376,1032.2307612891898
0.30500000000000005,0.6949,-19.354266394521677,1032.532706488548
0.31,0.6899,-19.352093488087487,1033.148182101448
0.315,0.6849000000000001,-19.34993072369453,1034.069477386498
0.32,0.6799,-19.347777970105074,1035.289125636348
0.325,0.6749,-19.3456350991122,1036.79989415233
0.33,0.6698999999999999,-19.34350198543678,1038.594774733005
0.335,0.6649,-19.341378506628953,1040.6669746448597
0.33999999999999997,0.6599,-19.339264542974107,1043.0099080457287
0.345,0.6549,-19.33715997740297,1045.6171878336254
0.35,0.6499,-19.335064695405602,1048.4826178955313
0.355,0.6449,-19.33297858494913,1051.600185732576
0.36,0.6399,-19.33090153639899,1054.9640554396078
0.365,0.6349,-19.32883344244343,1058.5685610186415
0.37,0.6299,-19.326774198021266,1062.4082000071328
0.375,0.6249,-19.324723700252513,1066.4776274032101
0.38,0.6199,-19.322681848371943,1070.771649871277
0.385,0.6149,-19.32064854366525,1075.28522021239
0.39,0.6099,-19.31862368940781,1080.0134320849263
0.395,0.6049,-19.316607190805883,1084.951514961881
0.4,0.5999,-19.31459895494003,1090.094829312096
0.405,0.5949,-19.31259889071086,1095.4388619934725
0.41000000000000003,0.5899,-19.31060690878673,1100.9792218469636
0.41500000000000004,0.5849,-19.308622921553514,1106.711635480866
0.42000000000000004,0.5799,-19.30664684306624,1112.6319432355212
0.42500000000000004,0.5749,-19.30467858900253,1118.7360953191994
0.43000000000000005,0.5699,-19.30271807661776,1125.0201481064555
0.43500000000000005,0.5649,-19.30076522470186,1131.4802605907014
0.44000000000000006,0.5599,-19.29881995353768,1138.1126909834015
0.44500000000000006,0.5549,-19.296882184860852,1144.913793452555
0.45000000000000007,0.5498999999999999,-19.294951841821103,1151.880014993625
0.45499999999999996,0.5449,-19.293028848944886,1159.0078924265274
0.45999999999999996,0.5399,-19.291113132099348,1166.2940495125654
0.46499999999999997,0.5349,-19.28920461845754,1173.7351941855202
0.47,0.5299,-19.287303236464833,1181.3281158915993
0.475,0.5249,-19.285408915806457,1189.0696830330635
0.48,0.5199,-19.28352158737615,1196.956840510608
0.485,0.5149,-19.281641183245842,1204.9866073601231
0.49,0.5099,-19.27976763663636,1213.1560744793546
0.495,0.5049,-19.277900881889092,1221.4624024403843
0.5,0.4999,-19.27604085443857,1229.9028193841148
