z,mu_SN,mu_err,mu_model,residual
0.50309,22.93445,0.12605,22.93541430629993,-0.0009643062999309393
0.4948,22.8802,0.11765,22.891914440912107,-0.01171444091210816
0.67767,24.0377,0.2056,23.72333149137346,0.31436850862654
0.8665,24.34685,0.17385,24.382574110394767,-0.035724110394767195
0.79857,24.3605,0.17435,24.1629286230426,0.19757137695739857
0.37144,22.28785,0.1245,22.149693103610286,0.13815689638971307
0.35582,22.05915,0.12645,22.039949395745555,0.019200604254443476
0.2836,21.40915,0.1028,21.466931667218052,-0.05778166721805178
0.4664,23.21635,0.1587,22.737585153373782,0.4787648466262162
0.94688,24.41155,0.1642,24.62180933552339,-0.21025933552339282
0.69315,23.79645,0.24445,23.78362055513411,0.012829444865889883
0.89693,24.40275,0.16645,24.475595836372133,-0.0728458363721316
0.78904,24.2188,0.11585,24.130679074401588,0.08812092559841389
0.59027,23.3354,0.1666,23.356326086880383,-0.02092608688038311
0.21075,20.64495,0.10525,20.73323413466024,-0.08828413466023832
0.85852,24.1237,0.1478,24.357654003565298,-0.23395400356529805
0.55875,23.1648,0.1335,23.211290647686408,-0.04649064768640798
0.9964,24.69965,0.1408,24.75948234515003,-0.05983234515003133
0.58294,23.34385,0.1258,23.323257589824447,0.0205924101755528
0.79656,23.85445,0.1588,24.15615772259115,-0.30170772259115
0.91348,24.37895,0.13735,24.52490416931639,-0.14595416931638994
0.94846,24.66675,0.15105,24.626310113596848,0.04043988640315277
0.73362,23.8481,0.15575,23.935375204658524,-0.08727520465852479
0.7656,24.10805,0.1549,24.049734733834097,0.0583152661659021
0.98341,24.828,0.153,24.724030582726687,0.1039694172733121
0.70064,23.7492,0.1738,23.81233305429686,-0.06313305429686267
0.83814,24.1545,0.1807,24.292976049966153,-0.1384760499661546
0.3706,22.1401,0.1211,22.143900320953247,-0.003800320953246228
0.35858,21.95965,0.1186,22.05965832524394,-0.10000832524394099
0.52278,23.15915,0.14165,23.036120075018903,0.12302992498109688
0.70198,23.7115,0.26255,23.817439053770666,-0.10593905377066548
0.74613,23.8056,0.16465,23.980669095740648,-0.17506909574064977
0.59185,23.2429,0.12625,23.363403592054123,-0.1205035920541242
0.62063,23.5114,0.1131,23.489304458991224,0.022095541008773978
1.00279,25.0798,0.19135,24.77675491490709,0.30304508509290784
0.61064,23.47615,0.1329,23.446236744313435,0.029913255686565776
0.35833,21.9694,0.11425,22.057878885101868,-0.08847888510186763
0.45155,22.4159,0.12515,22.65338926905518,-0.2374892690551782
0.5526,22.98515,0.13425,23.18210130022818,-0.19695130022817864
0.75068,23.763,0.19155,23.996962701259104,-0.23396270125910235
0.82269,24.3356,0.14625,24.24292030261658,0.09267969738342074
0.95076,24.68515,0.14485,24.632848777860442,0.052301222139558234
0.34052,21.9463,0.10555,21.928083291529493,0.018216708470507825
0.81072,24.0795,0.17055,24.203510207833954,-0.12401020783395467
0.61124,23.7392,0.1593,23.44884206970426,0.2903579302957411
0.54831,22.8926,0.1438,23.161559572111113,-0.2689595721111111
1.02879,24.7289,0.16015,24.845932364904332,-0.11703236490433255
0.42244,22.35675,0.1192,22.48064630454657,-0.12389630454656952
0.70115,23.90875,0.1805,23.81427748859532,0.09447251140468182
0.68517,23.844,0.2326,23.752703011583538,0.09129698841646317
0.93189,24.54795,0.15235,24.57873884963222,-0.03078884963221995
0.74909,23.81055,0.18275,23.991279658881165,-0.180729658881166
0.4684,22.73255,0.11785,22.748734529244384,-0.016184529244384294
0.95886,24.80665,0.17245,24.65575331511479,0.15089668488521113
0.84053,24.22255,0.1456,24.300639415008764,-0.07808941500876543
0.56276,23.2428,0.11755,23.23016162453686,0.012638375463140505
0.82854,24.39785,0.1526,24.26197965522378,0.13587034477621884
0.57875,23.22495,0.12065,23.304179134765707,-0.0792291347657077
0.8645,24.3693,0.14625,24.376349498371663,-0.007049498371664242
0.85851,24.4442,0.16535,24.357622632896703,0.08657736710329544
0.58575,23.5694,0.1417,23.33598045137381,0.2334195486261912
0.48881,22.8653,0.1136,22.860060061595743,0.005239938404258737
0.68866,23.6132,0.1518,23.766266525767076,-0.1530665257670769
0.32454,21.79365,0.10225,21.80621438318109,-0.012564383181089767
0.18538,20.4558,0.10405,20.421660163004926,0.034139836995073836
0.68196,23.59755,0.1484,23.740169613825326,-0.14261961382532817
0.92223,24.355,0.1708,24.550622033517467,-0.19562203351746632
0.42866,22.751,0.1294,22.518459619239675,0.23254038076032657
0.69998,23.95255,0.2153,23.809814779012893,0.142735220987106
0.57584,23.38495,0.13845,23.290852595681084,0.09409740431891578
0.51176,23.11305,0.1165,22.98020137319728,0.1328486268027227
0.64191,23.62155,0.1659,23.578905425400716,0.04264457459928295
