model,Om_m0,n_TF,C_best,chi2_SN,chi2_BAO,chi2_tot,dof
LCDM,0.2,,-19.39234045542728,1080.7115027712853,24.16372003385017,1104.8752228051355,1060
LCDM,0.20500000000000002,,-19.390031438163593,1074.604758124553,22.970723087230805,1097.5754812117839,1060
LCDM,0.21000000000000002,,-19.38773488575149,1068.9664419648263,21.851417839978648,1090.817859804805,1060
LCDM,0.21500000000000002,,-19.385450602204624,1063.783430648231,20.804168236629522,1084.5875988848604,1060
LCDM,0.22,,-19.383178397165057,1059.0430962842538,19.82740215263377,1078.8704984368876,1060
LCDM,0.225,,-19.38091808566282,1054.7332819557419,18.919607828917158,1073.652889784659,1060
LCDM,0.23,,-19.37866948788911,1050.8422785017983,18.079330563577305,1068.9216090653756,1060
LCDM,0.23500000000000001,,-19.37643242898227,1047.3588027438836,17.30516963807777,1064.6639723819615,1060
LCDM,0.24000000000000002,,-19.374206738825563,1044.2719770463325,16.59577545764382,1060.8677525039764,1060
LCDM,0.245,,-19.371992251856,1041.5713101120464,15.949846887629194,1057.5211569996757,1060
LCDM,0.25,,-19.36978880688339,1039.2466789229147,15.366128769448563,1054.6128076923633,1060
LCDM,0.255,,-19.367596246919007,1037.288311742237,14.843409601284968,1052.131721343522,1060
LCDM,0.26,,-19.36541441901317,1035.686772103499,14.380519370215836,1050.0672914737147,1060
LCDM,0.265,,-19.363243174101207,1034.4329437161716,13.976327523674707,1048.4092712398462,1060
LCDM,0.27,,-19.361082366857236,1033.5180162250044,13.629741069300914,1047.1477572943054,1060
LCDM,0.275,,-19.358931855555262,1032.9334717643326,13.339702793242488,1046.273174557575,1060
LCDM,0.28,,-19.35679150193714,1032.6710722537493,13.10518958788222,1045.7762618416316,1060
LCDM,0.28500000000000003,,-19.354661171087013,1032.7228473857028,12.92521088076826,1045.648058266471,1060
LCDM,0.29000000000000004,,-19.35254073131177,1033.0810832594625,12.798807157257288,1045.8798904167197,1060
LCDM,0.29500000000000004,,-19.350430054027196,1033.7383116193923,12.725048570032136,1046.4633601894245,1060
LCDM,0.30000000000000004,,-19.348329013649497,1034.68729965875,12.703033629243437,1047.3903332879934,1060
LCDM,0.305,,-19.346237487491813,1035.9210403530562,12.731887967555188,1048.6529283206114,1060
LCDM,0.31,,-19.344155355665524,1037.43274328995,12.810763174852106,1050.243506464802,1060
LCDM,0.315,,-19.34208250098601,1039.2158259645569,12.938835697799759,1052.1546616623566,1060
LCDM,0.32,,-19.340018808882608,1041.263905512029,13.115305799839232,1054.3792113118682,1060
LCDM,0.325,,-19.337964167312595,1043.5707908506863,13.339396577553602,1056.9101874282399,1060
LCDM,0.33,,-19.335918466678915,1046.1304752111678,13.610353029665488,1059.7408282408333,1060
LCDM,0.335,,-19.333881599751432,1048.937129028749,13.927441175217346,1062.8645702039664,1060
LCDM,0.34,,-19.331853461591617,1051.9850931775159,14.289947217753417,1066.2750403952693,1060
LCDM,0.345,,-19.329833949480367,1055.268872526612,14.697176752564527,1069.9660492791766,1060
LCDM,0.35,,-19.32782296284885,1058.783129800096,15.14845401427839,1073.9315838143743,1060
LCDM,0.355,,-19.325820403212262,1062.5226797231119,15.64312116228081,1078.1658008853926,1060
LCDM,0.36,,-19.323826174106205,1066.4824834383994,16.180537601637965,1082.6630210400374,1060
LCDM,0.365,,-19.321840181025735,1070.6576431780272,16.76007933735927,1087.4177225153865,1060
LCDM,0.37,,-19.319862331366778,1075.043397176361,17.381138359995337,1092.4245355363562,1060
LCDM,0.375,,-19.317892534369943,1079.635114811092,18.04312206070872,1097.678236871801,1060
LCDM,0.38,,-19.31593070106645,1084.4282919600778,18.745452674084657,1103.1737446341624,1060
LCDM,0.385,,-19.313976744226267,1089.4185465624007,19.48756674707067,1108.9061133094713,1060
LCDM,0.39,,-19.31203057830814,1094.601614372892,20.268914632542845,1114.870529005435,1060
LCDM,0.395,,-19.310092119411603,1099.973344899986,21.088960006100088,1121.062304906086,1060
LCDM,0.4,,-19.308161285230753,1105.529697517377,21.947179404780684,1127.4768769221575,1060
