# Phi_over_c2,dVdPhi,V_of_Phi (up to const)
1.507544926653281530e-13,4.938245579074371080e-11,0.000000000000000000e+00
1.717818376816164009e-12,7.001721403281863817e-11,9.355345518001948045e-23
7.130153670307966980e-12,1.283475993437475358e-10,6.303618953924715471e-22
1.957219865767506415e-11,1.942989549323922423e-10,2.637553367053826982e-21
4.377809887882903681e-11,2.714924298273816021e-10,8.275003258737940284e-21
8.270326596536203901e-11,3.548325552852628106e-10,2.046490560672792838e-20
1.394607700387091778e-10,4.429639868223717996e-10,4.310537585091609983e-20
2.258025785185055139e-10,5.426676797613243273e-10,8.565598614481208310e-20
3.406558369152662907e-10,6.452079848563908029e-10,1.538716814705932543e-19
4.920341237157217358e-10,7.527716004153577536e-10,2.596835587708175021e-19
6.928260698254739313e-10,8.675611936710899873e-10,4.223584463058525753e-19
9.288585743809965490e-10,9.794082895318129452e-10,6.403308627848528077e-19
1.227001739954074621e-09,1.097114562259778226e-09,9.498814109938430985e-19
1.599260579952432788e-09,1.219421052444296001e-09,1.381056841366154155e-18
2.029766023079992706e-09,1.338641849103073185e-09,1.931686842855565117e-18
2.552330622512919162e-09,1.460841208252254123e-09,2.663142214098640422e-18
3.122047545826313429e-09,1.574245774549177379e-09,3.527712423013722443e-18
3.796223293082383420e-09,1.688173104866474076e-09,4.627434265959901383e-18
4.563540397504363278e-09,1.796973806830853178e-09,5.964540684344300803e-18
5.458024944788686520e-09,1.902940033471909444e-09,7.619298562561409816e-18
6.398385295807060372e-09,1.999486619125053354e-09,9.454142210991178953e-18
7.474869419920752952e-09,2.085084761118701092e-09,1.165263033331195629e-17
1.147092267196727003e-08,2.249633026244763666e-09,2.031351188876078483e-17
1.665734660252610984e-08,2.290016539772177307e-09,3.208578546153144379e-17
2.290061898438624335e-08,2.168460508897405646e-09,4.600352877308948536e-17
3.001285411495767570e-08,1.837921755998141949e-09,6.025069511853371301e-17
3.776276049486460152e-08,1.348100431233338681e-09,7.259638195620885149e-17
5.312750864529541428e-08,3.701527173480452326e-10,8.579664539952772315e-17
6.587603200379256092e-08,-3.677824537961183613e-10,8.581175407965649237e-17
7.403277338442544885e-08,-6.448129309867929625e-10,8.168201474120816259e-17
7.762597968451701020e-08,-5.124946532772577291e-10,7.960279228974749567e-17
7.895173665453078661e-08,-2.530476497850683317e-10,7.909533076768485486e-17
7.923702932341191901e-08,-9.083082749048929783e-11,7.904627776340849784e-17
7.928624742767415672e-08,-2.024364340205586280e-11,7.904354432596386511e-17
7.929063634878075312e-08,-2.971592172713091889e-12,7.904349338104515516e-17
7.929086278363637665e-08,-2.866386242704454227e-13,7.904349301215665048e-17
7.929087118128659744e-08,-1.469234696918203994e-14,7.904349301089141619e-17
7.929087130775083993e-08,-5.360189747518958183e-16,7.904349301089045477e-17
7.929087130906515713e-08,-8.350877182889545827e-18,7.904349301089045477e-17
7.929087130906960405e-08,-7.437105141650625351e-20,7.904349301089045477e-17
7.929087130906960405e-08,-6.152245595108195806e-24,7.904349301089045477e-17
7.929087130906963052e-08,-2.830763643157116405e-22,7.904349301089045477e-17
7.929087130906963052e-08,-5.330913303164656624e-24,7.904349301089045477e-17
