Galaxy,success,V0,V0_err,rc,rc_err,n,n_err,f_disk,f_disk_err,RMS,chi2_red,N_points,r_cut,logM_NFW,logM_Ein,logM_DC14
NGC2403,True,121.62600330001764,1.078165305087634,2.158525744174266,0.2513508866047524,1.0262754079218754,0.04488966506469,0.2000000000004344,0.193178387360887,4.221160038737295,8.000239856556913,69,0.5,11.4,11.32,11.39
NGC3198,True,135.09474483073194,1.7003634007227093,5.461748379113942,0.5302229019082054,1.4583263266783768,0.1200105622815863,0.5945534235016208,0.0555178425918435,4.182927591092225,0.4188046228588546,42,0.5,11.64,11.49,11.65
NGC2903,True,169.52111441570537,1.679870774121229,2.496000000000001,0.18028150173096,1.608843386980888,0.1629093265084664,0.5035069884518195,0.0153701038681315,14.836056844272644,4.930654246477089,33,0.5,11.64,11.42,11.65
NGC5055,True,152.33577186321654,0.7194885554970473,11.797443499844436,0.4329808579148568,1.8156851311436584,0.1120748308661137,0.6690267911208154,0.0071617459848711,2.538844712141256,1.4522822746808706,28,0.5,11.72,11.7,11.8
DDO154,True,45.34319353476388,0.852212364785815,2.622320968747308,0.0755060601663219,1.782692690421942,0.1880357225136376,0.6549267268744671,0.3211414540785871,0.7379266823612483,0.8100472251476866,11,0.5,10.58,10.13,10.26
F571-V1,True,77.31111037323237,22.83932061187365,5.304539485867093,4.543086661221049,1.8135790979286763,1.265962201894279,0.5253896880386553,4.218876843416636,0.9641965520931072,0.0353991475604197,7,0.5,10.98,10.99,10.98
IC2574,True,94.83570278198964,17.125175542239166,14.605371328636547,4.598297377003514,1.5485124786223656,0.1029176676413436,0.2000000000245609,1.1572604082242188,1.9899019545001564,1.949719751929314,34,0.5,11.29,10.9,10.99
KK98-251,True,30.76171293307777,21.62001765126649,1.9307534145165195,0.5544447140335301,2.3304240573303185,1.4729948542542315,0.2000000000032198,19.13660896256507,0.8174541063401187,0.2278060963542007,13,0.5,10.34,10.18,10.5
NGC0055,True,70.18623148702454,6.210750572350896,5.850205685867195,0.2866759648275004,2.433708845924156,0.7886579506106572,0.8068732903328933,0.2136649587865994,0.9454449661351072,0.1043647333643938,21,0.5,11.27,11.05,11.11
NGC0801,True,257.4745245643961,488.40796035781904,111.94297984073052,591.1785150886334,1.0398633403661872,1.0377482948913628,0.7981982310260162,0.035251270781257,12.582267998166966,6.007188912786308,13,0.5,12.32,12.33,12.16
NGC7331,True,257.6296645245649,128.8589055182169,31.181335806273985,87.03910348269967,0.5658024615019164,0.6181203779577665,0.517215657330314,0.0939345012629866,6.464057709067822,0.9123804888097145,36,0.5,12.42,12.5,12.42
UGC02259,True,82.71340043773064,9.821824711172516,1.5608255082486926,0.2453775397615959,1.1471865952147162,0.4467531904446006,0.2,3.107906201573313,1.4282185951629554,0.7868781299924585,8,0.5,10.94,10.95,11.02
