Galaxy,V0,rc,n,f_disk,RMS,chi2_red,logM_NFW,logM_Ein,logM_DC14
DDO154,,,,,,,10.58,10.13,10.26
F571-V1,,,,,,,10.98,10.99,10.98
F574-1,,,,,,,11.27,11.21,11.22
F574-1,,,,,,,11.27,11.21,11.22
IC2574,,,,,,,11.29,10.9,10.99
KK98-251,,,,,,,10.34,10.18,10.5
NGC0024,,,,,,,11.3,11.2,11.3
NGC0024,,,,,,,11.3,11.2,11.3
NGC0055,,,,,,,11.27,11.05,11.11
NGC0100,,,,,,,11.19,10.96,11.21
NGC0100,,,,,,,11.19,10.96,11.21
NGC0247,,,,,,,11.37,11.24,11.26
NGC0247,,,,,,,11.37,11.24,11.26
NGC0289,,,,,,,11.82,11.88,11.89
NGC0289,,,,,,,11.82,11.88,11.89
NGC0300,,,,,,,11.11,11.1,11.07
NGC0300,,,,,,,11.11,11.1,11.07
NGC0801,,,,,,,12.32,12.33,12.16
NGC0891,,,,,,,11.93,11.7,12.03
NGC0891,,,,,,,11.93,11.7,12.03
NGC1003,,,,,,,11.59,11.43,11.55
NGC1003,,,,,,,11.59,11.43,11.55
NGC1090,,,,,,,11.71,11.53,11.91
NGC1090,,,,,,,11.71,11.53,11.91
NGC2403,,,,,,,11.4,11.32,11.39
NGC2903,,,,,,,11.64,11.42,11.65
NGC3198,,,,,,,11.64,11.49,11.65
NGC5055,,,,,,,11.72,11.7,11.8
NGC7331,,,,,,,12.42,12.5,12.42
PGC51017,,,,,,,10.25,10.45,10.49
PGC51017,,,,,,,10.25,10.45,10.49
UGC02259,,,,,,,10.94,10.95,11.02
UGC02953,,,,,,,12.23,12.17,12.32
UGCA281,,,,,,,10.54,10.53,10.69
PHASE23_DT_MASSCORR_SUMMARY,,,,,,,,,
PHASE23_MASS_REGRESSION_RESULTS,,,,,,,,,
TFGR_WP50_CLEAN,45.34319353476388,2.622320968747308,1.782692690421942,0.6549267268744671,0.7379266823612483,0.8100472251476866,,,
TFGR_WP50_COMPLETE,45.34319353476388,2.622320968747308,1.782692690421942,0.6549267268744671,0.7379266823612483,0.8100472251476866,,,
TFGR_WP50_MERGED,45.34319353476388,2.622320968747308,1.782692690421942,0.6549267268744671,0.7379266823612483,0.8100472251476866,,,
