# Data for INRIM_ITYb1-PTB_Sr3_CombKnoten 
# File generated on: 2025-01-20T17:03:46+01:00
# With the script: 06-procclocks-v3.py 
# 
# t           	ΔA→B            	flag	uA_sys     	uB_sys
59639.000023	-2.8583966762e-15	1	2.8888600000000004e-18	2e-17
59639.000035	-2.8012518105e-15	1	2.8888300000000004e-18	2e-17
59639.000046	-2.7588192925e-15	1	2.8888e-18	2e-17
59639.000058	-1.1797416842e-15	1	2.8887700000000004e-18	2e-17
59639.000069	1.0153489456e-15	1	2.8887400000000004e-18	2e-17
59639.000081	1.1137559343e-15	1	2.8887100000000004e-18	2e-17
59639.000093	1.2329998870e-15	1	2.8886800000000004e-18	2e-17
59639.000104	-2.0332643016e-17	1	2.8886400000000003e-18	2e-17
59639.000116	-2.7077622130e-15	1	2.8886100000000003e-18	2e-17
59639.000127	-4.2840303946e-15	1	2.8885800000000003e-18	2e-17
59639.000139	4.7047744299e-17	1	2.8885500000000003e-18	2e-17
59639.000150	1.3692399203e-17	1	2.8885200000000003e-18	2e-17
59639.000162	-6.2044197834e-17	1	2.8884900000000003e-18	2e-17
59639.000174	-1.1812860310e-15	1	2.8884600000000003e-18	2e-17
59639.000185	-2.9302824748e-15	1	2.8884300000000004e-18	2e-17
59639.000197	1.0939619234e-16	1	2.8884e-18	2e-17
59639.000208	1.4847920911e-15	1	2.8883700000000004e-18	2e-17
59639.000220	1.3772103306e-15	1	2.8883400000000004e-18	2e-17
59639.000231	1.0268500774e-16	1	2.8883100000000004e-18	2e-17
59639.000243	-7.3057142203e-16	1	2.8882800000000004e-18	2e-17
59639.000255	-1.5779547818e-15	1	2.8882500000000004e-18	2e-17
59639.000266	-6.5094367497e-16	1	2.8882200000000004e-18	2e-17
59639.000278	1.6292654576e-15	1	2.8881900000000004e-18	2e-17
59639.000289	-3.0365431141e-16	1	2.8881600000000004e-18	2e-17
59639.000301	-9.9479520659e-17	1	2.8881200000000003e-18	2e-17
59639.000313	-8.2308946145e-16	1	2.8880900000000003e-18	2e-17
59639.000324	8.7512228908e-16	1	2.8880500000000002e-18	2e-17
59639.000336	1.9228899465e-15	1	2.8880200000000002e-18	2e-17
59639.000347	-1.3029438112e-15	1	2.8879900000000002e-18	2e-17
59639.000359	-1.1875561847e-15	1	2.88795e-18	2e-17
59639.000370	-1.0135318382e-15	1	2.88792e-18	2e-17
59639.000382	1.9018260385e-16	1	2.88789e-18	2e-17
59639.000394	-8.6516930675e-16	1	2.8878500000000004e-18	2e-17
59639.000405	-1.5782867153e-15	1	2.8878200000000004e-18	2e-17
59639.000417	-5.0540843673e-16	1	2.8877900000000004e-18	2e-17
59639.000428	-2.8413552783e-15	1	2.8877500000000003e-18	2e-17
59639.000440	-2.8662980453e-15	1	2.8877200000000003e-18	2e-17
59639.000451	-1.2801159824e-15	1	2.88768e-18	2e-17
59639.000463	3.2806496524e-16	1	2.88765e-18	2e-17
59639.000475	8.3252267950e-16	1	2.8876200000000002e-18	2e-17
59639.000486	1.3327841619e-15	1	2.88758e-18	2e-17
59639.000498	-5.2169932620e-18	1	2.88755e-18	2e-17
59639.000509	-2.0404920754e-15	1	2.88752e-18	2e-17
59639.000521	-1.4240115685e-15	1	2.8874800000000004e-18	2e-17
59639.000532	2.1732220725e-16	1	2.8874500000000004e-18	2e-17
59639.000544	-1.7468839173e-15	1	2.8874200000000004e-18	2e-17
59639.000556	-4.4144246083e-16	1	2.8873800000000003e-18	2e-17
59639.000567	-1.9114406160e-15	1	2.8873500000000003e-18	2e-17
59639.000579	-2.3422632757e-15	1	2.88731e-18	2e-17
59639.000590	1.0764750516e-15	1	2.88728e-18	2e-17
59639.000602	1.8022448664e-15	1	2.88725e-18	2e-17
59639.000613	-1.2264228140e-15	1	2.88721e-18	2e-17
59639.000625	-1.4230291221e-15	1	2.88718e-18	2e-17
59639.000637	-1.7135516130e-15	1	2.88715e-18	2e-17
59639.000648	-5.7173988842e-16	1	2.8871100000000003e-18	2e-17
59639.000660	1.4425987540e-15	1	2.8870800000000004e-18	2e-17
59639.000671	-4.0073625424e-16	1	2.8870500000000004e-18	2e-17
59639.000683	-1.9732238051e-15	1	2.8870100000000002e-18	2e-17
59639.000694	-7.4631985208e-16	1	2.8869800000000003e-18	2e-17
59639.000706	-4.5065135725e-16	1	2.88694e-18	2e-17
59639.000718	2.9242530654e-15	1	2.88691e-18	2e-17
59639.000729	1.5285879527e-15	1	2.88688e-18	2e-17
59639.000741	6.4860202865e-17	1	2.8868400000000004e-18	2e-17
59639.000752	8.2965184005e-16	1	2.8868100000000004e-18	2e-17
59639.000764	1.1036436636e-15	1	2.88678e-18	2e-17
59639.000775	2.3515259765e-15	1	2.8867400000000003e-18	2e-17
59639.000787	8.4618765750e-16	1	2.8867100000000003e-18	2e-17
59639.000799	-1.9648480192e-15	1	2.8866800000000003e-18	2e-17
59639.000810	5.3609711663e-17	1	2.8866400000000002e-18	2e-17
59639.000822	-4.0640883936e-17	1	2.8866100000000002e-18	2e-17
59639.000833	2.0229789454e-15	1	2.8865800000000002e-18	2e-17
59639.000845	-2.9937729118e-16	1	2.88654e-18	2e-17
59639.000856	6.6799525701e-16	1	2.88651e-18	2e-17
59639.000868	-3.3323091393e-16	1	2.8864700000000004e-18	2e-17
59639.000880	1.2556232444e-16	1	2.8864400000000004e-18	2e-17
59639.000891	2.3270993148e-16	1	2.8864100000000004e-18	2e-17
59639.000903	4.8067221882e-16	1	2.8863700000000003e-18	2e-17
59639.000961	-8.9204729888e-16	1	2.8862100000000002e-18	2e-17
59639.000972	5.3624572179e-16	1	2.8863e-18	2e-17
59639.000984	1.4179634798e-15	1	2.88639e-18	2e-17
59639.000995	2.1249794046e-15	1	2.88648e-18	2e-17
59639.001007	-8.6270769427e-16	1	2.88657e-18	2e-17
59639.001019	1.2093884165e-15	1	2.88666e-18	2e-17
59639.001030	1.1685961512e-15	1	2.88675e-18	2e-17
59639.001042	-2.7680298342e-16	1	2.8868400000000004e-18	2e-17
59639.001053	4.4098615766e-16	1	2.8869300000000004e-18	2e-17
59639.001065	-5.0634020895e-16	1	2.8870200000000004e-18	2e-17
59639.001076	3.7212367882e-17	1	2.8871100000000003e-18	2e-17
59639.001134	-4.1056659068e-15	1	2.8875700000000003e-18	2e-17
59639.001146	-1.4946850582e-15	1	2.8876600000000003e-18	2e-17
59639.001157	-4.8203561649e-16	1	2.8877500000000003e-18	2e-17
59639.001169	-6.9298664152e-16	1	2.8878400000000003e-18	2e-17
59639.001181	-1.3086827069e-15	1	2.8879300000000002e-18	2e-17
59639.001192	-8.5474529219e-16	1	2.8880200000000002e-18	2e-17
59639.001204	-8.5770456849e-16	1	2.88811e-18	2e-17
59639.001215	-1.2807745578e-15	1	2.8882e-18	2e-17
59639.001227	-2.3848250383e-16	1	2.88829e-18	2e-17
59639.001238	-4.6310272812e-16	1	2.8883900000000002e-18	2e-17
