# Data for INRIM_ITYb1-SYRTE_Sr2 
# File generated on: 2025-01-20T17:03:56+01:00
# With the script: 06-procclocks-v3.py 
# 
# t           	ΔA→B             	flag	uA_sys 	uB_sys
59639.000000	-4.2684667781e-15	1	1.7e-17	2e-17
59639.000012	-8.0995468597e-15	1	1.7e-17	2e-17
59639.000023	-8.5911290305e-15	1	1.7e-17	2e-17
59639.000035	-9.8619798631e-15	1	1.7e-17	2e-17
59639.000046	-9.4437141412e-15	1	1.7e-17	2e-17
59639.000058	-7.8782841263e-15	1	1.7e-17	2e-17
59639.000069	-3.8176467214e-15	1	1.7e-17	2e-17
59639.000081	-3.3535450368e-15	1	1.7e-17	2e-17
59639.000093	-3.6818123732e-15	1	1.7e-17	2e-17
59639.000104	-5.4804312172e-15	1	1.7e-17	2e-17
59639.000116	-7.1141474333e-15	1	1.7e-17	2e-17
59639.000127	-1.0616658375e-14	1	1.7e-17	2e-17
59639.000139	-4.4556425413e-15	1	1.7e-17	2e-17
59639.000150	-3.7128293302e-15	1	1.7e-17	2e-17
59639.000162	-6.2596361745e-15	1	1.7e-17	2e-17
59639.000174	-7.0068078138e-15	1	1.7e-17	2e-17
59639.000185	-1.0365108253e-14	1	1.7e-17	2e-17
59639.000197	-6.3825433334e-15	1	1.7e-17	2e-17
59639.000208	-5.3840673288e-15	1	1.7e-17	2e-17
59639.000220	-5.4678920121e-15	1	1.7e-17	2e-17
59639.000231	-7.1074103435e-15	1	1.7e-17	2e-17
59639.000243	-8.4044934654e-15	1	1.7e-17	2e-17
59639.000255	-6.1712782281e-15	1	1.7e-17	2e-17
59639.000266	-4.1529219861e-15	1	1.7e-17	2e-17
59639.000278	-4.6479997483e-15	1	1.7e-17	2e-17
59639.000289	-4.4371665840e-15	1	1.7e-17	2e-17
59639.000301	-5.7083742816e-15	1	1.7e-17	2e-17
59639.000313	-5.9524367708e-15	1	1.7e-17	2e-17
59639.000324	-5.8075925483e-15	1	1.7e-17	2e-17
