# Data for PTB_In_CombKnoten-INRIM_ITYb1 
# File generated on: 2025-01-20T17:01:57+01:00
# With the script: 06-procclocks-v3.py 
# 
# t           	ΔA→B             	flag	uA_sys	uB_sys     
59639.737431	-1.2008346283e-14	1	2e-17	2.52485e-18
59639.737442	-1.0841269560e-14	1	2e-17	2.52485e-18
59639.737454	-9.3100355848e-15	1	2e-17	2.52485e-18
59639.737465	-8.8243553632e-15	1	2e-17	2.52485e-18
59639.737477	-5.7752739223e-15	1	2e-17	2.52485e-18
59639.737488	-5.4795357569e-15	1	2e-17	2.52485e-18
59639.737500	-3.7294462562e-15	1	2e-17	2.52485e-18
59639.737512	-4.9356677599e-15	1	2e-17	2.52485e-18
59639.737523	-8.6791840804e-15	1	2e-17	2.52485e-18
59639.737535	-8.5596397795e-15	1	2e-17	2.52485e-18
59639.737546	-8.0326074094e-15	1	2e-17	2.52485e-18
59639.737558	-1.2668536467e-14	1	2e-17	2.52485e-18
59639.737569	-1.1164802264e-14	1	2e-17	2.52485e-18
59639.737581	-7.0972263846e-15	1	2e-17	2.52485e-18
59639.737593	-7.9229310422e-15	1	2e-17	2.52485e-18
59639.737604	-9.6216395243e-15	1	2e-17	2.52485e-18
59639.737616	-8.6932948023e-15	1	2e-17	2.52485e-18
59639.737627	-8.7482087953e-15	1	2e-17	2.52485e-18
59639.737639	-9.6152122383e-15	1	2e-17	2.52485e-18
59639.737650	-6.4214169125e-15	1	2e-17	2.52485e-18
59639.737662	-6.4601415648e-15	1	2e-17	2.52485e-18
59639.737674	-5.9327314180e-15	1	2e-17	2.52485e-18
59639.737708	-9.1385376710e-15	1	2e-17	2.52485e-18
59639.737720	-6.9706406988e-15	1	2e-17	2.52485e-18
59639.737731	-8.6787317648e-15	1	2e-17	2.52485e-18
59639.737743	-7.2197979813e-15	1	2e-17	2.52485e-18
59639.737755	-8.5930179598e-15	1	2e-17	2.52485e-18
59639.737766	-7.0127526358e-15	1	2e-17	2.52485e-18
59639.737778	-7.8690741464e-15	1	2e-17	2.52485e-18
59639.737789	-1.0139010637e-14	1	2e-17	2.52485e-18
59639.737801	-1.0773019033e-14	1	2e-17	2.52485e-18
59639.737812	-9.5513315546e-15	1	2e-17	2.52485e-18
59639.737824	-8.9442359362e-15	1	2e-17	2.52485e-18
59639.737836	-9.1680762510e-15	1	2e-17	2.52485e-18
59639.737847	-9.4781580723e-15	1	2e-17	2.52485e-18
59639.737859	-9.0527535622e-15	1	2e-17	2.52485e-18
59639.737870	-8.1463419113e-15	1	2e-17	2.52485e-18
59639.737882	-1.0394504573e-14	1	2e-17	2.52485e-18
59639.737894	-3.9714173112e-15	1	2e-17	2.52485e-18
59639.737905	-6.2273091482e-15	1	2e-17	2.52485e-18
59639.737917	-1.0819045956e-14	1	2e-17	2.52485e-18
59639.737928	-1.1023370632e-14	1	2e-17	2.52485e-18
59639.737940	-8.7657754116e-15	1	2e-17	2.52485e-18
59639.737951	-5.3830527750e-15	1	2e-17	2.52485e-18
59639.737963	-6.4440005049e-15	1	2e-17	2.52485e-18
59639.737975	-9.1363540201e-15	1	2e-17	2.52485e-18
59639.737986	-8.5271399723e-15	1	2e-17	2.52485e-18
59639.737998	-1.1220271064e-14	1	2e-17	2.52485e-18
59639.738009	-7.1132539420e-15	1	2e-17	2.52485e-18
59639.738021	-7.6288937190e-15	1	2e-17	2.52485e-18
59639.738032	-7.5469593750e-15	1	2e-17	2.52485e-18
59639.738044	-8.8663766677e-15	1	2e-17	2.52485e-18
59639.738056	-7.9690934908e-15	1	2e-17	2.52485e-18
59639.738067	-1.0015137997e-14	1	2e-17	2.52485e-18
59639.738079	-1.0195160451e-14	1	2e-17	2.52485e-18
59639.738090	-6.2296799934e-15	1	2e-17	2.52485e-18
59639.738102	-8.9571498005e-15	1	2e-17	2.52485e-18
59639.738113	-8.4912308575e-15	1	2e-17	2.52485e-18
59639.738125	-8.2628563754e-15	1	2e-17	2.52485e-18
59639.738137	-8.7403593410e-15	1	2e-17	2.52485e-18
59639.738148	-7.6119522130e-15	1	2e-17	2.52485e-18
59639.738160	-1.3271664583e-14	1	2e-17	2.52485e-18
59639.738171	-1.1347569104e-14	1	2e-17	2.52485e-18
59639.738183	-7.8431786551e-15	1	2e-17	2.52485e-18
59639.738194	-8.9338021844e-15	1	2e-17	2.52485e-18
59639.738206	-8.3638133854e-15	1	2e-17	2.52485e-18
59639.738218	-9.6808666091e-15	1	2e-17	2.52485e-18
59639.738229	-7.4811508442e-15	1	2e-17	2.52485e-18
59639.738241	-9.1249698973e-15	1	2e-17	2.52485e-18
59639.738252	-9.1703750984e-15	1	2e-17	2.52485e-18
59639.738264	-1.0215277483e-14	1	2e-17	2.52485e-18
59639.738275	-7.8335919362e-15	1	2e-17	2.52485e-18
59639.738310	-1.0124676298e-14	1	2e-17	2.52485e-18
59639.738322	-5.8113651491e-15	1	2e-17	2.52485e-18
59639.738333	-5.0433730814e-15	1	2e-17	2.52485e-18
59639.738345	-7.8789090459e-15	1	2e-17	2.52485e-18
59639.738356	-1.1525053847e-14	1	2e-17	2.52485e-18
59639.738368	-8.9290875990e-15	1	2e-17	2.52485e-18
59639.738380	-9.9608575850e-15	1	2e-17	2.52485e-18
59639.738391	-8.5706884772e-15	1	2e-17	2.52485e-18
59639.738403	-9.6784203780e-15	1	2e-17	2.52485e-18
59639.738414	-1.0305798200e-14	1	2e-17	2.52485e-18
59639.738426	-8.0459744363e-15	1	2e-17	2.52485e-18
59639.738437	-6.9659091727e-15	1	2e-17	2.52485e-18
59639.738449	-5.8841642428e-15	1	2e-17	2.52485e-18
59639.738461	-1.0336930896e-14	1	2e-17	2.52485e-18
59639.738472	-8.9818077766e-15	1	2e-17	2.52485e-18
59639.738484	-8.1903842364e-15	1	2e-17	2.52485e-18
59639.738495	-9.2181070990e-15	1	2e-17	2.52485e-18
59639.738507	-7.3621969252e-15	1	2e-17	2.52485e-18
59639.738519	-8.4107381636e-15	1	2e-17	2.52485e-18
59639.738530	-7.5835046115e-15	1	2e-17	2.52485e-18
59639.738542	-1.0293564503e-14	1	2e-17	2.52485e-18
59639.738553	-7.7675716472e-15	1	2e-17	2.52485e-18
59639.738565	-7.1240934227e-15	1	2e-17	2.52485e-18
59639.738576	-1.1910425886e-14	1	2e-17	2.52485e-18
59639.738588	-7.2488376589e-15	1	2e-17	2.52485e-18
59639.738600	-1.1624245640e-14	1	2e-17	2.52485e-18
59639.738634	-7.4766048184e-15	1	2e-17	2.52485e-18
59639.738646	-8.9800569595e-15	1	2e-17	2.52485e-18
59639.738657	-7.7102673272e-15	1	2e-17	2.52485e-18
59639.738669	-8.9299507255e-15	1	2e-17	2.52485e-18
59639.738681	-9.1291178176e-15	1	2e-17	2.52485e-18
59639.738692	-6.5727461248e-15	1	2e-17	2.52485e-18
59639.738704	-6.0120272543e-15	1	2e-17	2.52485e-18
59639.738715	-8.2720365185e-15	1	2e-17	2.52485e-18
59639.738727	-6.7609703982e-15	1	2e-17	2.52485e-18
59639.738738	-8.5283165011e-15	1	2e-17	2.52485e-18
59639.738750	-7.1071874921e-15	1	2e-17	2.52485e-18
59639.738785	-8.0750649358e-15	1	2e-17	2.52485e-18
59639.738819	-6.5452073896e-15	1	2e-17	2.52485e-18
59639.738831	-6.2422923140e-15	1	2e-17	2.52485e-18
59639.738843	-8.1202016275e-15	1	2e-17	2.52485e-18
59639.738854	-7.6276748386e-15	1	2e-17	2.52485e-18
59639.738866	-7.3799609002e-15	1	2e-17	2.52485e-18
59639.738877	-9.1981967426e-15	1	2e-17	2.52485e-18
59639.738889	-6.2875746954e-15	1	2e-17	2.52485e-18
59639.738900	-7.7739286295e-15	1	2e-17	2.52485e-18
59639.738912	-8.2566357654e-15	1	2e-17	2.52485e-18
59639.738924	-8.0183967376e-15	1	2e-17	2.52485e-18
59639.738935	-9.1367029976e-15	1	2e-17	2.52485e-18
59639.738947	-1.0894747832e-14	1	2e-17	2.52485e-18
59639.738981	-1.0612737529e-14	1	2e-17	2.52485e-18
59639.738993	-1.0684648932e-14	1	2e-17	2.52485e-18
59639.739005	-8.0285221695e-15	1	2e-17	2.52485e-18
59639.739016	-9.6053459986e-15	1	2e-17	2.52485e-18
59639.739028	-9.9118541879e-15	1	2e-17	2.52485e-18
59639.739039	-5.7214322730e-15	1	2e-17	2.52485e-18
59639.739051	-4.5803814843e-15	1	2e-17	2.52485e-18
59639.739062	-6.4709403878e-15	1	2e-17	2.52485e-18
59639.739074	-9.8705299915e-15	1	2e-17	2.52485e-18
