# Data for PTB_Sr3_CombKnoten-SYRTE_Sr2 
# File generated on: 2025-01-20T17:04:07+01:00
# With the script: 06-procclocks-v3.py 
# 
# t           	ΔA→B             	flag	uA_sys 	uB_sys    
59639.000023	-5.7347323843e-15	1	1.7e-17	2.8888600000000004e-18
59639.000035	-7.0667272693e-15	1	1.7e-17	2.8888300000000004e-18
59639.000046	-6.6878951717e-15	1	1.7e-17	2.8888e-18
59639.000058	-6.7025420655e-15	1	1.7e-17	2.8887700000000004e-18
59639.000069	-4.8389958896e-15	1	1.7e-17	2.8887400000000004e-18
59639.000081	-4.4693007365e-15	1	1.7e-17	2.8887100000000004e-18
59639.000093	-4.9178114584e-15	1	1.7e-17	2.8886800000000004e-18
59639.000104	-5.4670987721e-15	1	1.7e-17	2.8886400000000003e-18
59639.000116	-4.4073851692e-15	1	1.7e-17	2.8886100000000003e-18
59639.000127	-6.3326283778e-15	1	1.7e-17	2.8885800000000003e-18
59639.000139	-4.5076899638e-15	1	1.7e-17	2.8885500000000003e-18
59639.000150	-3.7265222985e-15	1	1.7e-17	2.8885200000000003e-18
59639.000162	-6.1975918443e-15	1	1.7e-17	2.8884900000000003e-18
59639.000174	-5.8345221829e-15	1	1.7e-17	2.8884600000000003e-18
59639.000185	-7.4378259560e-15	1	1.7e-17	2.8884300000000004e-18
59639.000197	-6.4989399089e-15	1	1.7e-17	2.8884e-18
59639.000208	-6.8778592508e-15	1	1.7e-17	2.8883700000000004e-18
59639.000220	-6.8521026730e-15	1	1.7e-17	2.8883400000000004e-18
59639.000231	-7.2110955648e-15	1	1.7e-17	2.8883100000000004e-18
59639.000243	-7.6799223719e-15	1	1.7e-17	2.8882800000000004e-18
59639.000255	-4.5983233361e-15	1	1.7e-17	2.8882500000000004e-18
59639.000266	-3.5059786359e-15	1	1.7e-17	2.8882200000000004e-18
59639.000278	-6.2782649563e-15	1	1.7e-17	2.8881900000000004e-18
59639.000289	-4.1375120018e-15	1	1.7e-17	2.8881600000000004e-18
59639.000301	-5.6148958570e-15	1	1.7e-17	2.8881200000000003e-18
59639.000313	-5.1283474266e-15	1	1.7e-17	2.8880900000000003e-18
59639.000324	-6.6897145985e-15	1	1.7e-17	2.8880500000000002e-18
59639.000336	-6.2700809239e-15	1	1.7e-17	2.8880200000000002e-18
59639.000347	-6.1446378855e-15	1	1.7e-17	2.8879900000000002e-18
59639.000359	-6.1395506056e-15	1	1.7e-17	2.88795e-18
59639.000370	-5.8380204290e-15	1	1.7e-17	2.88792e-18
59639.000382	-5.9023500402e-15	1	1.7e-17	2.88789e-18
59639.000394	-6.1898669038e-15	1	1.7e-17	2.8878500000000004e-18
59639.000405	-6.6526162495e-15	1	1.7e-17	2.8878200000000004e-18
59639.000417	-6.7952405042e-15	1	1.7e-17	2.8877900000000004e-18
59639.000428	-4.2789580337e-15	1	1.7e-17	2.8877500000000003e-18
59639.000440	-6.3584747412e-15	1	1.7e-17	2.8877200000000003e-18
59639.000451	-5.3206950564e-15	1	1.7e-17	2.88768e-18
59639.000463	-6.9530986464e-15	1	1.7e-17	2.88765e-18
59639.000475	-5.9571064851e-15	1	1.7e-17	2.8876200000000002e-18
59639.000486	-6.5979716130e-15	1	1.7e-17	2.88758e-18
59639.000498	-4.5974856206e-15	1	1.7e-17	2.88755e-18
59639.000509	-6.0488274478e-15	1	1.7e-17	2.88752e-18
59639.000521	-6.0528161259e-15	1	1.7e-17	2.8874800000000004e-18
