# Data for PTB_Yb_CombKnoten-INRIM_ITYb1 
# File generated on: 2025-01-20T17:02:58+01:00
# With the script: 06-procclocks-v3.py 
# 
# t           	ΔA→B            	flag	uA_sys 	uB_sys 
59639.000023	2.8941311628e-15	1	2e-17	2.7e-18
59639.000035	2.8311432517e-15	1	2e-17	2.7e-18
59639.000046	2.8179651131e-15	1	2e-17	2.7e-18
59639.000058	1.2426778018e-15	1	2e-17	2.7e-18
59639.000069	-9.0749924123e-16	1	2e-17	2.7e-18
59639.000081	-9.8569478182e-16	1	2e-17	2.7e-18
59639.000093	-1.1050154661e-15	1	2e-17	2.7e-18
59639.000104	1.2537866389e-16	1	2e-17	2.7e-18
59639.000116	2.8677003467e-15	1	2e-17	2.7e-18
59639.000127	4.5118692243e-15	1	2e-17	2.7e-18
59639.000139	1.7876545649e-16	1	2e-17	2.7e-18
59639.000150	1.9751114264e-16	1	2e-17	2.7e-18
59639.000162	2.5126215941e-16	1	2e-17	2.7e-18
59639.000174	1.3134355460e-15	1	2e-17	2.7e-18
59639.000185	3.0379734508e-15	1	2e-17	2.7e-18
59639.000197	1.2214215099e-17	1	2e-17	2.7e-18
59639.000208	-1.3560065749e-15	1	2e-17	2.7e-18
59639.000220	-1.2628583617e-15	1	2e-17	2.7e-18
59639.000231	4.7530406802e-17	1	2e-17	2.7e-18
59639.000243	8.9743310168e-16	1	2e-17	2.7e-18
59639.000255	1.7137204470e-15	1	2e-17	2.7e-18
59639.000266	7.9840309169e-16	1	2e-17	2.7e-18
59639.000278	-1.4899656826e-15	1	2e-17	2.7e-18
59639.000289	3.3568593326e-16	1	2e-17	2.7e-18
59639.000301	1.3267415866e-16	1	2e-17	2.7e-18
59639.000313	8.7445309782e-16	1	2e-17	2.7e-18
59639.000324	-8.3926311403e-16	1	2e-17	2.7e-18
59639.000336	-1.9073911423e-15	1	2e-17	2.7e-18
59639.000347	1.3302432208e-15	1	2e-17	2.7e-18
59639.000359	1.2185754792e-15	1	2e-17	2.7e-18
59639.000370	1.0239637304e-15	1	2e-17	2.7e-18
59639.000382	-1.7574324293e-16	1	2e-17	2.7e-18
59639.000394	9.0063827435e-16	1	2e-17	2.7e-18
59639.000405	1.6967755529e-15	1	2e-17	2.7e-18
59639.000417	6.3858660926e-16	1	2e-17	2.7e-18
59639.000428	3.0051094195e-15	1	2e-17	2.7e-18
59639.000440	3.0273669043e-15	1	2e-17	2.7e-18
59639.000451	1.4068446454e-15	1	2e-17	2.7e-18
59639.000463	-1.7724672641e-16	1	2e-17	2.7e-18
59639.000475	-6.6373162934e-16	1	2e-17	2.7e-18
59639.000486	-1.1985922779e-15	1	2e-17	2.7e-18
59639.000498	1.1069026555e-16	1	2e-17	2.7e-18
59639.000509	2.1050191755e-15	1	2e-17	2.7e-18
59639.000521	1.4749418592e-15	1	2e-17	2.7e-18
59639.000532	-1.8708586113e-16	1	2e-17	2.7e-18
59639.000544	1.7960859308e-15	1	2e-17	2.7e-18
59639.000556	4.9818073386e-16	1	2e-17	2.7e-18
59639.000567	1.9804274052e-15	1	2e-17	2.7e-18
59639.000579	2.4357347194e-15	1	2e-17	2.7e-18
59639.000590	-9.7648583962e-16	1	2e-17	2.7e-18
59639.000602	-1.6927089477e-15	1	2e-17	2.7e-18
59639.000613	1.3420805062e-15	1	2e-17	2.7e-18
59639.000625	1.7117019675e-15	1	2e-17	2.7e-18
59639.000637	2.0133253178e-15	1	2e-17	2.7e-18
59639.000648	8.6048467749e-16	1	2e-17	2.7e-18
59639.000660	-1.1556443194e-15	1	2e-17	2.7e-18
59639.000671	7.0821017643e-16	1	2e-17	2.7e-18
59639.000683	2.2805489661e-15	1	2e-17	2.7e-18
59639.000694	1.0276932164e-15	1	2e-17	2.7e-18
59639.000706	7.5667486057e-16	1	2e-17	2.7e-18
59639.000718	-2.6046957695e-15	1	2e-17	2.7e-18
59639.000729	-1.2287220869e-15	1	2e-17	2.7e-18
59639.000741	8.7002142144e-17	1	2e-17	2.7e-18
59639.000752	-6.6325813792e-16	1	2e-17	2.7e-18
59639.000764	-9.5552600934e-16	1	2e-17	2.7e-18
59639.000775	-2.2268657120e-15	1	2e-17	2.7e-18
59639.000787	-6.9248416273e-16	1	2e-17	2.7e-18
59639.000799	2.1251870299e-15	1	2e-17	2.7e-18
59639.000810	9.2228335429e-17	1	2e-17	2.7e-18
59639.000822	1.7676222356e-16	1	2e-17	2.7e-18
59639.000833	-1.8841629578e-15	1	2e-17	2.7e-18
59639.000845	3.5218613507e-16	1	2e-17	2.7e-18
59639.000856	-6.1441483005e-16	1	2e-17	2.7e-18
59639.000868	4.0635897425e-16	1	2e-17	2.7e-18
59639.000880	-5.1293774187e-17	1	2e-17	2.7e-18
59639.000891	-1.5815206268e-16	1	2e-17	2.7e-18
59639.000903	-4.5115600573e-16	1	2e-17	2.7e-18
59639.000961	9.1022160512e-16	1	2e-17	2.7e-18
59639.000972	-5.4115918561e-16	1	2e-17	2.7e-18
59639.000984	-1.4218422108e-15	1	2e-17	2.7e-18
59639.000995	-2.1071503104e-15	1	2e-17	2.7e-18
59639.001007	8.8408979166e-16	1	2e-17	2.7e-18
59639.001019	-1.2084322597e-15	1	2e-17	2.7e-18
59639.001030	-1.1424492401e-15	1	2e-17	2.7e-18
59639.001042	3.0433809092e-16	1	2e-17	2.7e-18
59639.001053	-4.5956111366e-16	1	2e-17	2.7e-18
59639.001065	4.4957036005e-16	1	2e-17	2.7e-18
59639.001076	-1.6028912681e-16	1	2e-17	2.7e-18
59639.001134	3.9839313760e-15	1	2e-17	2.7e-18
59639.001146	1.3665885575e-15	1	2e-17	2.7e-18
59639.001157	3.5125355180e-16	1	2e-17	2.7e-18
59639.001169	6.7300155791e-16	1	2e-17	2.7e-18
59639.001181	1.3824628020e-15	1	2e-17	2.7e-18
59639.001192	9.2370636964e-16	1	2e-17	2.7e-18
59639.001204	9.1234426969e-16	1	2e-17	2.7e-18
59639.001215	1.2886869374e-15	1	2e-17	2.7e-18
59639.001227	2.4517961581e-16	1	2e-17	2.7e-18
59639.001238	5.4320053501e-16	1	2e-17	2.7e-18
59639.001250	6.6719091189e-16	1	2e-17	2.7e-18
59639.001262	7.5751172912e-16	1	2e-17	2.7e-18
59639.001273	1.3440176706e-15	1	2e-17	2.7e-18
59639.001285	1.9542286761e-15	1	2e-17	2.7e-18
59639.001296	-1.5466135520e-15	1	2e-17	2.7e-18
59639.001308	1.3685452036e-15	1	2e-17	2.7e-18
59639.001319	2.3595856104e-15	1	2e-17	2.7e-18
59639.001331	-1.6950653934e-16	1	2e-17	2.7e-18
59639.001343	1.2897296349e-15	1	2e-17	2.7e-18
59639.001354	-7.8178091713e-16	1	2e-17	2.7e-18
59639.001366	7.1100792625e-17	1	2e-17	2.7e-18
59639.001377	6.3819528004e-16	1	2e-17	2.7e-18
59639.001389	-7.2732771005e-16	1	2e-17	2.7e-18
59639.001400	7.1432321321e-16	1	2e-17	2.7e-18
59639.001412	1.1303993494e-15	1	2e-17	2.7e-18
59639.001424	2.1836890545e-15	1	2e-17	2.7e-18
59639.001435	7.0782816457e-16	1	2e-17	2.7e-18
59639.001470	5.4703590019e-16	1	2e-17	2.7e-18
59639.001481	-9.0642689752e-17	1	2e-17	2.7e-18
59639.001493	-7.5202380266e-16	1	2e-17	2.7e-18
59639.001505	6.2017126596e-16	1	2e-17	2.7e-18
59639.001516	3.0877739059e-17	1	2e-17	2.7e-18
59639.001528	1.9765429121e-15	1	2e-17	2.7e-18
59639.001539	8.6936073574e-16	1	2e-17	2.7e-18
59639.001551	2.1652643938e-15	1	2e-17	2.7e-18
59639.001563	-6.0346354107e-16	1	2e-17	2.7e-18
59639.001574	-2.2059897379e-15	1	2e-17	2.7e-18
59639.001586	2.1263000312e-15	1	2e-17	2.7e-18
59639.001597	1.6723682985e-15	1	2e-17	2.7e-18
59639.001609	3.0404908327e-15	1	2e-17	2.7e-18
59639.001620	1.2085965841e-15	1	2e-17	2.7e-18
59639.001632	7.7900857829e-16	1	2e-17	2.7e-18
59639.001644	5.6701232522e-16	1	2e-17	2.7e-18
59639.001655	1.1543907106e-15	1	2e-17	2.7e-18
59639.001667	7.5551103730e-16	1	2e-17	2.7e-18
59639.001678	-2.2113302807e-15	1	2e-17	2.7e-18
59639.001690	-1.2394387478e-15	1	2e-17	2.7e-18
59639.001701	-7.1861767025e-16	1	2e-17	2.7e-18
59639.001713	5.1642751761e-16	1	2e-17	2.7e-18
59639.001725	1.4710649894e-15	1	2e-17	2.7e-18
59639.001736	5.1122165312e-16	1	2e-17	2.7e-18
59639.001748	-1.1790681685e-15	1	2e-17	2.7e-18
59639.001759	1.6295126666e-15	1	2e-17	2.7e-18
59639.001771	1.8408939737e-15	1	2e-17	2.7e-18
59639.001782	2.7754804816e-15	1	2e-17	2.7e-18
59639.001794	-1.2099950355e-16	1	2e-17	2.7e-18
59639.001806	2.8743808955e-15	1	2e-17	2.7e-18
59639.001817	1.0041643352e-15	1	2e-17	2.7e-18
59639.001829	-6.5412712275e-16	1	2e-17	2.7e-18
59639.001840	-1.3606932082e-15	1	2e-17	2.7e-18
59639.001852	4.2571960632e-16	1	2e-17	2.7e-18
59639.001863	2.3369478078e-15	1	2e-17	2.7e-18
59639.001875	6.1534656629e-16	1	2e-17	2.7e-18
59639.001887	7.4903208229e-16	1	2e-17	2.7e-18
59639.001898	-9.5285446742e-16	1	2e-17	2.7e-18
59639.001910	-1.2133721558e-15	1	2e-17	2.7e-18
59639.001921	-1.8690324082e-15	1	2e-17	2.7e-18
59639.001933	-3.0021388750e-16	1	2e-17	2.7e-18
59639.001944	-1.5473682584e-16	1	2e-17	2.7e-18
59639.001956	2.0713343692e-17	1	2e-17	2.7e-18
59639.001968	4.5683620867e-16	1	2e-17	2.7e-18
59639.001979	-8.7310631544e-16	1	2e-17	2.7e-18
59639.001991	9.6616728425e-16	1	2e-17	2.7e-18
59639.002002	6.6056542018e-16	1	2e-17	2.7e-18
59639.002014	1.8994205622e-15	1	2e-17	2.7e-18
59639.002025	2.0584476100e-15	1	2e-17	2.7e-18
59639.002037	1.1833651667e-15	1	2e-17	2.7e-18
59639.002049	-1.5938618968e-17	1	2e-17	2.7e-18
59639.002060	1.5983918291e-15	1	2e-17	2.7e-18
59639.002072	2.7840109504e-16	1	2e-17	2.7e-18
59639.002083	-3.9112839012e-15	1	2e-17	2.7e-18
59639.002095	-4.9179622302e-15	1	2e-17	2.7e-18
59639.002106	-2.8553743232e-15	1	2e-17	2.7e-18
59639.002118	-1.4390276622e-15	1	2e-17	2.7e-18
59639.002130	2.6254438416e-15	1	2e-17	2.7e-18
59639.002141	1.2599445684e-15	1	2e-17	2.7e-18
59639.002153	8.5775469030e-16	1	2e-17	2.7e-18
59639.002164	1.4488430800e-15	1	2e-17	2.7e-18
59639.002176	-1.2128893471e-15	1	2e-17	2.7e-18
59639.002187	8.7312579719e-16	1	2e-17	2.7e-18
59639.002199	7.9109065625e-16	1	2e-17	2.7e-18
59639.002211	-2.4706299357e-15	1	2e-17	2.7e-18
59639.002222	-1.7173762412e-16	1	2e-17	2.7e-18
59639.002234	-6.7603732399e-16	1	2e-17	2.7e-18
59639.002245	1.3492447109e-15	1	2e-17	2.7e-18
59639.002257	-8.6992147156e-16	1	2e-17	2.7e-18
59639.002269	-2.3392424201e-15	1	2e-17	2.7e-18
59639.002280	-1.4939204794e-15	1	2e-17	2.7e-18
59639.002292	-1.8363631945e-15	1	2e-17	2.7e-18
59639.002303	-2.2093990456e-15	1	2e-17	2.7e-18
59639.002315	-2.3349293283e-15	1	2e-17	2.7e-18
59639.002326	-2.6453601272e-16	1	2e-17	2.7e-18
59639.002338	2.7162847370e-15	1	2e-17	2.7e-18
59639.002350	1.2267273243e-15	1	2e-17	2.7e-18
59639.002361	2.1556065242e-15	1	2e-17	2.7e-18
59639.002373	9.2311852877e-16	1	2e-17	2.7e-18
59639.002384	-1.1286773314e-15	1	2e-17	2.7e-18
59639.002396	2.2608834022e-15	1	2e-17	2.7e-18
59639.002407	5.4228997459e-16	1	2e-17	2.7e-18
59639.002419	-6.5718914685e-16	1	2e-17	2.7e-18
59639.002431	-6.9275944844e-16	1	2e-17	2.7e-18
59639.002442	-2.1881402126e-17	1	2e-17	2.7e-18
59639.002454	8.1080788920e-16	1	2e-17	2.7e-18
59639.002465	7.3523052745e-16	1	2e-17	2.7e-18
59639.002477	7.6693242956e-16	1	2e-17	2.7e-18
59639.002488	-3.4856506922e-16	1	2e-17	2.7e-18
59639.002500	-2.2015724611e-15	1	2e-17	2.7e-18
59639.002512	-2.4351663603e-15	1	2e-17	2.7e-18
59639.002523	-1.2225378994e-15	1	2e-17	2.7e-18
59639.002535	-4.3652097047e-16	1	2e-17	2.7e-18
59639.002546	-1.4336786492e-15	1	2e-17	2.7e-18
59639.002558	2.2900721575e-16	1	2e-17	2.7e-18
59639.002569	-1.1479964589e-15	1	2e-17	2.7e-18
59639.002581	-3.2641769875e-15	1	2e-17	2.7e-18
59639.002593	-2.0448222380e-15	1	2e-17	2.7e-18
59639.002604	-1.0645594784e-15	1	2e-17	2.7e-18
59639.002616	-2.4682048804e-15	1	2e-17	2.7e-18
59639.002627	-2.5763421886e-15	1	2e-17	2.7e-18
59639.002639	-5.0737951167e-15	1	2e-17	2.7e-18
59639.002650	9.0782026671e-16	1	2e-17	2.7e-18
59639.002662	2.2774954123e-15	1	2e-17	2.7e-18
59639.002674	-1.7465819372e-18	1	2e-17	2.7e-18
59639.002685	1.0144786554e-15	1	2e-17	2.7e-18
59639.002697	2.0722982927e-15	1	2e-17	2.7e-18
59639.002708	1.2218374031e-15	1	2e-17	2.7e-18
59639.002720	-2.5119033101e-15	1	2e-17	2.7e-18
59639.002731	-6.4702881724e-15	1	2e-17	2.7e-18
59639.002743	-4.8911138269e-15	1	2e-17	2.7e-18
59639.002755	-9.3399443182e-16	1	2e-17	2.7e-18
59639.002766	2.7921594073e-17	1	2e-17	2.7e-18
59639.002778	9.4267397843e-16	1	2e-17	2.7e-18
59639.002789	4.0851721420e-16	1	2e-17	2.7e-18
59639.002801	2.7155562887e-15	1	2e-17	2.7e-18
59639.002812	1.2251349024e-15	1	2e-17	2.7e-18
59639.002824	1.7453537395e-16	1	2e-17	2.7e-18
59639.002836	2.2309509519e-15	1	2e-17	2.7e-18
59639.002847	4.0065928955e-16	1	2e-17	2.7e-18
59639.002859	6.0433259688e-17	1	2e-17	2.7e-18
59639.002870	-2.0846243162e-15	1	2e-17	2.7e-18
59639.002882	2.0671923781e-16	1	2e-17	2.7e-18
59639.002894	1.9777084294e-15	1	2e-17	2.7e-18
59639.002905	-4.8258770434e-16	1	2e-17	2.7e-18
59639.002917	-3.7345597941e-16	1	2e-17	2.7e-18
