# Data for PTB_Yb_CombKnoten-SYRTE_Sr2 
# File generated on: 2025-01-20T17:03:35+01:00
# With the script: 06-procclocks-v3.py 
# 
# t           	ΔA→B             	flag	uA_sys 	uB_sys 
59639.000023	-5.6989977584e-15	1	1.7e-17	2.7e-18
59639.000035	-7.0368363236e-15	1	1.7e-17	2.7e-18
59639.000046	-6.6287494021e-15	1	1.7e-17	2.7e-18
59639.000058	-6.6396058234e-15	1	1.7e-17	2.7e-18
59639.000069	-4.7311465726e-15	1	1.7e-17	2.7e-18
59639.000081	-4.3412395193e-15	1	1.7e-17	2.7e-18
59639.000093	-4.7898281682e-15	1	1.7e-17	2.7e-18
59639.000104	-5.3620531341e-15	1	1.7e-17	2.7e-18
59639.000116	-4.2474467140e-15	1	1.7e-17	2.7e-18
59639.000127	-6.1047892205e-15	1	1.7e-17	2.7e-18
59639.000139	-4.2818769092e-15	1	1.7e-17	2.7e-18
59639.000150	-3.5153180212e-15	1	1.7e-17	2.7e-18
59639.000162	-6.0083740012e-15	1	1.7e-17	2.7e-18
59639.000174	-5.7023723376e-15	1	1.7e-17	2.7e-18
59639.000185	-7.3301350341e-15	1	1.7e-17	2.7e-18
59639.000197	-6.3773296946e-15	1	1.7e-17	2.7e-18
59639.000208	-6.7490738204e-15	1	1.7e-17	2.7e-18
59639.000220	-6.7377506840e-15	1	1.7e-17	2.7e-18
59639.000231	-7.0608802008e-15	1	1.7e-17	2.7e-18
59639.000243	-7.5130602694e-15	1	1.7e-17	2.7e-18
59639.000255	-4.4625575072e-15	1	1.7e-17	2.7e-18
59639.000266	-3.3585195172e-15	1	1.7e-17	2.7e-18
59639.000278	-6.1389653059e-15	1	1.7e-17	2.7e-18
59639.000289	-4.1054806039e-15	1	1.7e-17	2.7e-18
59639.000301	-5.5817006358e-15	1	1.7e-17	2.7e-18
59639.000313	-5.0769841957e-15	1	1.7e-17	2.7e-18
59639.000324	-6.6538554587e-15	1	1.7e-17	2.7e-18
59639.000336	-6.2545819151e-15	1	1.7e-17	2.7e-18
59639.000347	-6.1173388607e-15	1	1.7e-17	2.7e-18
59639.000359	-6.1085314121e-15	1	1.7e-17	2.7e-18
59639.000370	-5.8275892182e-15	1	1.7e-17	2.7e-18
59639.000382	-5.8879106695e-15	1	1.7e-17	2.7e-18
59639.000394	-6.1543982462e-15	1	1.7e-17	2.7e-18
59639.000405	-6.5341281986e-15	1	1.7e-17	2.7e-18
59639.000417	-6.6620623609e-15	1	1.7e-17	2.7e-18
59639.000428	-4.1152036951e-15	1	1.7e-17	2.7e-18
59639.000440	-6.1974054970e-15	1	1.7e-17	2.7e-18
59639.000451	-5.1939662220e-15	1	1.7e-17	2.7e-18
59639.000463	-6.8022810420e-15	1	1.7e-17	2.7e-18
59639.000475	-5.7883156886e-15	1	1.7e-17	2.7e-18
59639.000486	-6.4637787242e-15	1	1.7e-17	2.7e-18
59639.000498	-4.4920122309e-15	1	1.7e-17	2.7e-18
59639.000509	-5.9842996308e-15	1	1.7e-17	2.7e-18
59639.000521	-6.0018857289e-15	1	1.7e-17	2.7e-18
59639.000532	-4.4714945519e-15	1	1.7e-17	2.7e-18
59639.000544	-3.5196438185e-15	1	1.7e-17	2.7e-18
59639.000556	-4.1898959074e-15	1	1.7e-17	2.7e-18
59639.000567	-3.5476763739e-15	1	1.7e-17	2.7e-18
59639.000579	-4.9835606968e-15	1	1.7e-17	2.7e-18
59639.000590	-8.0841239532e-15	1	1.7e-17	2.7e-18
59639.000602	-6.3923306481e-15	1	1.7e-17	2.7e-18
59639.000613	-5.2883350097e-15	1	1.7e-17	2.7e-18
59639.000625	-4.7313261436e-15	1	1.7e-17	2.7e-18
59639.000637	-6.0962773864e-15	1	1.7e-17	2.7e-18
59639.000648	-6.4755838224e-15	1	1.7e-17	2.7e-18
59639.000660	-7.7787880575e-15	1	1.7e-17	2.7e-18
59639.000671	-5.7544953571e-15	1	1.7e-17	2.7e-18
59639.000683	-7.0835374851e-15	1	1.7e-17	2.7e-18
59639.000694	-6.5159483305e-15	1	1.7e-17	2.7e-18
59639.000706	-6.4511706388e-15	1	1.7e-17	2.7e-18
59639.000718	-7.7072925475e-15	1	1.7e-17	2.7e-18
59639.000729	-1.0457040168e-14	1	1.7e-17	2.7e-18
59639.000741	-8.8407022520e-15	1	1.7e-17	2.7e-18
59639.000752	-8.7301763109e-15	1	1.7e-17	2.7e-18
59639.000764	-7.9813890211e-15	1	1.7e-17	2.7e-18
59639.000775	-7.1893632405e-15	1	1.7e-17	2.7e-18
59639.000787	-6.6862951265e-15	1	1.7e-17	2.7e-18
59639.000799	-4.8994952179e-15	1	1.7e-17	2.7e-18
59639.000810	-4.5288056481e-15	1	1.7e-17	2.7e-18
59639.000822	-7.0016624334e-15	1	1.7e-17	2.7e-18
59639.000833	-5.8997403317e-15	1	1.7e-17	2.7e-18
59639.000845	-6.2597632156e-15	1	1.7e-17	2.7e-18
59639.000856	-6.6953990366e-15	1	1.7e-17	2.7e-18
59639.000868	-7.3004744814e-15	1	1.7e-17	2.7e-18
59639.000880	-5.9962571949e-15	1	1.7e-17	2.7e-18
59639.000891	-5.0481774522e-15	1	1.7e-17	2.7e-18
59639.000903	-5.0163662829e-15	1	1.7e-17	2.7e-18
59639.000961	-4.5905128453e-15	1	1.7e-17	2.7e-18
59639.000972	-3.6697151868e-15	1	1.7e-17	2.7e-18
59639.000984	-5.2672709944e-15	1	1.7e-17	2.7e-18
59639.000995	-5.4879933809e-15	1	1.7e-17	2.7e-18
59639.001007	-6.6119036109e-15	1	1.7e-17	2.7e-18
59639.001019	-7.2535378447e-15	1	1.7e-17	2.7e-18
59639.001030	-7.2193295721e-15	1	1.7e-17	2.7e-18
59639.001042	-6.7193649868e-15	1	1.7e-17	2.7e-18
59639.001053	-7.6921043997e-15	1	1.7e-17	2.7e-18
59639.001065	-6.5885974993e-15	1	1.7e-17	2.7e-18
59639.001076	-6.3490786047e-15	1	1.7e-17	2.7e-18
59639.001134	-4.8797127634e-15	1	1.7e-17	2.7e-18
59639.001146	-5.0950700432e-15	1	1.7e-17	2.7e-18
59639.001157	-6.5021831981e-15	1	1.7e-17	2.7e-18
59639.001169	-5.9633652115e-15	1	1.7e-17	2.7e-18
59639.001181	-5.9507495028e-15	1	1.7e-17	2.7e-18
59639.001192	-7.5396706565e-15	1	1.7e-17	2.7e-18
59639.001204	-6.6763662063e-15	1	1.7e-17	2.7e-18
59639.001215	-5.7921730766e-15	1	1.7e-17	2.7e-18
59639.001227	-6.1026148870e-15	1	1.7e-17	2.7e-18
59639.001238	-5.2074221874e-15	1	1.7e-17	2.7e-18
59639.001250	-6.1502892894e-15	1	1.7e-17	2.7e-18
59639.001262	-7.0501178002e-15	1	1.7e-17	2.7e-18
59639.001273	-7.1583127067e-15	1	1.7e-17	2.7e-18
59639.001285	-6.7507077470e-15	1	1.7e-17	2.7e-18
59639.001296	-5.0898997541e-15	1	1.7e-17	2.7e-18
59639.001308	-5.2669660625e-15	1	1.7e-17	2.7e-18
59639.001319	-4.1619192562e-15	1	1.7e-17	2.7e-18
59639.001331	-5.3438487020e-15	1	1.7e-17	2.7e-18
59639.001343	-5.5462717887e-15	1	1.7e-17	2.7e-18
59639.001354	-5.3927945009e-15	1	1.7e-17	2.7e-18
59639.001366	-4.7556088841e-15	1	1.7e-17	2.7e-18
59639.001377	-5.4713669711e-15	1	1.7e-17	2.7e-18
59639.001389	-4.8528499605e-15	1	1.7e-17	2.7e-18
59639.001400	-4.3029561712e-15	1	1.7e-17	2.7e-18
59639.001412	-5.2231626007e-15	1	1.7e-17	2.7e-18
59639.001424	-5.8612545427e-15	1	1.7e-17	2.7e-18
59639.001435	-5.4762983970e-15	1	1.7e-17	2.7e-18
59639.001470	-6.8801919796e-15	1	1.7e-17	2.7e-18
59639.001481	-5.8048141963e-15	1	1.7e-17	2.7e-18
59639.001493	-6.6122407300e-15	1	1.7e-17	2.7e-18
59639.001505	-7.2892208017e-15	1	1.7e-17	2.7e-18
59639.001516	-8.5662949173e-15	1	1.7e-17	2.7e-18
59639.001528	-8.3367100251e-15	1	1.7e-17	2.7e-18
59639.001539	-4.5898724884e-15	1	1.7e-17	2.7e-18
59639.001551	-3.9316457262e-15	1	1.7e-17	2.7e-18
59639.001563	-5.5168788984e-15	1	1.7e-17	2.7e-18
59639.001574	-3.4343882583e-15	1	1.7e-17	2.7e-18
59639.001586	-4.6237741351e-15	1	1.7e-17	2.7e-18
59639.001597	-3.0838606137e-15	1	1.7e-17	2.7e-18
59639.001609	-5.0894186394e-15	1	1.7e-17	2.7e-18
59639.001620	-5.1470338205e-15	1	1.7e-17	2.7e-18
59639.001632	-6.0005016770e-15	1	1.7e-17	2.7e-18
59639.001644	-3.4578002489e-15	1	1.7e-17	2.7e-18
59639.001655	-4.5525988036e-15	1	1.7e-17	2.7e-18
59639.001667	-5.6444776357e-15	1	1.7e-17	2.7e-18
59639.001678	-4.5235752196e-15	1	1.7e-17	2.7e-18
59639.001690	-5.6771646371e-15	1	1.7e-17	2.7e-18
59639.001701	-5.5702597618e-15	1	1.7e-17	2.7e-18
59639.001713	-6.2938884790e-15	1	1.7e-17	2.7e-18
59639.001725	-8.0799972087e-15	1	1.7e-17	2.7e-18
59639.001736	-6.0843435392e-15	1	1.7e-17	2.7e-18
59639.001748	-7.4914778699e-15	1	1.7e-17	2.7e-18
59639.001759	-6.8530106923e-15	1	1.7e-17	2.7e-18
59639.001771	-6.7271348201e-15	1	1.7e-17	2.7e-18
59639.001782	-7.4063392002e-15	1	1.7e-17	2.7e-18
59639.001794	-5.9756285545e-15	1	1.7e-17	2.7e-18
59639.001806	-6.1465987668e-15	1	1.7e-17	2.7e-18
59639.001817	-3.6360015815e-15	1	1.7e-17	2.7e-18
59639.001829	-5.8951138377e-15	1	1.7e-17	2.7e-18
59639.001840	-5.2215811902e-15	1	1.7e-17	2.7e-18
59639.001852	-5.9089941666e-15	1	1.7e-17	2.7e-18
59639.001863	-5.9710232364e-15	1	1.7e-17	2.7e-18
59639.001875	-5.6731742649e-15	1	1.7e-17	2.7e-18
59639.001887	-4.7655750738e-15	1	1.7e-17	2.7e-18
59639.001898	-4.1110735625e-15	1	1.7e-17	2.7e-18
59639.001910	-5.6359378495e-15	1	1.7e-17	2.7e-18
59639.001921	-6.6636056550e-15	1	1.7e-17	2.7e-18
59639.001933	-5.4227023872e-15	1	1.7e-17	2.7e-18
59639.001944	-5.2123883416e-15	1	1.7e-17	2.7e-18
59639.001956	-5.0668926452e-15	1	1.7e-17	2.7e-18
59639.001968	-5.8044847005e-15	1	1.7e-17	2.7e-18
59639.001979	-5.1424954179e-15	1	1.7e-17	2.7e-18
59639.001991	-5.8213575968e-15	1	1.7e-17	2.7e-18
59639.002002	-5.7466763959e-15	1	1.7e-17	2.7e-18
59639.002014	-4.9417621620e-15	1	1.7e-17	2.7e-18
59639.002025	-4.4022614669e-15	1	1.7e-17	2.7e-18
59639.002037	-5.6409717663e-15	1	1.7e-17	2.7e-18
59639.002049	-7.0398898774e-15	1	1.7e-17	2.7e-18
59639.002060	-7.5936317374e-15	1	1.7e-17	2.7e-18
59639.002072	-8.1126689635e-15	1	1.7e-17	2.7e-18
59639.002083	-9.6589970654e-15	1	1.7e-17	2.7e-18
59639.002095	-7.0121868178e-15	1	1.7e-17	2.7e-18
59639.002106	-5.9741377765e-15	1	1.7e-17	2.7e-18
59639.002118	-6.3709151141e-15	1	1.7e-17	2.7e-18
59639.002130	-4.3173684368e-15	1	1.7e-17	2.7e-18
59639.002141	-3.9378773476e-15	1	1.7e-17	2.7e-18
59639.002153	-3.3455412784e-15	1	1.7e-17	2.7e-18
59639.002164	-3.5593671226e-15	1	1.7e-17	2.7e-18
59639.002176	-3.3447789487e-15	1	1.7e-17	2.7e-18
59639.002187	-3.0534080852e-15	1	1.7e-17	2.7e-18
59639.002199	-4.4472050351e-15	1	1.7e-17	2.7e-18
59639.002211	-6.8859746735e-15	1	1.7e-17	2.7e-18
59639.002222	-6.5154756861e-15	1	1.7e-17	2.7e-18
59639.002234	-6.8149204677e-15	1	1.7e-17	2.7e-18
