# Data for PTB_In_CombKnoten-PTB_Yb_CombKnoten 
# File generated on: 2025-01-20T17:01:50+01:00
# With the script: 06-procclocks-v3.py 
# 
# t           	ΔA→B             	flag	uA_sys 	uB_sys     
59640.000000	-9.4448866181e-15	1	2.7e-18	2.52485e-18
59640.000012	-9.4401635624e-15	1	2.7e-18	2.52485e-18
59640.000023	-9.4394037739e-15	1	2.7e-18	2.52485e-18
59640.000035	-9.4411105453e-15	1	2.7e-18	2.52485e-18
59640.000046	-9.4265178616e-15	1	2.7e-18	2.52485e-18
59640.000058	-9.2115942627e-15	1	2.7e-18	2.52485e-18
59640.000069	-9.2064299028e-15	1	2.7e-18	2.52485e-18
59640.000081	-9.2118619251e-15	1	2.7e-18	2.52485e-18
59640.000093	-9.2016712717e-15	1	2.7e-18	2.52485e-18
59640.000104	-9.2101543067e-15	1	2.7e-18	2.52485e-18
59640.000116	-9.1167960293e-15	1	2.7e-18	2.52485e-18
59640.000127	-9.1199639325e-15	1	2.7e-18	2.52485e-18
59640.000139	-9.1105042686e-15	1	2.7e-18	2.52485e-18
59640.000150	-9.1061886357e-15	1	2.7e-18	2.52485e-18
59640.000162	-9.1177413181e-15	1	2.7e-18	2.52485e-18
59640.000174	-9.1019077312e-15	1	2.7e-18	2.52485e-18
59640.000185	-9.0145633877e-15	1	2.7e-18	2.52485e-18
59640.000197	-9.0162498303e-15	1	2.7e-18	2.52485e-18
59640.000208	-9.0128134177e-15	1	2.7e-18	2.52485e-18
59640.000220	-9.0159770857e-15	1	2.7e-18	2.52485e-18
59640.000231	-8.9364406920e-15	1	2.7e-18	2.52485e-18
59640.000243	-8.9167327764e-15	1	2.7e-18	2.52485e-18
59640.000255	-8.9144229176e-15	1	2.7e-18	2.52485e-18
59640.000266	-8.9188935575e-15	1	2.7e-18	2.52485e-18
59640.000278	-8.8683383960e-15	1	2.7e-18	2.52485e-18
59640.000289	-8.8198245839e-15	1	2.7e-18	2.52485e-18
59640.000301	-8.8109002448e-15	1	2.7e-18	2.52485e-18
59640.000313	-8.8123969520e-15	1	2.7e-18	2.52485e-18
59640.000324	-8.8187954389e-15	1	2.7e-18	2.52485e-18
59640.000336	-8.8145678975e-15	1	2.7e-18	2.52485e-18
59640.000347	-8.8167955941e-15	1	2.7e-18	2.52485e-18
59640.000359	-8.8172572271e-15	1	2.7e-18	2.52485e-18
59640.000370	-8.8131321766e-15	1	2.7e-18	2.52485e-18
59640.000382	-8.3657615611e-15	1	2.7e-18	2.52485e-18
59640.000394	-7.9506789946e-15	1	2.7e-18	2.52485e-18
59640.000405	-7.9559001057e-15	1	2.7e-18	2.52485e-18
59640.000417	-7.9607663099e-15	1	2.7e-18	2.52485e-18
59640.000428	-7.9550971184e-15	1	2.7e-18	2.52485e-18
59640.000440	-7.9527313554e-15	1	2.7e-18	2.52485e-18
59640.000451	-7.9625823486e-15	1	2.7e-18	2.52485e-18
59640.000463	-7.9518411238e-15	1	2.7e-18	2.52485e-18
59640.000475	-7.9481683889e-15	1	2.7e-18	2.52485e-18
59640.000486	-7.9612355662e-15	1	2.7e-18	2.52485e-18
59640.000498	-7.9581320375e-15	1	2.7e-18	2.52485e-18
59640.000509	-7.9675459616e-15	1	2.7e-18	2.52485e-18
59640.000521	-8.0493718855e-15	1	2.7e-18	2.52485e-18
59640.000532	-8.0475566938e-15	1	2.7e-18	2.52485e-18
59640.000544	-8.0448199304e-15	1	2.7e-18	2.52485e-18
59640.000556	-8.0823714420e-15	1	2.7e-18	2.52485e-18
59640.000567	-8.8908796368e-15	1	2.7e-18	2.52485e-18
59640.000579	-9.3066152658e-15	1	2.7e-18	2.52485e-18
59640.000590	-9.2823714887e-15	1	2.7e-18	2.52485e-18
59640.000602	-9.3140742379e-15	1	2.7e-18	2.52485e-18
59640.000613	-9.2427049358e-15	1	2.7e-18	2.52485e-18
59640.000625	-9.1989048621e-15	1	2.7e-18	2.52485e-18
59640.000637	-9.1998975847e-15	1	2.7e-18	2.52485e-18
59640.000648	-9.1961113475e-15	1	2.7e-18	2.52485e-18
59640.000660	-9.2066001565e-15	1	2.7e-18	2.52485e-18
59640.000671	-9.1954371092e-15	1	2.7e-18	2.52485e-18
59640.000683	-9.2127462275e-15	1	2.7e-18	2.52485e-18
59640.000694	-9.1999179135e-15	1	2.7e-18	2.52485e-18
59640.000706	-9.1990276819e-15	1	2.7e-18	2.52485e-18
59640.000718	-9.2071498808e-15	1	2.7e-18	2.52485e-18
59640.000729	-8.9563942471e-15	1	2.7e-18	2.52485e-18
59640.000741	-8.3239350742e-15	1	2.7e-18	2.52485e-18
59640.000752	-8.2924534007e-15	1	2.7e-18	2.52485e-18
59640.000764	-8.3129067052e-15	1	2.7e-18	2.52485e-18
59640.000775	-8.2930649584e-15	1	2.7e-18	2.52485e-18
59640.000787	-8.2932140362e-15	1	2.7e-18	2.52485e-18
59640.000799	-8.3047421547e-15	1	2.7e-18	2.52485e-18
59640.000810	-8.2956678907e-15	1	2.7e-18	2.52485e-18
59640.000822	-8.3040069301e-15	1	2.7e-18	2.52485e-18
59640.000833	-8.2966555311e-15	1	2.7e-18	2.52485e-18
59640.000845	-8.3206375749e-15	1	2.7e-18	2.52485e-18
59640.000856	-8.3919340322e-15	1	2.7e-18	2.52485e-18
59640.000868	-8.3901544160e-15	1	2.7e-18	2.52485e-18
59640.000880	-8.4097217241e-15	1	2.7e-18	2.52485e-18
59640.000891	-8.3875921413e-15	1	2.7e-18	2.52485e-18
59640.000903	-8.6514141052e-15	1	2.7e-18	2.52485e-18
59640.000914	-8.8664918642e-15	1	2.7e-18	2.52485e-18
59640.000926	-8.8795158428e-15	1	2.7e-18	2.52485e-18
59640.000938	-8.8683434782e-15	1	2.7e-18	2.52485e-18
59640.000949	-8.8703916039e-15	1	2.7e-18	2.52485e-18
59640.000961	-8.8713165638e-15	1	2.7e-18	2.52485e-18
59640.000972	-8.8737339959e-15	1	2.7e-18	2.52485e-18
59640.000984	-8.8762911883e-15	1	2.7e-18	2.52485e-18
59640.000995	-8.8710904060e-15	1	2.7e-18	2.52485e-18
59640.001007	-8.8704991770e-15	1	2.7e-18	2.52485e-18
59640.001019	-8.8740473981e-15	1	2.7e-18	2.52485e-18
59640.001030	-8.8691972874e-15	1	2.7e-18	2.52485e-18
59640.001042	-8.8690227986e-15	1	2.7e-18	2.52485e-18
59640.001053	-8.8470524580e-15	1	2.7e-18	2.52485e-18
59640.001065	-8.6074437779e-15	1	2.7e-18	2.52485e-18
59640.001076	-8.5106025011e-15	1	2.7e-18	2.52485e-18
59640.001088	-8.5047274805e-15	1	2.7e-18	2.52485e-18
59640.001100	-8.5028191153e-15	1	2.7e-18	2.52485e-18
59640.001111	-8.5220679390e-15	1	2.7e-18	2.52485e-18
59640.001123	-8.5916813418e-15	1	2.7e-18	2.52485e-18
59640.001134	-8.6034364650e-15	1	2.7e-18	2.52485e-18
59640.001146	-8.5956429149e-15	1	2.7e-18	2.52485e-18
59640.001157	-8.6077622623e-15	1	2.7e-18	2.52485e-18
59640.001169	-8.5948356925e-15	1	2.7e-18	2.52485e-18
59640.001181	-8.6016094150e-15	1	2.7e-18	2.52485e-18
59640.001192	-8.6043470255e-15	1	2.7e-18	2.52485e-18
59640.001204	-8.6005811170e-15	1	2.7e-18	2.52485e-18
59640.001215	-8.6066662017e-15	1	2.7e-18	2.52485e-18
59640.001227	-8.7569340817e-15	1	2.7e-18	2.52485e-18
59640.001238	-9.2641551982e-15	1	2.7e-18	2.52485e-18
59640.001250	-9.3268356363e-15	1	2.7e-18	2.52485e-18
59640.001262	-9.3186422866e-15	1	2.7e-18	2.52485e-18
59640.001273	-9.3066000192e-15	1	2.7e-18	2.52485e-18
59640.001285	-9.3257455049e-15	1	2.7e-18	2.52485e-18
59640.001296	-9.3197688404e-15	1	2.7e-18	2.52485e-18
59640.001308	-9.3129781773e-15	1	2.7e-18	2.52485e-18
59640.001319	-9.3236677331e-15	1	2.7e-18	2.52485e-18
59640.001331	-9.3117948722e-15	1	2.7e-18	2.52485e-18
59640.001343	-9.3063840258e-15	1	2.7e-18	2.52485e-18
59640.001354	-9.1654987297e-15	1	2.7e-18	2.52485e-18
59640.001366	-9.1259101038e-15	1	2.7e-18	2.52485e-18
59640.001377	-9.1125667938e-15	1	2.7e-18	2.52485e-18
59640.001389	-9.0228804043e-15	1	2.7e-18	2.52485e-18
59640.001400	-8.7407405058e-15	1	2.7e-18	2.52485e-18
59640.001412	-8.7537966716e-15	1	2.7e-18	2.52485e-18
59640.001424	-8.7487907069e-15	1	2.7e-18	2.52485e-18
59640.001435	-8.7647479606e-15	1	2.7e-18	2.52485e-18
59640.001447	-8.7830354019e-15	1	2.7e-18	2.52485e-18
59640.001458	-8.8444080212e-15	1	2.7e-18	2.52485e-18
59640.001470	-8.8645055719e-15	1	2.7e-18	2.52485e-18
59640.001481	-8.8633222669e-15	1	2.7e-18	2.52485e-18
59640.001493	-8.8567128688e-15	1	2.7e-18	2.52485e-18
59640.001505	-8.8498713837e-15	1	2.7e-18	2.52485e-18
59640.001516	-8.8981590379e-15	1	2.7e-18	2.52485e-18
59640.001528	-8.9583026124e-15	1	2.7e-18	2.52485e-18
59640.001539	-8.9004214629e-15	1	2.7e-18	2.52485e-18
59640.001551	-8.7097179241e-15	1	2.7e-18	2.52485e-18
59640.001563	-8.6766971917e-15	1	2.7e-18	2.52485e-18
59640.001574	-8.7562090215e-15	1	2.7e-18	2.52485e-18
59640.001586	-8.7746285999e-15	1	2.7e-18	2.52485e-18
59640.001597	-8.7674999707e-15	1	2.7e-18	2.52485e-18
59640.001609	-8.7705306545e-15	1	2.7e-18	2.52485e-18
59640.001620	-8.7622373550e-15	1	2.7e-18	2.52485e-18
59640.001632	-8.7688120247e-15	1	2.7e-18	2.52485e-18
59640.001644	-8.7680657887e-15	1	2.7e-18	2.52485e-18
59640.001655	-8.7651435250e-15	1	2.7e-18	2.52485e-18
59640.001667	-8.7674279729e-15	1	2.7e-18	2.52485e-18
59640.001678	-8.7843974309e-15	1	2.7e-18	2.52485e-18
59640.001690	-8.8414450999e-15	1	2.7e-18	2.52485e-18
59640.001701	-8.8438066278e-15	1	2.7e-18	2.52485e-18
59640.001713	-8.8132516083e-15	1	2.7e-18	2.52485e-18
59640.001725	-8.8323039204e-15	1	2.7e-18	2.52485e-18
59640.001736	-8.8918198434e-15	1	2.7e-18	2.52485e-18
59640.001748	-8.9251963296e-15	1	2.7e-18	2.52485e-18
59640.001759	-8.9201285315e-15	1	2.7e-18	2.52485e-18
59640.001771	-8.9250353934e-15	1	2.7e-18	2.52485e-18
59640.001782	-8.8869087463e-15	1	2.7e-18	2.52485e-18
59640.001794	-8.8276435451e-15	1	2.7e-18	2.52485e-18
59640.001806	-8.8287556993e-15	1	2.7e-18	2.52485e-18
59640.001817	-8.8213221382e-15	1	2.7e-18	2.52485e-18
59640.001829	-8.8342444728e-15	1	2.7e-18	2.52485e-18
59640.001840	-8.8333178188e-15	1	2.7e-18	2.52485e-18
59640.001852	-8.9775040022e-15	1	2.7e-18	2.52485e-18
59640.001863	-9.0169079749e-15	1	2.7e-18	2.52485e-18
59640.001875	-9.0126448581e-15	1	2.7e-18	2.52485e-18
59640.001887	-9.0173653727e-15	1	2.7e-18	2.52485e-18
59640.001898	-8.9891769633e-15	1	2.7e-18	2.52485e-18
59640.001910	-8.9279322460e-15	1	2.7e-18	2.52485e-18
59640.001921	-8.9120469901e-15	1	2.7e-18	2.52485e-18
59640.001933	-8.9190892221e-15	1	2.7e-18	2.52485e-18
59640.001944	-8.9231066993e-15	1	2.7e-18	2.52485e-18
59640.001956	-9.0025660131e-15	1	2.7e-18	2.52485e-18
59640.001968	-9.0193262540e-15	1	2.7e-18	2.52485e-18
59640.001979	-9.0154527723e-15	1	2.7e-18	2.52485e-18
59640.001991	-9.0181522663e-15	1	2.7e-18	2.52485e-18
59640.002002	-9.0183030382e-15	1	2.7e-18	2.52485e-18
59640.002014	-9.1519080861e-15	1	2.7e-18	2.52485e-18
59640.002025	-9.5096804034e-15	1	2.7e-18	2.52485e-18
59640.002037	-9.5509004148e-15	1	2.7e-18	2.52485e-18
59640.002049	-9.5545883962e-15	1	2.7e-18	2.52485e-18
59640.002060	-9.5391969606e-15	1	2.7e-18	2.52485e-18
59640.002072	-9.4769544385e-15	1	2.7e-18	2.52485e-18
59640.002083	-9.4499840624e-15	1	2.7e-18	2.52485e-18
59640.002095	-9.4485745996e-15	1	2.7e-18	2.52485e-18
59640.002106	-9.4481739530e-15	1	2.7e-18	2.52485e-18
59640.002118	-9.4038427896e-15	1	2.7e-18	2.52485e-18
59640.002130	-9.3504424445e-15	1	2.7e-18	2.52485e-18
59640.002141	-9.3550918084e-15	1	2.7e-18	2.52485e-18
59640.002153	-9.3468569541e-15	1	2.7e-18	2.52485e-18
59640.002164	-9.3523245517e-15	1	2.7e-18	2.52485e-18
59640.002176	-9.2572933843e-15	1	2.7e-18	2.52485e-18
59640.002187	-8.6483588574e-15	1	2.7e-18	2.52485e-18
59640.002199	-8.5338577906e-15	1	2.7e-18	2.52485e-18
59640.002211	-8.5434665324e-15	1	2.7e-18	2.52485e-18
59640.002222	-8.5345938623e-15	1	2.7e-18	2.52485e-18
59640.002234	-8.5283893459e-15	1	2.7e-18	2.52485e-18
59640.002245	-8.5363116451e-15	1	2.7e-18	2.52485e-18
59640.002257	-8.5338586377e-15	1	2.7e-18	2.52485e-18
59640.002269	-8.5316766808e-15	1	2.7e-18	2.52485e-18
59640.002280	-8.5067696770e-15	1	2.7e-18	2.52485e-18
59640.002292	-8.3646697357e-15	1	2.7e-18	2.52485e-18
59640.002303	-8.3352412700e-15	1	2.7e-18	2.52485e-18
59640.002315	-8.3298609167e-15	1	2.7e-18	2.52485e-18
59640.002326	-8.3407969591e-15	1	2.7e-18	2.52485e-18
59640.002338	-8.5610077377e-15	1	2.7e-18	2.52485e-18
59640.002350	-9.3754934439e-15	1	2.7e-18	2.52485e-18
59640.002361	-9.4372480750e-15	1	2.7e-18	2.52485e-18
59640.002373	-9.4406489123e-15	1	2.7e-18	2.52485e-18
59640.002384	-9.4288370379e-15	1	2.7e-18	2.52485e-18
59640.002396	-9.4534255573e-15	1	2.7e-18	2.52485e-18
59640.002407	-9.5939661109e-15	1	2.7e-18	2.52485e-18
59640.002419	-9.6336987324e-15	1	2.7e-18	2.52485e-18
59640.002431	-9.6332557342e-15	1	2.7e-18	2.52485e-18
59640.002442	-9.6339604656e-15	1	2.7e-18	2.52485e-18
59640.002454	-9.6873921509e-15	1	2.7e-18	2.52485e-18
59640.002465	-9.7368004298e-15	1	2.7e-18	2.52485e-18
59640.002477	-9.7392127796e-15	1	2.7e-18	2.52485e-18
59640.002488	-9.7272425100e-15	1	2.7e-18	2.52485e-18
59640.002500	-9.7369757656e-15	1	2.7e-18	2.52485e-18
59640.002512	-9.6382252765e-15	1	2.7e-18	2.52485e-18
59640.002523	-8.7235601365e-15	1	2.7e-18	2.52485e-18
59640.002535	-8.5035746687e-15	1	2.7e-18	2.52485e-18
59640.002546	-8.5101484914e-15	1	2.7e-18	2.52485e-18
59640.002558	-8.5204213070e-15	1	2.7e-18	2.52485e-18
59640.002569	-8.5163479255e-15	1	2.7e-18	2.52485e-18
59640.002581	-8.5140999001e-15	1	2.7e-18	2.52485e-18
59640.002593	-8.5154009427e-15	1	2.7e-18	2.52485e-18
59640.002604	-8.5075159130e-15	1	2.7e-18	2.52485e-18
59640.002616	-8.5040473131e-15	1	2.7e-18	2.52485e-18
59640.002627	-8.4217174047e-15	1	2.7e-18	2.52485e-18
