# Data for PTB_In_CombKnoten-SYRTE_Sr2 
# File generated on: 2025-01-20T17:02:11+01:00
# With the script: 06-procclocks-v3.py 
# 
# t           	ΔA→B             	flag	uA_sys 	uB_sys     
59652.003322	-1.1536858945e-14	1	1.7e-17	2.52485e-18
59652.003796	-1.3228777611e-14	1	1.7e-17	2.52485e-18
59652.003819	-1.6091505874e-14	1	1.7e-17	2.52485e-18
59652.005336	-1.0123778443e-14	1	1.7e-17	2.52485e-18
59652.007130	-1.4308650598e-14	1	1.7e-17	2.52485e-18
59652.009016	-9.6659503589e-15	1	1.7e-17	2.52485e-18
59652.009190	-1.4039711708e-14	1	1.7e-17	2.52485e-18
59652.011262	-2.0567637932e-14	1	1.7e-17	2.52485e-18
59652.014294	-1.8202937089e-14	1	1.7e-17	2.52485e-18
59652.016609	-1.2929693666e-14	1	1.7e-17	2.52485e-18
59652.016748	-1.6546160973e-14	1	1.7e-17	2.52485e-18
59652.016794	-1.4353711057e-14	1	1.7e-17	2.52485e-18
59652.017558	-1.4216255397e-14	1	1.7e-17	2.52485e-18
59652.017569	-1.5188528942e-14	1	1.7e-17	2.52485e-18
59652.017581	-1.6442522257e-14	1	1.7e-17	2.52485e-18
59652.017593	-1.4678976791e-14	1	1.7e-17	2.52485e-18
59652.017604	-1.2770991878e-14	1	1.7e-17	2.52485e-18
59652.017616	-1.4006984049e-14	1	1.7e-17	2.52485e-18
59652.017627	-1.4474188788e-14	1	1.7e-17	2.52485e-18
59652.017639	-1.8031833046e-14	1	1.7e-17	2.52485e-18
59652.017650	-1.2682786950e-14	1	1.7e-17	2.52485e-18
59652.017662	-1.5811266718e-14	1	1.7e-17	2.52485e-18
59652.017674	-1.5977599425e-14	1	1.7e-17	2.52485e-18
59652.017685	-1.8370454795e-14	1	1.7e-17	2.52485e-18
59652.017697	-1.2821791832e-14	1	1.7e-17	2.52485e-18
59652.017708	-1.4644655016e-14	1	1.7e-17	2.52485e-18
59652.017720	-1.6732254112e-14	1	1.7e-17	2.52485e-18
59652.017731	-1.0686017738e-14	1	1.7e-17	2.52485e-18
59652.017743	-1.3684046809e-14	1	1.7e-17	2.52485e-18
59652.017755	-1.0649753716e-14	1	1.7e-17	2.52485e-18
59652.017766	-1.5689005982e-14	1	1.7e-17	2.52485e-18
59652.017778	-1.0289034571e-14	1	1.7e-17	2.52485e-18
59652.017789	-1.5413666064e-14	1	1.7e-17	2.52485e-18
59652.017801	-1.5330145228e-14	1	1.7e-17	2.52485e-18
59652.017812	-1.9081767653e-14	1	1.7e-17	2.52485e-18
59652.017824	-1.4051914912e-14	1	1.7e-17	2.52485e-18
59652.017836	-1.6960016189e-14	1	1.7e-17	2.52485e-18
59652.017847	-1.2866882784e-14	1	1.7e-17	2.52485e-18
59652.017859	-1.4231891625e-14	1	1.7e-17	2.52485e-18
59652.017870	-1.5366134810e-14	1	1.7e-17	2.52485e-18
59652.017882	-1.2534671380e-14	1	1.7e-17	2.52485e-18
59652.017894	-1.3469617030e-14	1	1.7e-17	2.52485e-18
59652.017905	-1.2394694951e-14	1	1.7e-17	2.52485e-18
59652.017917	-1.4386872397e-14	1	1.7e-17	2.52485e-18
59652.017928	-1.6489696063e-14	1	1.7e-17	2.52485e-18
59652.017940	-1.4538982573e-14	1	1.7e-17	2.52485e-18
59652.017951	-1.3838218664e-14	1	1.7e-17	2.52485e-18
59652.017963	-1.6023460330e-14	1	1.7e-17	2.52485e-18
59652.017975	-1.6469694227e-14	1	1.7e-17	2.52485e-18
59652.017986	-1.5141952294e-14	1	1.7e-17	2.52485e-18
59652.017998	-1.7231282726e-14	1	1.7e-17	2.52485e-18
59652.018009	-1.6278929702e-14	1	1.7e-17	2.52485e-18
59652.018021	-1.4727291550e-14	1	1.7e-17	2.52485e-18
59652.018032	-1.6280803339e-14	1	1.7e-17	2.52485e-18
59652.018044	-1.5386101918e-14	1	1.7e-17	2.52485e-18
59652.018056	-1.7414540845e-14	1	1.7e-17	2.52485e-18
59652.018067	-1.3877577744e-14	1	1.7e-17	2.52485e-18
59652.018079	-1.6282930238e-14	1	1.7e-17	2.52485e-18
59652.018090	-1.5654611362e-14	1	1.7e-17	2.52485e-18
59652.018102	-1.5033113643e-14	1	1.7e-17	2.52485e-18
59652.018113	-1.4395417265e-14	1	1.7e-17	2.52485e-18
59652.018125	-1.5488557329e-14	1	1.7e-17	2.52485e-18
59652.018137	-1.3384607956e-14	1	1.7e-17	2.52485e-18
59652.018148	-1.4457430241e-14	1	1.7e-17	2.52485e-18
59652.018160	-1.2304027697e-14	1	1.7e-17	2.52485e-18
59652.018171	-1.4325227880e-14	1	1.7e-17	2.52485e-18
59652.018183	-1.2524355366e-14	1	1.7e-17	2.52485e-18
59652.018194	-1.7268006686e-14	1	1.7e-17	2.52485e-18
59652.018206	-1.3639576732e-14	1	1.7e-17	2.52485e-18
59652.018218	-1.6442622207e-14	1	1.7e-17	2.52485e-18
59652.018229	-1.5422656472e-14	1	1.7e-17	2.52485e-18
59652.018241	-1.7732301867e-14	1	1.7e-17	2.52485e-18
59652.018252	-1.7048228741e-14	1	1.7e-17	2.52485e-18
59652.018264	-1.6721862712e-14	1	1.7e-17	2.52485e-18
59652.018275	-1.2211996720e-14	1	1.7e-17	2.52485e-18
59652.018287	-1.4522103748e-14	1	1.7e-17	2.52485e-18
59652.018299	-1.3641286892e-14	1	1.7e-17	2.52485e-18
59652.018310	-1.1727025465e-14	1	1.7e-17	2.52485e-18
59652.018322	-1.5408332298e-14	1	1.7e-17	2.52485e-18
59652.018333	-1.4821801792e-14	1	1.7e-17	2.52485e-18
59652.018345	-1.4866485321e-14	1	1.7e-17	2.52485e-18
59652.018356	-1.3192325548e-14	1	1.7e-17	2.52485e-18
59652.018391	-7.5243927232e-15	1	1.7e-17	2.52485e-18
59652.018403	-1.1302276559e-14	1	1.7e-17	2.52485e-18
59652.018414	-1.2721324408e-14	1	1.7e-17	2.52485e-18
59652.018426	-1.3766192064e-14	1	1.7e-17	2.52485e-18
59652.018831	-1.2953280145e-14	1	1.7e-17	2.52485e-18
59652.018843	-1.5253022878e-14	1	1.7e-17	2.52485e-18
59652.018854	-1.4833604349e-14	1	1.7e-17	2.52485e-18
59652.018866	-1.2968204866e-14	1	1.7e-17	2.52485e-18
59652.018877	-1.2864224795e-14	1	1.7e-17	2.52485e-18
59652.018889	-1.8063458715e-14	1	1.7e-17	2.52485e-18
59652.018900	-1.5946819941e-14	1	1.7e-17	2.52485e-18
59652.018912	-9.7941733594e-15	1	1.7e-17	2.52485e-18
