time_utc,station,sat,L_m,dt_res_s,TROTOT_m,TRODRY_m,TROWET_m
2025-10-31 00:00:00+00:00,AJAC,G30,6371002.490169131,2.3011361919453053e-08,2.5074,2.3035,0.2039
2025-10-31 00:00:00+00:00,AJAC,G16,6371002.501349413,1.5168355614614576e-08,2.5074,2.3035,0.2039
2025-10-31 00:00:00+00:00,AJAC,G26,6371002.503446987,1.3181653908628715e-08,2.5074,2.3035,0.2039
2025-10-31 00:00:00+00:00,AJAC,G18,6371002.504972921,1.1521890412696301e-08,2.5074,2.3035,0.2039
2025-10-31 00:00:00+00:00,AJAC,G09,6371002.507060429,8.7534880539628e-09,2.5074,2.3035,0.2039
2025-10-31 00:00:00+00:00,AJAC,G10,6371002.496447767,1.9013656112673587e-08,2.5074,2.3035,0.2039
2025-10-31 00:00:00+00:00,AJAC,G32,6371002.505625601,1.0733547924126286e-08,2.5074,2.3035,0.2039
2025-10-31 00:00:00+00:00,AJAC,G22,6371002.5062474925,9.924097374771544e-09,2.5074,2.3035,0.2039
2025-10-31 00:00:00+00:00,AJAC,G13,6371002.4648688575,3.467554025560215e-08,2.5074,2.3035,0.2039
2025-10-31 00:00:00+00:00,AJAC,G01,6371002.506342661,9.794308307008983e-09,2.5074,2.3035,0.2039
2025-10-31 01:00:00+00:00,AJAC,G16,6371002.495082605,1.9055602177290015e-08,2.5061,2.3035,0.2026
2025-10-31 01:00:00+00:00,AJAC,G11,6371002.505728266,8.799406013825165e-09,2.5061,2.3035,0.2026
2025-10-31 01:00:00+00:00,AJAC,G19,6371002.474921344,3.001608300969819e-08,2.5061,2.3035,0.2026
2025-10-31 01:00:00+00:00,AJAC,G28,6371002.506008305,8.360545241922111e-09,2.5061,2.3035,0.2026
2025-10-31 01:00:00+00:00,AJAC,G22,6371002.489081595,2.288328439055754e-08,2.5061,2.3035,0.2026
2025-10-31 01:00:00+00:00,AJAC,G01,6371002.504581961,1.0404218116534743e-08,2.5061,2.3035,0.2026
2025-10-31 01:00:00+00:00,AJAC,G30,6371002.499632967,1.552885588497744e-08,2.5061,2.3035,0.2026
2025-10-31 01:00:00+00:00,AJAC,G31,6371002.505800913,8.68769215883638e-09,2.5061,2.3035,0.2026
2025-10-31 02:00:00+00:00,AJAC,G10,6371002.50068523,8.852013677991195e-09,2.5011,2.3035,0.1976
2025-10-31 02:00:00+00:00,AJAC,G07,6371002.498008058,1.2256615666909717e-08,2.5011,2.3035,0.1976
2025-10-31 02:00:00+00:00,AJAC,G32,6371002.4932557875,1.666173978783479e-08,2.5011,2.3035,0.1976
2025-10-31 02:00:00+00:00,AJAC,G06,6371002.500967866,8.412294945450267e-09,2.5011,2.3035,0.1976
2025-10-31 02:00:00+00:00,AJAC,G13,6371002.4992793,1.0775360648724615e-08,2.5011,2.3035,0.1976
2025-10-31 02:00:00+00:00,AJAC,G21,6371002.495812062,1.4460955548325199e-08,2.5011,2.3035,0.1976
2025-10-31 02:00:00+00:00,AJAC,G04,6371002.450144008,3.7717624302923784e-08,2.5011,2.3035,0.1976
2025-10-31 02:00:00+00:00,AJAC,G29,6371002.478573928,2.5878627299987385e-08,2.5011,2.3035,0.1976
2025-10-31 02:00:00+00:00,AJAC,G11,6371002.446004995,3.913485624747608e-08,2.5011,2.3035,0.1976
2025-10-31 02:00:00+00:00,AJAC,G20,6371002.5002116375,9.543412772959865e-09,2.5011,2.3035,0.1976
2025-10-31 03:00:00+00:00,AJAC,G16,6371002.44865945,3.644458639417285e-08,2.4961,2.3035,0.1926
2025-10-31 03:00:00+00:00,AJAC,G17,6371002.494227582,1.082688268603458e-08,2.4961,2.3035,0.1926
2025-10-31 03:00:00+00:00,AJAC,G19,6371002.495065911,9.733528942907485e-09,2.4961,2.3035,0.1926
2025-10-31 03:00:00+00:00,AJAC,G18,6371002.489822857,1.5336718606936627e-08,2.4961,2.3035,0.1926
2025-10-31 03:00:00+00:00,AJAC,G22,6371002.488402194,1.6529636049644538e-08,2.4961,2.3035,0.1926
2025-10-31 03:00:00+00:00,AJAC,G04,6371002.494171782,1.0895751355333692e-08,2.4961,2.3035,0.1926
2025-10-31 03:00:00+00:00,AJAC,G12,6371002.490395565,1.4828506581468845e-08,2.4961,2.3035,0.1926
2025-10-31 03:00:00+00:00,AJAC,G02,6371002.496006556,8.337239713299991e-09,2.4961,2.3035,0.1926
2025-10-31 03:00:00+00:00,AJAC,G15,6371002.496009651,8.33225838646396e-09,2.4961,2.3035,0.1926
2025-10-31 04:00:00+00:00,AJAC,G14,6371002.495786129,9.137000904758384e-09,2.4964,2.3035,0.1929
2025-10-31 04:00:00+00:00,AJAC,G25,6371002.494883662,1.0377369496642066e-08,2.4964,2.3035,0.1929
2025-10-31 04:00:00+00:00,AJAC,G18,6371002.486204138,1.8440544802116712e-08,2.4964,2.3035,0.1929
2025-10-31 04:00:00+00:00,AJAC,G07,6371002.495926334,8.928807905050088e-09,2.4964,2.3035,0.1929
2025-10-31 04:00:00+00:00,AJAC,G15,6371002.487454763,1.7510583673348322e-08,2.4964,2.3035,0.1929
2025-10-31 04:00:00+00:00,AJAC,G31,6371002.4961764505,8.54478720151582e-09,2.4964,2.3035,0.1929
2025-10-31 04:00:00+00:00,AJAC,G30,6371002.49467413,1.0644643787436944e-08,2.4964,2.3035,0.1929
2025-10-31 04:00:00+00:00,AJAC,G08,6371002.493095283,1.24752145290554e-08,2.4964,2.3035,0.1929
2025-10-31 04:00:00+00:00,AJAC,G19,6371002.496295656,8.35554147406988e-09,2.4964,2.3035,0.1929
2025-10-31 04:00:00+00:00,AJAC,G10,6371002.495703287,9.257808744070919e-09,2.4964,2.3035,0.1929
2025-10-31 05:00:00+00:00,AJAC,G02,6371002.491910004,1.6038239220919445e-08,2.4991,2.3035,0.1955
2025-10-31 05:00:00+00:00,AJAC,G10,6371002.495098257,1.3107453023127083e-08,2.4991,2.3035,0.1955
2025-10-31 05:00:00+00:00,AJAC,G27,6371002.473319083,2.7444944441058808e-08,2.4991,2.3035,0.1955
2025-10-31 05:00:00+00:00,AJAC,G18,6371002.497690148,1.0113657000029115e-08,2.4991,2.3035,0.1955
2025-10-31 05:00:00+00:00,AJAC,G12,6371002.498219279,9.385376688581167e-09,2.4991,2.3035,0.1955
2025-10-31 05:00:00+00:00,AJAC,G05,6371002.498794436,8.523261173028618e-09,2.4991,2.3035,0.1955
2025-10-31 05:00:00+00:00,AJAC,G31,6371002.4985597795,8.885124304999135e-09,2.4991,2.3035,0.1955
2025-10-31 05:00:00+00:00,AJAC,G21,6371002.494045765,1.4142677181711448e-08,2.4991,2.3035,0.1955
2025-10-31 05:00:00+00:00,AJAC,G07,6371002.490536099,1.7146501018344875e-08,2.4991,2.3035,0.1955
2025-10-31 05:00:00+00:00,AJAC,G25,6371002.498180742,9.44031881470031e-09,2.4991,2.3035,0.1955
2025-10-31 06:00:00+00:00,AJAC,G10,6371002.486625944,1.642388305641767e-08,2.4942,2.3035,0.1906999999999999
2025-10-31 06:00:00+00:00,AJAC,G08,6371002.489179258,1.4192808686501364e-08,2.4942,2.3035,0.1906999999999999
2025-10-31 06:00:00+00:00,AJAC,G02,6371002.488310532,1.498946911576753e-08,2.4942,2.3035,0.1906999999999999
2025-10-31 06:00:00+00:00,AJAC,G11,6371002.4901090525,1.3287008173417465e-08,2.4942,2.3035,0.1906999999999999
2025-10-31 06:00:00+00:00,AJAC,G32,6371002.4840068845,1.8432063228759597e-08,2.4942,2.3035,0.1906999999999999
2025-10-31 06:00:00+00:00,AJAC,G24,6371002.4934851425,9.278425398948475e-09,2.4942,2.3035,0.1906999999999999
2025-10-31 06:00:00+00:00,AJAC,G18,6371002.461867053,3.04732182269553e-08,2.4942,2.3035,0.1906999999999999
2025-10-31 06:00:00+00:00,AJAC,G23,6371002.494089759,8.359264191481721e-09,2.4942,2.3035,0.1906999999999999
2025-10-31 07:00:00+00:00,AJAC,G10,6371002.494409708,8.327987488415788e-09,2.4945,2.3035,0.191
2025-10-31 07:00:00+00:00,AJAC,G22,6371002.476417965,2.3456341134226957e-08,2.4945,2.3035,0.191
2025-10-31 07:00:00+00:00,AJAC,G11,6371002.477237184,2.298648102050485e-08,2.4945,2.3035,0.191
2025-10-31 07:00:00+00:00,AJAC,G32,6371002.493902009,9.108782552011695e-09,2.4945,2.3035,0.191
2025-10-31 07:00:00+00:00,AJAC,G29,6371002.491438287,1.220653982934597e-08,2.4945,2.3035,0.191
2025-10-31 07:00:00+00:00,AJAC,G17,6371002.4832191905,1.9204806337806755e-08,2.4945,2.3035,0.191
2025-10-31 07:00:00+00:00,AJAC,G28,6371002.494284867,8.52662802106828e-09,2.4945,2.3035,0.191
2025-10-31 07:00:00+00:00,AJAC,G27,6371002.492110904,1.144461314597254e-08,2.4945,2.3035,0.191
2025-10-31 07:00:00+00:00,AJAC,G30,6371002.494408301,8.330253086833234e-09,2.4945,2.3035,0.191
2025-10-31 07:00:00+00:00,AJAC,G05,6371002.48770082,1.578122434841079e-08,2.4945,2.3035,0.191
2025-10-31 07:00:00+00:00,AJAC,G21,6371002.494259663,8.566171723206582e-09,2.4945,2.3035,0.191
2025-10-31 08:00:00+00:00,AJAC,G04,6371002.487595128,8.333691186290434e-09,2.4877,2.3035,0.1841999999999999
2025-10-31 08:00:00+00:00,AJAC,G11,6371002.424935535,4.15548618449798e-08,2.4877,2.3035,0.1841999999999999
2025-10-31 08:00:00+00:00,AJAC,G27,6371002.480468019,1.6124968665123818e-08,2.4877,2.3035,0.1841999999999999
2025-10-31 08:00:00+00:00,AJAC,G30,6371002.487552092,8.402539514742727e-09,2.4877,2.3035,0.1841999999999999
2025-10-31 08:00:00+00:00,AJAC,G26,6371002.483333988,1.3544287027171461e-08,2.4877,2.3035,0.1841999999999999
2025-10-31 08:00:00+00:00,AJAC,G24,6371002.446425912,3.410236690041494e-08,2.4877,2.3035,0.1841999999999999
2025-10-31 08:00:00+00:00,AJAC,G10,6371002.486891122,9.396673562520038e-09,2.4877,2.3035,0.1841999999999999
2025-10-31 08:00:00+00:00,AJAC,G17,6371002.485415818,1.1303824446820577e-08,2.4877,2.3035,0.1841999999999999
2025-10-31 08:00:00+00:00,AJAC,G14,6371002.487604441,8.318717279346408e-09,2.4877,2.3035,0.1841999999999999
2025-10-31 09:00:00+00:00,AJAC,G32,6371002.49222833,8.916278945660775e-09,2.4927,2.3035,0.1891999999999999
2025-10-31 09:00:00+00:00,AJAC,G15,6371002.492276151,8.844110149894385e-09,2.4927,2.3035,0.1891999999999999
2025-10-31 09:00:00+00:00,AJAC,G14,6371002.479966178,2.0183864131493488e-08,2.4927,2.3035,0.1891999999999999
2025-10-31 09:00:00+00:00,AJAC,G07,6371002.486329108,1.5409037098243796e-08,2.4927,2.3035,0.1891999999999999
2025-10-31 09:00:00+00:00,AJAC,G21,6371002.492411289,8.636895280396654e-09,2.4927,2.3035,0.1891999999999999
2025-10-31 09:00:00+00:00,AJAC,G25,6371002.492538368,8.437388408118398e-09,2.4927,2.3035,0.1891999999999999
2025-10-31 09:00:00+00:00,AJAC,G06,6371002.4920926,9.118000767328215e-09,2.4927,2.3035,0.1891999999999999
2025-10-31 09:00:00+00:00,AJAC,G04,6371002.472241926,2.4761580096427976e-08,2.4927,2.3035,0.1891999999999999
2025-10-31 09:00:00+00:00,AJAC,G27,6371002.486322172,1.541505442469708e-08,2.4927,2.3035,0.1891999999999999
2025-10-31 09:00:00+00:00,AJAC,G20,6371002.492434472,8.600846231743006e-09,2.4927,2.3035,0.1891999999999999
2025-10-31 09:00:00+00:00,AJAC,G09,6371002.491779389,9.567239012558412e-09,2.4927,2.3035,0.1891999999999999
2025-10-31 10:00:00+00:00,AJAC,G15,6371002.492534394,8.907932816041124e-09,2.493,2.3035,0.1895
2025-10-31 10:00:00+00:00,AJAC,G27,6371002.45515007,3.277532149187974e-08,2.493,2.3035,0.1895
2025-10-31 10:00:00+00:00,AJAC,G01,6371002.4929149635,8.31560343380655e-09,2.493,2.3035,0.1895
2025-10-31 10:00:00+00:00,AJAC,G28,6371002.492911717,8.320836646590612e-09,2.493,2.3035,0.1895
2025-10-31 10:00:00+00:00,AJAC,G06,6371002.471672621,2.5225122768759167e-08,2.493,2.3035,0.1895
2025-10-31 10:00:00+00:00,AJAC,G02,6371002.492659321,8.717940852331992e-09,2.493,2.3035,0.1895
2025-10-31 10:00:00+00:00,AJAC,G23,6371002.492900466,8.338942329254828e-09,2.493,2.3035,0.1895
2025-10-31 10:00:00+00:00,AJAC,G08,6371002.492890959,8.354209892808421e-09,2.493,2.3035,0.1895
2025-10-31 11:00:00+00:00,AJAC,G29,6371002.490757901,8.867855831305146e-09,2.4912,2.3035,0.1876999999999999
2025-10-31 11:00:00+00:00,AJAC,G12,6371002.487954326,1.2398260064611243e-08,2.4912,2.3035,0.1876999999999999
2025-10-31 11:00:00+00:00,AJAC,G30,6371002.482790141,1.7082089814420424e-08,2.4912,2.3035,0.1876999999999999
2025-10-31 11:00:00+00:00,AJAC,G11,6371002.490530191,9.205423790420989e-09,2.4912,2.3035,0.1876999999999999
2025-10-31 11:00:00+00:00,AJAC,G21,6371002.490951794,8.569920132504482e-09,2.4912,2.3035,0.1876999999999999
2025-10-31 11:00:00+00:00,AJAC,G03,6371002.489065348,1.1134365065229042e-08,2.4912,2.3035,0.1876999999999999
2025-10-31 11:00:00+00:00,AJAC,G25,6371002.490747937,8.882896019670917e-09,2.4912,2.3035,0.1876999999999999
2025-10-31 11:00:00+00:00,AJAC,G32,6371002.489921809,1.0051735611815186e-08,2.4912,2.3035,0.1876999999999999
2025-10-31 11:00:00+00:00,AJAC,G23,6371002.488041276,1.2304047995176823e-08,2.4912,2.3035,0.1876999999999999
2025-10-31 11:00:00+00:00,AJAC,G15,6371002.483616874,1.642288080110789e-08,2.4912,2.3035,0.1876999999999999
2025-10-31 11:00:00+00:00,AJAC,G22,6371002.490823865,8.767633796998633e-09,2.4912,2.3035,0.1876999999999999
2025-10-31 12:00:00+00:00,AJAC,G02,6371002.472723877,2.338320198920459e-08,2.4907,2.3035,0.1871999999999999
2025-10-31 12:00:00+00:00,AJAC,G27,6371002.483892378,1.577792752680457e-08,2.4907,2.3035,0.1871999999999999
2025-10-31 12:00:00+00:00,AJAC,G13,6371002.490598273,8.336463035473993e-09,2.4907,2.3035,0.1871999999999999
2025-10-31 12:00:00+00:00,AJAC,G04,6371002.46031386,2.9600650312552447e-08,2.4907,2.3035,0.1871999999999999
2025-10-31 12:00:00+00:00,AJAC,G28,6371002.489630192,9.768865022085767e-09,2.4907,2.3035,0.1871999999999999
2025-10-31 12:00:00+00:00,AJAC,G24,6371002.440610227,3.736246807534755e-08,2.4907,2.3035,0.1871999999999999
2025-10-31 12:00:00+00:00,AJAC,G26,6371002.484248862,1.5473053405076986e-08,2.4907,2.3035,0.1871999999999999
2025-10-31 12:00:00+00:00,AJAC,G19,6371002.483411791,1.6179784095945795e-08,2.4907,2.3035,0.1871999999999999
2025-10-31 12:00:00+00:00,AJAC,G07,6371002.487643886,1.2190645030237916e-08,2.4907,2.3035,0.1871999999999999
2025-10-31 12:00:00+00:00,AJAC,G23,6371002.488265278,1.1488217988960982e-08,2.4907,2.3035,0.1871999999999999
2025-10-31 13:00:00+00:00,AJAC,G10,6371002.491024703,1.1542631921042427e-08,2.4934000000000003,2.3036,0.1899
2025-10-31 13:00:00+00:00,AJAC,G04,6371002.474877016,2.375819431003263e-08,2.4934000000000003,2.3036,0.1899
2025-10-31 13:00:00+00:00,AJAC,G20,6371002.493404241,8.334247729263829e-09,2.4934000000000003,2.3036,0.1899
2025-10-31 13:00:00+00:00,AJAC,G12,6371002.49244816,9.751415316821162e-09,2.4934000000000003,2.3036,0.1899
2025-10-31 13:00:00+00:00,AJAC,G28,6371002.484576087,1.7486109218002005e-08,2.4934000000000003,2.3036,0.1899
2025-10-31 13:00:00+00:00,AJAC,G23,6371002.492788219,9.2722684925895e-09,2.4934000000000003,2.3036,0.1899
2025-10-31 13:00:00+00:00,AJAC,G08,6371002.492518491,9.65427365007401e-09,2.4934000000000003,2.3036,0.1899
2025-10-31 13:00:00+00:00,AJAC,G27,6371002.48939997,1.3294446591446026e-08,2.4934000000000003,2.3036,0.1899
2025-10-31 13:00:00+00:00,AJAC,G31,6371002.472184491,2.522087815463571e-08,2.4934000000000003,2.3036,0.1899
2025-10-31 13:00:00+00:00,AJAC,G07,6371002.492787656,9.273081074391639e-09,2.4934000000000003,2.3036,0.1899
2025-10-31 14:00:00+00:00,AJAC,G16,6371002.488515617,9.922231653327618e-09,2.4897,2.3036,0.1861
2025-10-31 14:00:00+00:00,AJAC,G32,6371002.48735568,1.1379954050571176e-08,2.4897,2.3036,0.1861
2025-10-31 14:00:00+00:00,AJAC,G09,6371002.488157023,1.0394811258502525e-08,2.4897,2.3036,0.1861
2025-10-31 14:00:00+00:00,AJAC,G04,6371002.485209547,1.3671897596254336e-08,2.4897,2.3036,0.1861
2025-10-31 14:00:00+00:00,AJAC,G20,6371002.488480889,9.968981273322015e-09,2.4897,2.3036,0.1861
2025-10-31 14:00:00+00:00,AJAC,G13,6371002.447297949,3.454479432269426e-08,2.4897,2.3036,0.1861
2025-10-31 14:00:00+00:00,AJAC,G17,6371002.485355669,1.3528228400913676e-08,2.4897,2.3036,0.1861
2025-10-31 14:00:00+00:00,AJAC,G27,6371002.488737279,9.618472268376952e-09,2.4897,2.3036,0.1861
2025-10-31 14:00:00+00:00,AJAC,G28,6371002.455986305,3.104854717323581e-08,2.4897,2.3036,0.1861
2025-10-31 14:00:00+00:00,AJAC,G30,6371002.479549345,1.8388168096951073e-08,2.4897,2.3036,0.1861
2025-10-31 15:00:00+00:00,AJAC,G30,6371002.48389196,1.1328304265969315e-08,2.4861,2.3036,0.1825999999999999
