station,datetime_utc,ztd_m,zhd_m,zwd_m,press_hPa,temp_dry_K
ALGO,2025-10-31 00:00:00+00:00,2.344,2.2468000000000004,0.09720000000000001,986.9,277.4
ALGO,2025-10-31 01:00:00+00:00,2.3476999999999997,2.2468000000000004,0.1009,986.9,277.4
ALGO,2025-10-31 02:00:00+00:00,2.3394,2.2468000000000004,0.09259999999999999,986.9,277.4
ALGO,2025-10-31 03:00:00+00:00,2.3356,2.2468000000000004,0.0888,986.9,277.4
ALGO,2025-10-31 04:00:00+00:00,2.3341,2.2468000000000004,0.0873,986.9,277.4
ALGO,2025-10-31 05:00:00+00:00,2.3268,2.2468000000000004,0.08,986.9,277.3
ALGO,2025-10-31 06:00:00+00:00,2.317,2.2468000000000004,0.0702,986.9,277.3
ALGO,2025-10-31 07:00:00+00:00,2.3208,2.2468000000000004,0.074,986.9,277.3
ALGO,2025-10-31 08:00:00+00:00,2.3161,2.2468000000000004,0.0693,986.9,277.3
ALGO,2025-10-31 09:00:00+00:00,2.3223000000000003,2.2468000000000004,0.07540000000000001,986.9,277.3
ALGO,2025-10-31 10:00:00+00:00,2.3202,2.2468000000000004,0.0734,986.9,277.3
ALGO,2025-10-31 11:00:00+00:00,2.3165,2.2468000000000004,0.0696,986.9,277.3
ALGO,2025-10-31 12:00:00+00:00,2.314,2.2468000000000004,0.06720000000000001,986.9,277.3
ALGO,2025-10-31 13:00:00+00:00,2.316,2.2468000000000004,0.0692,986.9,277.3
ALGO,2025-10-31 14:00:00+00:00,2.3182,2.2468000000000004,0.0714,986.9,277.3
ALGO,2025-10-31 15:00:00+00:00,2.315,2.2468000000000004,0.0682,986.9,277.3
ALGO,2025-10-31 16:00:00+00:00,2.3144,2.2468000000000004,0.0676,986.9,277.2
ALGO,2025-10-31 17:00:00+00:00,2.3127,2.2468000000000004,0.0659,986.9,277.2
ALGO,2025-10-31 18:00:00+00:00,2.3122,2.2468000000000004,0.0653,986.9,277.2
ALGO,2025-10-31 19:00:00+00:00,2.3114,2.2468000000000004,0.06459999999999999,986.9,277.2
ALGO,2025-10-31 20:00:00+00:00,2.3165999999999998,2.2468000000000004,0.0697,986.9,277.2
ALGO,2025-10-31 21:00:00+00:00,2.3150999999999997,2.2468000000000004,0.0683,986.9,277.2
ALGO,2025-10-31 22:00:00+00:00,2.3164000000000002,2.2468000000000004,0.0696,986.9,277.2
ALGO,2025-10-31 23:00:00+00:00,2.318,2.2468000000000004,0.0712,986.9,277.2
ALGO,2025-11-01 00:00:00+00:00,2.319,2.2468000000000004,0.0722,986.9,277.2
