time_utc_x,station,sat,elev_deg,az_deg,m_dry,m_wet,slant_dry_m,slant_wet_m,slant_total_m,ZHD_m,ZWD_m
2025-10-27T00:00:00Z,ALIC,G25,42.916,162.139,1.465998,1.467453,3.1648,0.3337,3.4985,2.1588000000000003,0.2274
2025-10-27T00:00:00Z,ALIC,G25,74.395,133.487,1.037934,1.038124,2.2407,0.2361,2.4768,2.1588000000000003,0.2274
2025-10-27T00:00:00Z,ALIC,G07,62.303,333.635,1.128663,1.129085,2.4366,0.2568,2.6933,2.1588000000000003,0.2274
2025-10-27T00:00:00Z,ALIC,G12,17.063,231.791,3.366358,3.389522,7.2673,0.7708,8.0381,2.1588000000000003,0.2274
2025-10-27T00:00:00Z,ALIC,G15,83.172,296.194,1.007007,1.007084,2.1739,0.229,2.4029,2.1588000000000003,0.2274
2025-10-27T00:00:00Z,ALIC,Q16,67.085,159.629,1.085115,1.085429,2.3425,0.2468,2.5894,2.1588000000000003,0.2274
2025-10-27T00:00:00Z,ALIC,Q02,68.955,81.806,1.070974,1.071252,2.312,0.2436,2.5556,2.1588000000000003,0.2274
2025-10-27T00:00:00Z,ALIC,G18,19.609,199.651,2.952271,2.967625,6.3734,0.6748,7.0482,2.1588000000000003,0.2274
2025-10-27T01:00:00Z,ALIC,G25,61.229,171.254,1.140038,1.140488,2.4611,0.2607,2.7218,2.1588000000000003,0.2286
2025-10-27T01:00:00Z,ALIC,G22,65.857,81.687,1.095252,1.095591,2.3644,0.2505,2.6149,2.1588000000000003,0.2286
2025-10-27T01:00:00Z,ALIC,G16,82.563,241.133,1.008334,1.008418,2.1768,0.2305,2.4073,2.1588000000000003,0.2286
2025-10-27T01:00:00Z,ALIC,G23,34.437,157.375,1.763261,1.766113,3.8065,0.4037,4.2103,2.1588000000000003,0.2286
2025-10-27T01:00:00Z,ALIC,G09,37.784,299.764,1.628299,1.630451,3.5152,0.3727,3.8879,2.1588000000000003,0.2286
2025-10-27T01:00:00Z,ALIC,G25,45.217,252.095,1.40669,1.407927,3.0368,0.3219,3.3586,2.1588000000000003,0.2286
2025-10-27T01:00:00Z,ALIC,G18,24.21,112.452,2.423817,2.432023,5.2325,0.556,5.7885,2.1588000000000003,0.2286
2025-10-27T01:00:00Z,ALIC,G15,19.744,299.614,2.933175,2.948219,6.3321,0.674,7.0061,2.1588000000000003,0.2286
2025-10-27T02:00:00Z,ALIC,G19,20.485,11.094,2.833303,2.84679,6.1165,0.6129,6.7294,2.1588000000000003,0.2153
2025-10-27T02:00:00Z,ALIC,G23,18.59,157.218,3.104585,3.122568,6.7022,0.6723,7.3745,2.1588000000000003,0.2153
2025-10-27T02:00:00Z,ALIC,G06,60.13,77.25,1.152334,1.152815,2.4877,0.2482,2.7359,2.1588000000000003,0.2153
2025-10-27T02:00:00Z,ALIC,G29,45.332,147.07,1.403897,1.405124,3.0307,0.3025,3.3333,2.1588000000000003,0.2153
2025-10-27T02:00:00Z,ALIC,G17,52.393,307.225,1.260913,1.261685,2.7221,0.2716,2.9937,2.1588000000000003,0.2153
2025-10-27T02:00:00Z,ALIC,G31,67.375,84.218,1.082825,1.083134,2.3376,0.2332,2.5708,2.1588000000000003,0.2153
2025-10-27T02:00:00Z,ALIC,G05,57.604,20.989,1.183325,1.183885,2.5546,0.2549,2.8095,2.1588000000000003,0.2153
2025-10-27T02:00:00Z,ALIC,G16,51.518,101.298,1.275998,1.276814,2.7546,0.2749,3.0295,2.1588000000000003,0.2153
2025-10-27T02:00:00Z,ALIC,G23,51.941,105.694,1.268634,1.269428,2.7387,0.2733,3.012,2.1588000000000003,0.2153
2025-10-27T02:00:00Z,ALIC,G16,32.796,238.29,1.840298,1.843603,3.9728,0.3969,4.3698,2.1588000000000003,0.2153
2025-10-27T03:00:00Z,ALIC,G25,38.577,348.903,1.60009,1.60211,3.4543,0.3289,3.7832,2.1588000000000003,0.2053
2025-10-27T03:00:00Z,ALIC,G14,32.613,280.35,1.849396,1.852757,3.9925,0.3804,4.3728,2.1588000000000003,0.2053
2025-10-27T03:00:00Z,ALIC,Q26,57.271,258.08,1.187704,1.188276,2.564,0.244,2.808,2.1588000000000003,0.2053
2025-10-27T03:00:00Z,ALIC,G02,37.136,161.77,1.652381,1.65465,3.5672,0.3397,3.9069,2.1588000000000003,0.2053
2025-10-27T03:00:00Z,ALIC,G06,16.574,98.007,3.460319,3.485561,7.4701,0.7156,8.1857,2.1588000000000003,0.2053
2025-10-27T03:00:00Z,ALIC,G16,18.85,34.701,3.064059,3.081315,6.6147,0.6326,7.2473,2.1588000000000003,0.2053
2025-10-27T03:00:00Z,ALIC,G07,82.142,324.937,1.00932,1.009409,2.1789,0.2072,2.3862,2.1588000000000003,0.2053
2025-10-27T03:00:00Z,ALIC,G11,78.144,164.079,1.021553,1.021692,2.2053,0.2098,2.4151,2.1588000000000003,0.2053
2025-10-27T03:00:00Z,ALIC,G22,62.478,72.851,1.126864,1.127281,2.4327,0.2314,2.6641,2.1588000000000003,0.2053
2025-10-27T03:00:00Z,ALIC,G05,29.94,110.144,1.995853,2.000201,4.3086,0.4106,4.7193,2.1588000000000003,0.2053
2025-10-27T04:00:00Z,ALIC,Q04,54.073,175.197,1.233682,1.234377,2.6631,0.2161,2.8793,2.1587,0.1751
2025-10-27T04:00:00Z,ALIC,G32,22.794,176.655,2.563552,2.573371,5.5339,0.4506,5.9845,2.1587,0.1751
2025-10-27T04:00:00Z,ALIC,G08,79.384,337.618,1.017196,1.017319,2.1958,0.1781,2.374,2.1587,0.1751
2025-10-27T04:00:00Z,ALIC,G08,53.58,205.822,1.241449,1.242166,2.6799,0.2175,2.8974,2.1587,0.1751
2025-10-27T04:00:00Z,ALIC,G02,36.015,170.456,1.696235,1.698725,3.6617,0.2974,3.9591,2.1587,0.1751
2025-10-27T04:00:00Z,ALIC,G05,54.319,96.111,1.229893,1.230577,2.655,0.2155,2.8704,2.1587,0.1751
2025-10-27T04:00:00Z,ALIC,G18,11.71,119.365,4.800467,4.870282,10.3628,0.8528,11.2156,2.1587,0.1751
2025-10-27T04:00:00Z,ALIC,G18,81.892,187.442,1.009934,1.010026,2.1801,0.1769,2.357,2.1587,0.1751
2025-10-27T04:00:00Z,ALIC,G12,46.173,158.008,1.384069,1.385227,2.9878,0.2426,3.2303,2.1587,0.1751
2025-10-27T04:00:00Z,ALIC,G10,68.705,7.78,1.072775,1.073058,2.3158,0.1879,2.5037,2.1587,0.1751
2025-10-27T04:00:00Z,ALIC,Q27,16.205,297.465,3.5348,3.561774,7.6306,0.6237,8.2542,2.1587,0.1751
2025-10-27T05:00:00Z,ALIC,G26,33.785,321.004,1.792895,1.795916,3.8703,0.3173,4.1877,2.1587,0.1767
2025-10-27T05:00:00Z,ALIC,G02,81.467,269.499,1.01102,1.011117,2.1825,0.1787,2.3612,2.1587,0.1767
2025-10-27T05:00:00Z,ALIC,Q07,31.819,320.685,1.890221,1.893841,4.0804,0.3346,4.4151,2.1587,0.1767
2025-10-27T05:00:00Z,ALIC,G09,48.629,321.641,1.330784,1.331767,2.8728,0.2353,3.1081,2.1587,0.1767
2025-10-27T05:00:00Z,ALIC,G10,29.197,186.789,2.041561,2.046249,4.4071,0.3616,4.7687,2.1587,0.1767
2025-10-27T05:00:00Z,ALIC,G32,80.203,113.734,1.014598,1.014711,2.1902,0.1793,2.3695,2.1587,0.1767
2025-10-27T05:00:00Z,ALIC,G25,22.346,277.924,2.611592,2.622009,5.6376,0.4633,6.101,2.1587,0.1767
2025-10-27T05:00:00Z,ALIC,G11,13.368,238.198,4.239373,4.286831,9.1515,0.7575,9.909,2.1587,0.1767
2025-10-27T05:00:00Z,ALIC,G32,42.632,134.517,1.473822,1.475308,3.1815,0.2607,3.4422,2.1587,0.1767
2025-10-27T05:00:00Z,ALIC,Q16,84.428,34.008,1.004637,1.004699,2.1687,0.1775,2.3462,2.1587,0.1767
2025-10-27T06:00:00Z,ALIC,Q06,20.792,289.485,2.793919,2.806823,6.0312,0.4853,6.5165,2.1587,0.1729
2025-10-27T06:00:00Z,ALIC,G20,11.045,257.547,5.069455,5.15217,10.9434,0.8908,11.8342,2.1587,0.1729
2025-10-27T06:00:00Z,ALIC,Q06,27.224,266.034,2.175584,2.181364,4.6964,0.3772,5.0736,2.1587,0.1729
2025-10-27T06:00:00Z,ALIC,G30,19.887,47.181,2.913377,2.928104,6.2891,0.5063,6.7954,2.1587,0.1729
2025-10-27T06:00:00Z,ALIC,G24,60.824,44.551,1.144484,1.144945,2.4706,0.198,2.6686,2.1587,0.1729
2025-10-27T06:00:00Z,ALIC,G26,19.137,333.923,3.020705,3.037206,6.5208,0.5251,7.0459,2.1587,0.1729
2025-10-27T06:00:00Z,ALIC,G14,47.975,143.128,1.344338,1.345364,2.902,0.2326,3.1346,2.1587,0.1729
2025-10-27T06:00:00Z,ALIC,G15,62.07,108.342,1.131077,1.131505,2.4417,0.1956,2.6373,2.1587,0.1729
2025-10-27T06:00:00Z,ALIC,G21,53.584,175.89,1.241383,1.2421,2.6798,0.2148,2.8945,2.1587,0.1729
2025-10-27T06:00:00Z,ALIC,Q26,24.983,238.631,2.354325,2.361797,5.0823,0.4084,5.4906,2.1587,0.1729
2025-10-27T07:00:00Z,ALIC,G01,18.186,312.297,3.169651,3.188841,6.8423,0.514,7.3564,2.1587,0.1611999999999999
2025-10-27T07:00:00Z,ALIC,Q26,72.207,163.403,1.049838,1.050061,2.2663,0.1693,2.4356,2.1587,0.1611999999999999
2025-10-27T07:00:00Z,ALIC,G13,69.761,89.222,1.065333,1.065597,2.2997,0.1718,2.4715,2.1587,0.1611999999999999
2025-10-27T07:00:00Z,ALIC,G27,27.448,85.198,2.159376,2.165016,4.6614,0.349,5.0104,2.1587,0.1611999999999999
2025-10-27T07:00:00Z,ALIC,G11,49.808,268.565,1.307479,1.308389,2.8225,0.2109,3.0334,2.1587,0.1611999999999999
2025-10-27T07:00:00Z,ALIC,G32,55.451,293.965,1.21298,1.213619,2.6185,0.1956,2.8141,2.1587,0.1611999999999999
2025-10-27T07:00:00Z,ALIC,G17,75.08,37.9,1.034568,1.034748,2.2333,0.1668,2.4001,2.1587,0.1611999999999999
2025-10-27T07:00:00Z,ALIC,G24,55.233,23.961,1.216165,1.216812,2.6253,0.1962,2.8215,2.1587,0.1611999999999999
