time_utc_x,station,sat,elev_deg,az_deg,m_dry,m_wet,slant_dry_m,slant_wet_m,slant_total_m,ZHD_m,ZWD_m
2025-10-27T00:00:00Z,ANK2,G16,76.582,206.953,1.027776,1.02794,2.0422,0.0918,2.134,1.987,0.0892999999999999
2025-10-27T00:00:00Z,ANK2,G30,57.261,310.653,1.187822,1.188413,2.3602,0.1061,2.4663,1.987,0.0892999999999999
2025-10-27T00:00:00Z,ANK2,G13,49.073,104.778,1.321823,1.322808,2.6265,0.1181,2.7446,1.987,0.0892999999999999
2025-10-27T00:00:00Z,ANK2,Q19,42.144,317.382,1.48753,1.489119,2.9557,0.133,3.0887,1.987,0.0892999999999999
2025-10-27T00:00:00Z,ANK2,G08,44.83,262.588,1.416133,1.417445,2.8139,0.1266,2.9404,1.987,0.0892999999999999
2025-10-27T00:00:00Z,ANK2,G06,25.696,287.55,2.293875,2.300968,4.5579,0.2055,4.7634,1.987,0.0892999999999999
2025-10-27T00:00:00Z,ANK2,G16,71.72,239.249,1.05273,1.052968,2.0918,0.094,2.1858,1.987,0.0892999999999999
2025-10-27T00:00:00Z,ANK2,G19,24.879,304.683,2.363299,2.37111,4.6959,0.2117,4.9076,1.987,0.0892999999999999
2025-10-27T00:00:00Z,ANK2,G26,63.747,357.516,1.114321,1.11472,2.2142,0.0995,2.3137,1.987,0.0892999999999999
2025-10-27T00:00:00Z,ANK2,G13,66.999,151.259,1.0858,1.086126,2.1575,0.097,2.2545,1.987,0.0892999999999999
2025-10-27T01:00:00Z,ANK2,G24,15.259,122.896,3.741069,3.774316,7.4335,0.3352,7.7687,1.987,0.0888
2025-10-27T01:00:00Z,ANK2,Q26,53.112,288.208,1.248973,1.249735,2.4817,0.111,2.5927,1.987,0.0888
2025-10-27T01:00:00Z,ANK2,Q18,45.046,307.314,1.410834,1.412126,2.8033,0.1254,2.9287,1.987,0.0888
2025-10-27T01:00:00Z,ANK2,Q23,56.071,55.257,1.204101,1.204736,2.3925,0.107,2.4995,1.987,0.0888
2025-10-27T01:00:00Z,ANK2,G01,43.546,209.766,1.449011,1.450447,2.8792,0.1288,3.008,1.987,0.0888
2025-10-27T01:00:00Z,ANK2,G15,39.898,102.712,1.555733,1.557614,3.0912,0.1383,3.2296,1.987,0.0888
2025-10-27T01:00:00Z,ANK2,G17,45.391,266.102,1.402455,1.403716,2.7867,0.1246,2.9113,1.987,0.0888
2025-10-27T01:00:00Z,ANK2,G29,53.65,85.963,1.240316,1.241053,2.4645,0.1102,2.5747,1.987,0.0888
2025-10-27T01:00:00Z,ANK2,Q10,47.574,241.705,1.352844,1.353932,2.6881,0.1202,2.8083,1.987,0.0888
2025-10-27T01:00:00Z,ANK2,G08,45.411,91.845,1.40198,1.403239,2.7857,0.1246,2.9103,1.987,0.0888
2025-10-27T01:00:00Z,ANK2,G12,71.338,184.012,1.05507,1.055315,2.0964,0.0937,2.1901,1.987,0.0888
2025-10-27T01:00:00Z,ANK2,G06,65.924,341.513,1.094679,1.095027,2.1751,0.0972,2.2724,1.987,0.0888
2025-10-27T02:00:00Z,ANK2,G21,82.9,184.424,1.007584,1.007667,2.0021,0.0888,2.0908,1.987,0.0881
2025-10-27T02:00:00Z,ANK2,G32,28.544,290.681,2.08369,2.088869,4.1403,0.184,4.3243,1.987,0.0881
2025-10-27T02:00:00Z,ANK2,G03,28.725,127.901,2.071785,2.076867,4.1166,0.183,4.2996,1.987,0.0881
2025-10-27T02:00:00Z,ANK2,G10,20.462,147.723,2.835924,2.849894,5.635,0.2511,5.8861,1.987,0.0881
2025-10-27T02:00:00Z,ANK2,G28,74.542,60.458,1.037192,1.037386,2.0609,0.0914,2.1523,1.987,0.0881
2025-10-27T02:00:00Z,ANK2,G18,26.98,266.693,2.193469,2.199599,4.3584,0.1938,4.5522,1.987,0.0881
2025-10-27T02:00:00Z,ANK2,G06,47.738,282.495,1.349322,1.350398,2.6811,0.119,2.8001,1.987,0.0881
