station,datetime_utc,ztd_m,zhd_m,zwd_m,press_hPa,temp_dry_K
MIZU,2025-10-31 00:00:00+00:00,2.422,2.2851,0.1369,1003.1,283.7
MIZU,2025-10-31 01:00:00+00:00,2.4385,2.2851,0.1534,1003.1,283.7
MIZU,2025-10-31 02:00:00+00:00,2.4337,2.2851,0.14859999999999998,1003.1,283.7
MIZU,2025-10-31 03:00:00+00:00,2.434,2.2851,0.1489,1003.1,283.7
MIZU,2025-10-31 04:00:00+00:00,2.4322,2.2851,0.14709999999999998,1003.1,283.7
MIZU,2025-10-31 05:00:00+00:00,2.4421999999999997,2.2851,0.1571,1003.1,283.7
MIZU,2025-10-31 06:00:00+00:00,2.4511,2.2851,0.166,1003.1,283.7
MIZU,2025-10-31 07:00:00+00:00,2.4566,2.2851,0.1715,1003.1,283.7
MIZU,2025-10-31 08:00:00+00:00,2.4682,2.2851,0.183,1003.1,283.7
MIZU,2025-10-31 09:00:00+00:00,2.4825999999999997,2.2851,0.1975,1003.1,283.7
MIZU,2025-10-31 10:00:00+00:00,2.4871,2.2851,0.202,1003.1,283.6
MIZU,2025-10-31 11:00:00+00:00,2.483,2.2851,0.1979,1003.1,283.6
MIZU,2025-10-31 12:00:00+00:00,2.4863000000000004,2.2851,0.2011,1003.1,283.6
MIZU,2025-10-31 13:00:00+00:00,2.488,2.2851,0.2029,1003.1,283.6
MIZU,2025-10-31 14:00:00+00:00,2.486,2.2851,0.2009,1003.1,283.6
MIZU,2025-10-31 15:00:00+00:00,2.4859,2.2851,0.2007,1003.1,283.6
MIZU,2025-10-31 16:00:00+00:00,2.4929,2.2851,0.2078,1003.1,283.6
MIZU,2025-10-31 17:00:00+00:00,2.4987,2.2851,0.21359999999999998,1003.1,283.6
MIZU,2025-10-31 18:00:00+00:00,2.4873000000000003,2.2851,0.2021,1003.1,283.6
MIZU,2025-10-31 19:00:00+00:00,2.4814000000000003,2.2851,0.19619999999999999,1003.1,283.6
MIZU,2025-10-31 20:00:00+00:00,2.4217,2.2851,0.1365,1003.1,283.6
MIZU,2025-10-31 21:00:00+00:00,2.4116999999999997,2.2851,0.1265,1003.1,283.6
MIZU,2025-10-31 22:00:00+00:00,2.3777,2.2851,0.09259999999999999,1003.1,283.6
MIZU,2025-10-31 23:00:00+00:00,2.3630999999999998,2.2851999999999997,0.078,1003.1,283.5
MIZU,2025-11-01 00:00:00+00:00,2.3928000000000003,2.2851999999999997,0.1076,1003.1,283.5
