L_macro_m,L_int_m,dt_res_s,dt_err_s,pair,L_eff_m,dU_over_c2
780000,0.005,-2.00E-15,2.00E-17,2022-03-01_INRIM_ITYb1-PTB_Sr3_CombKnoten,3900,1.90556E-14
780000,0.005,-2.64E-15,2.00E-17,2022-03-01_INRIM_ITYb1-PTB_Sr3_CombKnoten,3900,1.90556E-14
780000,0.005,-1.85E-15,2.00E-17,2022-03-01_INRIM_ITYb1-PTB_Sr3_CombKnoten,3900,1.90556E-14
780000,0.005,-9.77E-16,2.00E-17,2022-03-01_INRIM_ITYb1-PTB_Sr3_CombKnoten,3900,1.90556E-14
780000,0.005,-2.73E-15,2.00E-17,2022-03-01_INRIM_ITYb1-PTB_Sr3_CombKnoten,3900,1.90556E-14
780000,0.005,-2.73E-15,2.00E-17,2022-03-01_INRIM_ITYb1-PTB_Sr3_CombKnoten,3900,1.90556E-14
1100000,0.005,-9.21E-16,2.00E-17,2022-03-01_INRIM_ITYb1-SYRTE_Sr2,5500,1.85111E-14
1100000,0.005,-1.73E-15,2.00E-17,2022-03-01_INRIM_ITYb1-SYRTE_Sr2,5500,1.85111E-14
1100000,0.005,-2.97E-15,2.00E-17,2022-03-01_INRIM_ITYb1-SYRTE_Sr2,5500,1.85111E-14
1100000,0.005,-1.96E-15,2.00E-17,2022-03-01_INRIM_ITYb1-SYRTE_Sr2,5500,1.85111E-14
1100000,0.005,-2.96E-15,2.00E-17,2022-03-01_INRIM_ITYb1-SYRTE_Sr2,5500,1.85111E-14
1100000,0.005,-2.97E-15,2.00E-17,2022-03-01_INRIM_ITYb1-SYRTE_Sr2,5500,1.85111E-14
5000,0.005,-2.26E-15,2.00E-17,2022-03-01_PTB_In_CombKnoten-INRIM_ITYb1,25,1.90556E-14
5000,0.005,-4.41E-15,2.00E-17,2022-03-01_PTB_In_CombKnoten-INRIM_ITYb1,25,1.90556E-14
5000,0.005,-4.22E-15,2.00E-17,2022-03-01_PTB_In_CombKnoten-INRIM_ITYb1,25,1.90556E-14
5000,0.005,-3.06E-15,2.00E-17,2022-03-01_PTB_In_CombKnoten-INRIM_ITYb1,25,1.90556E-14
5000,0.005,-3.51E-15,2.00E-17,2022-03-01_PTB_In_CombKnoten-INRIM_ITYb1,25,1.90556E-14
5000,0.005,-2.19E-15,2.00E-17,2022-03-01_PTB_In_CombKnoten-INRIM_ITYb1,25,1.90556E-14
800000,0.005,-3.41E-15,2.00E-17,2022-03-01_PTB_Sr3_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
800000,0.005,-3.91E-15,2.00E-17,2022-03-01_PTB_Sr3_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
800000,0.005,-1.03E-15,2.00E-17,2022-03-01_PTB_Sr3_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
800000,0.005,-2.73E-15,2.00E-17,2022-03-01_PTB_Sr3_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
800000,0.005,-2.43E-15,2.00E-17,2022-03-01_PTB_Sr3_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
800000,0.005,-3.92E-15,2.00E-17,2022-03-01_PTB_Sr3_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
5000,0.005,-3.04E-15,2.00E-17,2022-03-01_PTB_Yb_CombKnoten-INRIM_ITYb1,25,1.90556E-14
5000,0.005,-2.39E-15,2.00E-17,2022-03-01_PTB_Yb_CombKnoten-INRIM_ITYb1,25,1.90556E-14
5000,0.005,-3.65E-15,2.00E-17,2022-03-01_PTB_Yb_CombKnoten-INRIM_ITYb1,25,1.90556E-14
5000,0.005,-2.12E-15,2.00E-17,2022-03-01_PTB_Yb_CombKnoten-INRIM_ITYb1,25,1.90556E-14
5000,0.005,-3.10E-15,2.00E-17,2022-03-01_PTB_Yb_CombKnoten-INRIM_ITYb1,25,1.90556E-14
5000,0.005,-2.79E-15,2.00E-17,2022-03-01_PTB_Yb_CombKnoten-INRIM_ITYb1,25,1.90556E-14
800000,0.005,-3.10E-15,2.00E-17,2022-03-01_PTB_Yb_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
800000,0.005,-6.48E-16,2.00E-17,2022-03-01_PTB_Yb_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
800000,0.005,-2.51E-15,2.00E-17,2022-03-01_PTB_Yb_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
800000,0.005,-3.56E-15,2.00E-17,2022-03-01_PTB_Yb_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
800000,0.005,-1.68E-15,2.00E-17,2022-03-01_PTB_Yb_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
800000,0.005,-3.72E-15,2.00E-17,2022-03-01_PTB_Yb_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
100,0.005,-2.29E-15,2.00E-17,2022-03-02_PTB_In_CombKnoten-PTB_Yb_CombKnoten,0.5,0
100,0.005,-4.46E-15,2.00E-17,2022-03-02_PTB_In_CombKnoten-PTB_Yb_CombKnoten,0.5,0
100,0.005,-3.83E-15,2.00E-17,2022-03-02_PTB_In_CombKnoten-PTB_Yb_CombKnoten,0.5,0
100,0.005,-2.30E-15,2.00E-17,2022-03-02_PTB_In_CombKnoten-PTB_Yb_CombKnoten,0.5,0
100,0.005,-1.76E-15,2.00E-17,2022-03-02_PTB_In_CombKnoten-PTB_Yb_CombKnoten,0.5,0
100,0.005,-2.33E-15,2.00E-17,2022-03-02_PTB_In_CombKnoten-PTB_Yb_CombKnoten,0.5,0
100,0.005,-2.62E-15,2.00E-17,2022-03-10_NPL-Yb+(E3)-NPL-Sr1,0.5,0
