time,dt_res,X,Y,Z,L
0,2.826666666666666,-3000000.0,-2000000.0,-1000000.0,3741657.3867739416
60,2.826666666666666,-2936842.1052631577,-1957894.7368421047,-978947.3684210526,3662885.652315543
120,2.826666666666666,-2873684.210526316,-1915789.4736842103,-957894.7368421052,3584113.917857144
180,2.826666666666666,-2810526.3157894737,-1873684.210526316,-936842.105263158,3505342.183398745
240,2.826666666666666,-2747368.4210526315,-1831578.947368421,-915789.4736842106,3426570.4489403465
300,2.826666666666666,-2684210.5263157897,-1789473.6842105263,-894736.8421052631,3347798.7144819475
360,2.826666666666666,-2621052.6315789474,-1747368.4210526317,-873684.2105263157,3269026.980023549
420,2.826666666666666,-2557894.736842105,-1705263.1578947369,-852631.5789473684,3190255.24556515
480,2.826666666666666,-2494736.842105263,-1663157.894736842,-831578.947368421,3111483.511106751
540,2.826666666666666,-2431578.947368421,-1621052.6315789474,-810526.3157894737,3032711.7766483524
600,2.826666666666666,-2368421.052631579,-1578947.3684210526,-789473.6842105263,2953940.042189954
660,2.826666666666666,-2305263.157894737,-1536842.1052631575,-768421.0526315789,2875168.307731555
720,2.826666666666666,-2242105.263157895,-1494736.8421052631,-747368.4210526316,2796396.5732731563
780,2.826666666666666,-2178947.3684210526,-1452631.5789473683,-726315.7894736843,2717624.8388147573
840,2.826666666666666,-2115789.4736842103,-1410526.3157894737,-705263.1578947369,2638853.1043563588
900,2.826666666666666,-2052631.5789473683,-1368421.0526315789,-684210.5263157894,2560081.36989796
960,2.826666666666666,-1989473.6842105263,-1326315.789473684,-663157.894736842,2481309.635439561
1020,2.826666666666666,-1926315.7894736845,-1284210.5263157894,-642105.2631578947,2402537.900981162
1080,2.826666666666666,-1863157.894736842,-1242105.2631578948,-621052.6315789474,2323766.166522764
1140,2.826666666666666,-1800000.0,-1200000.0,-600000.0,2244994.4320643647
1200,2.826666666666666,-1736842.1052631575,-1157894.7368421052,-578947.3684210526,2166222.6976059657
1260,2.826666666666666,-1673684.2105263155,-1115789.4736842103,-557894.7368421052,2087450.9631475671
1320,2.826666666666666,-1610526.3157894737,-1073684.2105263155,-536842.1052631579,2008679.2286891688
1380,2.826666666666666,-1547368.4210526317,-1031578.947368421,-515789.4736842105,1929907.4942307696
1440,2.826666666666666,-1484210.5263157894,-989473.6842105264,-494736.8421052632,1851135.759772371
1500,2.826666666666666,-1421052.6315789474,-947368.4210526316,-473684.2105263157,1772364.025313972
1560,2.826666666666666,-1357894.7368421052,-905263.1578947369,-452631.5789473684,1693592.2908555733
1620,2.826666666666666,-1294736.8421052631,-863157.894736842,-431578.947368421,1614820.5563971747
1680,2.826666666666666,-1231578.9473684211,-821052.6315789472,-410526.3157894736,1536048.8219387757
1740,2.826666666666666,-1168421.0526315789,-778947.3684210526,-389473.6842105263,1457277.0874803772
1800,2.826666666666666,-1105263.1578947369,-736842.1052631577,-368421.0526315789,1378505.3530219784
1860,2.826666666666666,-1042105.2631578946,-694736.8421052631,-347368.4210526316,1299733.6185635796
1920,2.826666666666666,-978947.3684210526,-652631.5789473683,-326315.78947368416,1220961.8841051809
1980,2.826666666666666,-915789.4736842106,-610526.3157894735,-305263.15789473674,1142190.149646782
2040,2.826666666666666,-852631.5789473685,-568421.0526315789,-284210.52631578944,1063418.4151883833
2100,2.826666666666666,-789473.6842105263,-526315.789473684,-263157.894736842,984646.6807299844
2160,2.826666666666666,-726315.789473684,-484210.52631578944,-242105.26315789472,905874.9462715856
2220,2.826666666666666,-663157.8947368423,-442105.2631578946,-221052.6315789473,827103.211813187
2280,2.826666666666666,-600000.0,-399999.99999999977,-199999.99999999988,748331.4773547881
2340,2.826666666666666,-536842.1052631577,-357894.7368421052,-178947.36842105258,669559.7428963893
2400,2.826666666666666,-473684.2105263155,-315789.4736842104,-157894.73684210517,590788.0084379903
2460,2.826666666666666,-410526.3157894737,-273684.2105263157,-136842.10526315786,512016.2739795919
2520,2.826666666666666,-347368.42105263146,-231578.9473684209,-115789.47368421045,433244.539521193
2580,2.826666666666666,-284210.5263157892,-189473.6842105261,-94736.84210526304,354472.80506279407
2640,2.826666666666666,-221052.63157894745,-147368.42105263146,-73684.21052631573,275701.07060439565
2700,2.826666666666666,-157894.73684210517,-105263.15789473662,-52631.57894736831,196929.3361459967
2760,2.826666666666666,-94736.84210526291,-63157.89473684202,-31578.94736842101,118157.6016875979
2820,2.826666666666666,-31578.94736842113,-21052.631578947185,-10526.315789473592,39385.86722919932
2880,2.826666666666666,31578.94736842113,21052.631578947417,10526.315789473709,39385.86722919947
2940,2.826666666666666,94736.84210526338,63157.89473684225,31578.94736842113,118157.60168759842
3000,2.826666666666666,157894.73684210517,105263.15789473709,52631.57894736854,196929.336145997
