time_utc,et,L_km,L_m,L_AU
1979-03-05 00:00:00,-657287949.8145592,930298.307825996,930298307.8259959,0.00621866008836178
1979-03-05 00:01:00,-657287889.8145592,929312.7955592758,929312795.5592757,0.006212072345754824
1979-03-05 00:02:00,-657287829.8145592,928327.214893808,928327214.893808,0.006205484145930481
1979-03-05 00:03:00,-657287769.8145592,927341.5661738798,927341566.1738797,0.006198895491190169
1979-03-05 00:04:00,-657287709.8145592,926355.8497460856,926355849.7460856,0.006192306383850727
1979-03-05 00:05:00,-657287649.8145592,925370.0659618514,925370065.9618514,0.006185716826261295
1979-03-05 00:06:00,-657287589.8145592,924384.2151683444,924384215.1683445,0.00617912682074254
1979-03-05 00:07:00,-657287529.8145592,923398.2977252399,923398297.7252399,0.006172536369698743
1979-03-05 00:08:00,-657287469.8145592,922412.3139874358,922412313.9874358,0.006165945475502251
1979-03-05 00:09:00,-657287409.8145592,921426.264314228,921426264.3142279,0.00615935414055481
1979-03-05 00:10:00,-657287349.8145592,920440.1490707146,920440149.0707146,0.006152762367296947
1979-03-05 00:11:00,-657287289.8145592,919453.9686219179,919453968.6219178,0.0061461701581686885
1979-03-05 00:12:00,-657287229.8145592,918467.7233384867,918467723.3384868,0.006139577515647666
1979-03-05 00:13:00,-657287169.8145592,917481.4135876007,917481413.5876007,0.006132984442188326
1979-03-05 00:14:00,-657287109.8145592,916495.0397480368,916495039.7480367,0.006126390940322634
1979-03-05 00:15:00,-657287049.8145592,915508.6021976802,915508602.1976801,0.006119797012576598
1979-03-05 00:16:00,-657286989.8145592,914522.1013115362,914522101.3115362,0.006113202661456974
1979-03-05 00:17:00,-657286929.8145592,913535.5374752212,913535537.4752212,0.0061066078895414475
1979-03-05 00:18:00,-657286869.8145592,912548.9110775049,912548911.0775049,0.006100012699428782
1979-03-05 00:19:00,-657286809.8145592,911562.22250459,911562222.50459,0.006093417093700587
1979-03-05 00:20:00,-657286749.8145592,910575.4721517843,910575472.1517843,0.006086821074999328
1979-03-05 00:21:00,-657286689.8145592,909588.6604108473,909588660.4108473,0.006080224645943756
1979-03-05 00:22:00,-657286629.8145592,908601.7876807566,908601787.6807567,0.0060736278092008746
1979-03-05 00:23:00,-657286569.8145592,907614.8543619658,907614854.3619658,0.0060670305674475474
1979-03-05 00:24:00,-657286509.8145592,906627.8608592273,906627860.8592273,0.006060432923389379
1979-03-05 00:25:00,-657286449.8145592,905640.8075821289,905640807.5821289,0.0060538348797642945
1979-03-05 00:26:00,-657286389.8145592,904653.6949413477,904653694.9413477,0.0060472364393175
1979-03-05 00:27:00,-657286329.8145592,903666.5233454794,903666523.3454794,0.00604063760478029
1979-03-05 00:28:00,-657286269.8145592,902679.2932164232,902679293.2164233,0.0060340383789728854
1979-03-05 00:29:00,-657286209.8145592,901692.00497409,901692004.97409,0.006027438764702218
1979-03-05 00:30:00,-657286149.8145592,900704.6590366998,900704659.0366998,0.006020838764763915
1979-03-05 00:31:00,-657286089.8145592,899717.2558355347,899717255.8355347,0.00601423838204092
1979-03-05 00:32:00,-657286029.8145592,898729.7958005767,898729795.8005767,0.006007637619407485
1979-03-05 00:33:00,-657285969.8145592,897742.2793622036,897742279.3622036,0.006001036479740507
1979-03-05 00:34:00,-657285909.8145592,896754.7069567101,896754706.9567101,0.005994434965956438
1979-03-05 00:35:00,-657285849.8145592,895767.0790259049,895767079.0259049,0.005987833081008585
1979-03-05 00:36:00,-657285789.8145592,894779.3960129404,894779396.0129404,0.00598123082785924
1979-03-05 00:37:00,-657285729.8145592,893791.6583591343,893791658.3591343,0.005974628209458428
1979-03-05 00:38:00,-657285669.8145592,892803.8665216215,892803866.5216215,0.005968025228861908
1979-03-05 00:39:00,-657285609.8145592,891816.0209460355,891816020.9460355,0.005961421889048556
1979-03-05 00:40:00,-657285549.8145592,890828.122096679,890828122.0966791,0.005954818193122044
1979-03-05 00:41:00,-657285489.8145592,889840.1704279837,889840170.4279838,0.005948214144120059
1979-03-05 00:42:00,-657285429.8145592,888852.166404308,888852166.4043081,0.005941609745146647
1979-03-05 00:43:00,-657285369.8145592,887864.11049407,887864110.4940699,0.0059350049993329886
1979-03-05 00:44:00,-657285309.8145592,886876.0031665155,886876003.1665155,0.005928399909815799
1979-03-05 00:45:00,-657285249.8145592,885887.8448974999,885887844.8974999,0.005921794479775974
